attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,marcul,marcul,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,1,1,Total features in each format
METADATA_TOTAL_COLUMNS,40,43,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,--- COLUMN PRESENCE ---,--- COLUMN PRESENCE ---,Which columns exist in each format
COLUMN_PRESENT_agen,YES,YES,Column agen presence
COLUMN_PRESENT_catmfa,YES,YES,Column catmfa presence
COLUMN_PRESENT_datend,YES,YES,Column datend presence
COLUMN_PRESENT_datsta,YES,YES,Column datsta presence
COLUMN_PRESENT_dsid_dsnm,YES,YES,Column dsid_dsnm presence
COLUMN_PRESENT_dsid_edtn,YES,YES,Column dsid_edtn presence
COLUMN_PRESENT_dsid_updn,YES,YES,Column dsid_updn presence
COLUMN_PRESENT_expsou,YES,YES,Column expsou presence
COLUMN_PRESENT_ffpt_rind,NO,YES,Column ffpt_rind presence
COLUMN_PRESENT_fidn,YES,YES,Column fidn presence
COLUMN_PRESENT_fids,YES,YES,Column fids presence
COLUMN_PRESENT_grup,YES,YES,Column grup presence
COLUMN_PRESENT_inform,YES,YES,Column inform presence
COLUMN_PRESENT_lnam,YES,YES,Column lnam presence
COLUMN_PRESENT_lnam_refs,NO,YES,Column lnam_refs presence
COLUMN_PRESENT_ninfom,YES,YES,Column ninfom presence
COLUMN_PRESENT_nobjnm,YES,YES,Column nobjnm presence
COLUMN_PRESENT_ntxtds,YES,YES,Column ntxtds presence
COLUMN_PRESENT_objl,YES,YES,Column objl presence
COLUMN_PRESENT_objnam,YES,YES,Column objnam presence
COLUMN_PRESENT_ogc_fid,NO,YES,Column ogc_fid presence
COLUMN_PRESENT_perend,YES,YES,Column perend presence
COLUMN_PRESENT_persta,YES,YES,Column persta presence
COLUMN_PRESENT_prim,YES,YES,Column prim presence
COLUMN_PRESENT_quasou,YES,YES,Column quasou presence
COLUMN_PRESENT_rcid,YES,YES,Column rcid presence
COLUMN_PRESENT_recdat,YES,YES,Column recdat presence
COLUMN_PRESENT_recind,YES,YES,Column recind presence
COLUMN_PRESENT_restrn,YES,YES,Column restrn presence
COLUMN_PRESENT_rver,YES,YES,Column rver presence
COLUMN_PRESENT_scamax,YES,YES,Column scamax presence
COLUMN_PRESENT_scamin,YES,YES,Column scamin presence
COLUMN_PRESENT_sordat,YES,YES,Column sordat presence
COLUMN_PRESENT_sorind,YES,YES,Column sorind presence
COLUMN_PRESENT_souacc,YES,YES,Column souacc presence
COLUMN_PRESENT_status,YES,YES,Column status presence
COLUMN_PRESENT_txtdsc,YES,YES,Column txtdsc presence
COLUMN_PRESENT_valsou,YES,YES,Column valsou presence
COLUMN_PRESENT_veracc,YES,YES,Column veracc presence
COLUMN_PRESENT_verdat,YES,YES,Column verdat presence
COLUMN_PRESENT_verlen,YES,YES,Column verlen presence
COLUMN_PRESENT_watlev,YES,YES,Column watlev presence
COLUMN_PRESENT_wkb_geometry,NO,YES,Column wkb_geometry presence
SEPARATOR_DATA_TYPES,--- DATA TYPES ---,--- DATA TYPES ---,Data types for each column
DATATYPE_agen,int32,float64,Data type for agen - MISMATCH!
DATATYPE_catmfa,int32,int64,Data type for catmfa - MISMATCH!
DATATYPE_datend,object,object,Data type for datend
DATATYPE_datsta,object,object,Data type for datsta
DATATYPE_dsid_dsnm,object,object,Data type for dsid_dsnm
DATATYPE_dsid_edtn,int32,int64,Data type for dsid_edtn - MISMATCH!
DATATYPE_dsid_updn,int32,int64,Data type for dsid_updn - MISMATCH!
DATATYPE_expsou,int32,int64,Data type for expsou - MISMATCH!
DATATYPE_fidn,int32,float64,Data type for fidn - MISMATCH!
DATATYPE_fids,int32,float64,Data type for fids - MISMATCH!
DATATYPE_grup,int32,float64,Data type for grup - MISMATCH!
DATATYPE_inform,object,object,Data type for inform
DATATYPE_lnam,object,object,Data type for lnam
DATATYPE_ninfom,object,object,Data type for ninfom
DATATYPE_nobjnm,object,object,Data type for nobjnm
DATATYPE_ntxtds,object,object,Data type for ntxtds
DATATYPE_objl,int32,float64,Data type for objl - MISMATCH!
DATATYPE_objnam,object,object,Data type for objnam
DATATYPE_perend,object,object,Data type for perend
DATATYPE_persta,object,object,Data type for persta
DATATYPE_prim,int32,float64,Data type for prim - MISMATCH!
DATATYPE_quasou,object,object,Data type for quasou
DATATYPE_rcid,int32,float64,Data type for rcid - MISMATCH!
DATATYPE_recdat,object,object,Data type for recdat
DATATYPE_recind,object,object,Data type for recind
DATATYPE_restrn,object,object,Data type for restrn
DATATYPE_rver,int32,float64,Data type for rver - MISMATCH!
DATATYPE_scamax,float64,object,Data type for scamax - MISMATCH!
DATATYPE_scamin,int32,int64,Data type for scamin - MISMATCH!
DATATYPE_sordat,object,object,Data type for sordat
DATATYPE_sorind,object,object,Data type for sorind
DATATYPE_souacc,float64,object,Data type for souacc - MISMATCH!
DATATYPE_status,object,object,Data type for status
DATATYPE_txtdsc,object,object,Data type for txtdsc
DATATYPE_valsou,float64,object,Data type for valsou - MISMATCH!
DATATYPE_veracc,float64,object,Data type for veracc - MISMATCH!
DATATYPE_verdat,float64,object,Data type for verdat - MISMATCH!
DATATYPE_verlen,float64,object,Data type for verlen - MISMATCH!
DATATYPE_watlev,int32,int64,Data type for watlev - MISMATCH!
SEPARATOR_FEATURE_SAMPLES,--- FEATURE SAMPLES (1) ---,--- FEATURE SAMPLES (1) ---,Sample of 1 features from each format
SAMPLE_FEATURE_1_SEPARATOR,--- FEATURE 1 ---,--- FEATURE 1 ---,Feature 1 sample
SAMPLE_F1_agen,550,550.0,Feature 1 - agen - VALUES DIFFER!
SAMPLE_F1_catmfa,2,2,Feature 1 - catmfa
SAMPLE_F1_datend,None,None,Feature 1 - datend
