attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,lakare,lakare,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,51,51,Total features in each format
METADATA_TOTAL_COLUMNS,30,28,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,--- COLUMN PRESENCE ---,--- COLUMN PRESENCE ---,Which columns exist in each format
COLUMN_PRESENT_agen,YES,YES,Column agen presence
COLUMN_PRESENT_dsid_dsnm,YES,YES,Column dsid_dsnm presence
COLUMN_PRESENT_dsid_edtn,YES,YES,Column dsid_edtn presence
COLUMN_PRESENT_dsid_updn,YES,YES,Column dsid_updn presence
COLUMN_PRESENT_elevat,YES,YES,Column elevat presence
COLUMN_PRESENT_ffpt_rind,YES,NO,Column ffpt_rind presence
COLUMN_PRESENT_fidn,YES,YES,Column fidn presence
COLUMN_PRESENT_fids,YES,YES,Column fids presence
COLUMN_PRESENT_grup,YES,YES,Column grup presence
COLUMN_PRESENT_inform,YES,YES,Column inform presence
COLUMN_PRESENT_lnam,YES,YES,Column lnam presence
COLUMN_PRESENT_lnam_refs,YES,NO,Column lnam_refs presence
COLUMN_PRESENT_ninfom,YES,YES,Column ninfom presence
COLUMN_PRESENT_nobjnm,YES,YES,Column nobjnm presence
COLUMN_PRESENT_ntxtds,YES,YES,Column ntxtds presence
COLUMN_PRESENT_objl,YES,YES,Column objl presence
COLUMN_PRESENT_objnam,YES,YES,Column objnam presence
COLUMN_PRESENT_prim,YES,YES,Column prim presence
COLUMN_PRESENT_rcid,YES,YES,Column rcid presence
COLUMN_PRESENT_recdat,YES,YES,Column recdat presence
COLUMN_PRESENT_recind,YES,YES,Column recind presence
COLUMN_PRESENT_rver,YES,YES,Column rver presence
COLUMN_PRESENT_scamax,YES,YES,Column scamax presence
COLUMN_PRESENT_scamin,YES,YES,Column scamin presence
COLUMN_PRESENT_sordat,YES,YES,Column sordat presence
COLUMN_PRESENT_sorind,YES,YES,Column sorind presence
COLUMN_PRESENT_txtdsc,YES,YES,Column txtdsc presence
COLUMN_PRESENT_veracc,YES,YES,Column veracc presence
COLUMN_PRESENT_verdat,YES,YES,Column verdat presence
SEPARATOR_DATA_TYPES,--- DATA TYPES ---,--- DATA TYPES ---,Data types for each column
DATATYPE_agen,int32,int32,Data type for agen
DATATYPE_dsid_dsnm,object,object,Data type for dsid_dsnm
DATATYPE_dsid_edtn,int32,int32,Data type for dsid_edtn
DATATYPE_dsid_updn,int32,int32,Data type for dsid_updn
DATATYPE_elevat,float64,float64,Data type for elevat
DATATYPE_fidn,int32,int32,Data type for fidn
DATATYPE_fids,int32,int32,Data type for fids
DATATYPE_grup,int32,int32,Data type for grup
DATATYPE_inform,object,object,Data type for inform
DATATYPE_lnam,object,object,Data type for lnam
DATATYPE_ninfom,object,object,Data type for ninfom
DATATYPE_nobjnm,object,object,Data type for nobjnm
DATATYPE_ntxtds,object,object,Data type for ntxtds
DATATYPE_objl,int32,int32,Data type for objl
DATATYPE_objnam,object,object,Data type for objnam
DATATYPE_prim,int32,int32,Data type for prim
DATATYPE_rcid,int32,int32,Data type for rcid
DATATYPE_recdat,object,object,Data type for recdat
DATATYPE_recind,object,object,Data type for recind
DATATYPE_rver,int32,int32,Data type for rver
DATATYPE_scamax,float64,float64,Data type for scamax
DATATYPE_scamin,int32,int32,Data type for scamin
DATATYPE_sordat,object,object,Data type for sordat
DATATYPE_sorind,object,object,Data type for sorind
DATATYPE_txtdsc,object,object,Data type for txtdsc
DATATYPE_veracc,float64,float64,Data type for veracc
DATATYPE_verdat,float64,float64,Data type for verdat
SEPARATOR_FEATURE_SAMPLES,--- FEATURE SAMPLES (10) ---,--- FEATURE SAMPLES (10) ---,Sample of 10 features from each format
SAMPLE_FEATURE_1_SEPARATOR,--- FEATURE 1 ---,--- FEATURE 1 ---,Feature 1 sample
SAMPLE_F1_agen,550,550,Feature 1 - agen
SAMPLE_F1_dsid_dsnm,US3CA52M,US3CA52M,Feature 1 - dsid_dsnm
SAMPLE_F1_dsid_edtn,31,31,Feature 1 - dsid_edtn
SAMPLE_F1_dsid_updn,0,0,Feature 1 - dsid_updn
SAMPLE_F1_elevat,nan,nan,Feature 1 - elevat
SAMPLE_F1_fidn,44393985,44393985,Feature 1 - fidn
SAMPLE_F1_fids,12345,12345,Feature 1 - fids
