layer_name,gpkg_count,postgis_count,difference,match,gpkg_empty_fields,postgis_empty_fields,gpkg_total_fields,postgis_total_fields,gpkg_data_completeness,postgis_data_completeness
ctnare,66,66,0,True,11,11,28,29,60.7,62.1
fshzne,1,1,0,True,12,12,28,29,57.1,58.6
depcnt,790,790,0,True,11,11,27,28,59.3,60.7
connectednode,0,0,0,True,0,0,9,10,100.0,100.0
pilpnt,8,8,0,True,19,19,37,38,48.6,50.0
cblohd,4,4,0,True,22,22,38,39,42.1,43.6
topmar,6,6,0,True,21,21,38,39,44.7,46.2
lndrgn,192,192,0,True,13,13,30,31,56.7,58.1
m_qual,92,92,0,True,12,12,32,33,62.5,63.6
unsare,5,5,0,True,10,10,24,25,58.3,60.0
slotop,27,27,0,True,20,20,36,37,44.4,45.9
boyspp,78,78,0,True,15,15,41,42,63.4,64.3
mipare,11,11,0,True,14,14,33,34,57.6,58.8
hrbfac,1,1,0,True,18,18,34,35,47.1,48.6
m_npub,8,8,0,True,9,9,24,25,62.5,64.0
airare,3,3,0,True,15,15,31,32,51.6,53.1
rivers,247,247,0,True,10,10,27,28,63.0,64.3
edge,0,0,0,True,0,0,21,22,100.0,100.0
dmpgrd,29,29,0,True,9,9,29,30,69.0,70.0
m_covr,13,13,0,True,8,8,21,22,61.9,63.6
cblare,4,4,0,True,13,13,31,32,58.1,59.4
ofsplf,27,27,0,True,21,21,42,43,50.0,51.2
rtpbcn,11,11,0,True,20,20,38,39,47.4,48.7
cgusta,1,1,0,True,16,16,31,32,48.4,50.0
bcnspp,99,99,0,True,16,16,46,47,65.2,66.0
wattur,1,1,0,True,11,11,27,28,59.3,60.7
resare,23,23,0,True,10,10,33,34,69.7,70.6
exezne,7,7,0,True,7,7,25,26,72.0,73.1
face,0,0,0,True,0,0,9,10,100.0,100.0
pipsol,26,26,0,True,19,19,38,39,50.0,51.3
boysaw,10,10,0,True,16,16,40,41,60.0,61.0
feryrt,6,6,0,True,15,15,32,33,53.1,54.5
seaare,300,300,0,True,10,10,27,28,63.0,64.3
depare,705,705,0,True,15,15,29,30,48.3,50.0
buaare,246,246,0,True,16,16,33,34,51.5,52.9
lndare,1917,1917,0,True,12,12,28,29,57.1,58.6
uwtroc,678,678,0,True,14,14,36,37,61.1,62.2
sbdare,846,846,0,True,10,10,30,31,66.7,67.7
tsslpt,23,23,0,True,13,13,30,31,56.7,58.1
daymar,24,24,0,True,23,23,41,42,43.9,45.2
achare,4,4,0,True,14,14,33,34,57.6,58.8
ponton,1,1,0,True,22,22,37,38,40.5,42.1
lndelv,63,63,0,True,12,12,30,31,60.0,61.3
lndmrk,251,251,0,True,11,11,41,42,73.2,73.8
cblsub,116,116,0,True,16,16,35,36,54.3,55.6
pilbop,4,4,0,True,15,15,35,36,57.1,58.3
pipare,1,1,0,True,16,16,33,34,51.5,52.9
prcare,1,1,0,True,13,13,28,29,53.6,55.2
lights,379,379,0,True,17,17,48,49,64.6,65.3
fogsig,46,46,0,True,17,17,38,39,55.3,56.4
ctsare,4,4,0,True,14,14,31,32,54.8,56.2
bridge,71,71,0,True,23,23,43,44,46.5,47.7
tesare,56,56,0,True,9,9,26,27,65.4,66.7
slcons,566,566,0,True,27,27,45,46,40.0,41.3
buisgl,20,20,0,True,18,18,41,42,56.1,57.1
damcon,1,1,0,True,24,24,39,40,38.5,40.0
wedklp,183,183,0,True,11,11,27,28,59.3,60.7
obstrn,230,230,0,True,19,19,43,44,55.8,56.8
rdosta,33,33,0,True,19,19,37,38,48.6,50.0
slogrd,73,73,0,True,16,16,33,34,51.5,52.9
soundg,10592,10592,0,True,13,13,33,34,60.6,61.8
canals,4,4,0,True,18,18,34,35,47.1,48.6
splare,1,1,0,True,15,15,30,31,50.0,51.6
tsezne,3,3,0,True,12,12,28,29,57.1,58.6
conzne,6,6,0,True,10,10,28,29,64.3,65.5
fairwy,14,14,0,True,19,19,36,37,47.2,48.6
marcul,1,1,0,True,22,22,41,42,46.3,47.6
isolatednode,0,0,0,True,0,0,9,10,100.0,100.0
coalne,1604,1604,0,True,19,19,34,35,44.1,45.7
rdocal,5,5,0,True,15,15,34,35,55.9,57.1
lakare,51,51,0,True,13,13,29,30,55.2,56.7
tssbnd,15,15,0,True,13,13,28,29,53.6,55.2
m_nsys,8,8,0,True,11,11,26,27,57.7,59.3
navlne,7,7,0,True,13,13,31,32,58.1,59.4
magvar,166,166,0,True,9,9,27,28,66.7,67.9
wrecks,202,202,0,True,16,16,40,41,60.0,61.0
morfac,13,13,0,True,25,25,45,46,44.4,45.7
curent,77,77,0,True,11,11,30,31,63.3,64.5
boylat,28,28,0,True,18,18,41,42,56.1,57.1
rectrc,5,5,0,True,20,20,40,41,50.0,51.2
bcnlat,20,20,0,True,20,20,46,47,56.5,57.4
admare,22,22,0,True,9,9,29,30,69.0,70.0
siltnk,16,16,0,True,15,15,42,43,64.3,65.1
