layer_name,gpkg_count,spatialite_count,difference,match,gpkg_empty_fields,spatialite_empty_fields,gpkg_total_fields,spatialite_total_fields,gpkg_data_completeness,spatialite_data_completeness,missing_in,status
ctnare,66.0,66.0,0.0,True,11.0,9.0,28.0,26.0,60.7,65.4,,
fshzne,1.0,1.0,0.0,True,12.0,9.0,28.0,25.0,57.1,64.0,,
depcnt,790.0,790.0,0.0,True,11.0,9.0,27.0,25.0,59.3,64.0,,
connectednode,0.0,0.0,0.0,True,0.0,0.0,9.0,9.0,100.0,100.0,,
pilpnt,8.0,8.0,0.0,True,19.0,16.0,37.0,33.0,48.6,51.5,,
cblohd,4.0,4.0,0.0,True,22.0,19.0,38.0,35.0,42.1,45.7,,
topmar,6.0,6.0,0.0,True,21.0,17.0,38.0,33.0,44.7,48.5,,
lndrgn,192.0,192.0,0.0,True,13.0,9.0,30.0,25.0,56.7,64.0,,
m_qual,92.0,92.0,0.0,True,12.0,10.0,32.0,29.0,62.5,65.5,,
unsare,5.0,5.0,0.0,True,10.0,8.0,24.0,22.0,58.3,63.6,,
slotop,27.0,27.0,0.0,True,20.0,14.0,36.0,30.0,44.4,53.3,,
boyspp,78.0,78.0,0.0,True,15.0,14.0,41.0,34.0,63.4,58.8,,
m_npub,8.0,8.0,0.0,True,9.0,7.0,24.0,22.0,62.5,68.2,,
hrbfac,1.0,1.0,0.0,True,18.0,14.0,34.0,29.0,47.1,51.7,,
mipare,11.0,11.0,0.0,True,14.0,10.0,33.0,28.0,57.6,64.3,,
airare,3.0,3.0,0.0,True,15.0,11.0,31.0,27.0,51.6,59.3,,
rivers,247.0,247.0,0.0,True,10.0,8.0,27.0,24.0,63.0,66.7,,
edge,0.0,0.0,0.0,True,0.0,0.0,21.0,21.0,100.0,100.0,,
dmpgrd,29.0,29.0,0.0,True,9.0,6.0,29.0,24.0,69.0,75.0,,
m_covr,13.0,13.0,0.0,True,8.0,6.0,21.0,19.0,61.9,68.4,,
cblare,4.0,4.0,0.0,True,13.0,10.0,31.0,27.0,58.1,63.0,,
ofsplf,27.0,27.0,0.0,True,21.0,17.0,42.0,34.0,50.0,50.0,,
rtpbcn,11.0,11.0,0.0,True,20.0,17.0,38.0,35.0,47.4,51.4,,
cgusta,1.0,1.0,0.0,True,16.0,13.0,31.0,28.0,48.4,53.6,,
bcnspp,99.0,99.0,0.0,True,16.0,16.0,46.0,39.0,65.2,59.0,,
wattur,1.0,1.0,0.0,True,11.0,9.0,27.0,25.0,59.3,64.0,,
resare,23.0,23.0,0.0,True,10.0,8.0,33.0,28.0,69.7,71.4,,
exezne,7.0,7.0,0.0,True,7.0,5.0,25.0,23.0,72.0,78.3,,
face,0.0,0.0,0.0,True,0.0,0.0,9.0,9.0,100.0,100.0,,
pipsol,26.0,26.0,0.0,True,19.0,17.0,38.0,33.0,50.0,48.5,,
boysaw,10.0,10.0,0.0,True,16.0,15.0,40.0,34.0,60.0,55.9,,
feryrt,6.0,6.0,0.0,True,15.0,12.0,32.0,29.0,53.1,58.6,,
seaare,300.0,300.0,0.0,True,10.0,8.0,27.0,25.0,63.0,68.0,,
depare,705.0,705.0,0.0,True,15.0,12.0,29.0,26.0,48.3,53.8,,
buaare,246.0,246.0,0.0,True,16.0,14.0,33.0,31.0,51.5,54.8,,
lndare,1917.0,1917.0,0.0,True,12.0,9.0,28.0,25.0,57.1,64.0,,
uwtroc,678.0,678.0,0.0,True,14.0,9.0,36.0,29.0,61.1,69.0,,
sbdare,846.0,846.0,0.0,True,10.0,8.0,30.0,25.0,66.7,68.0,,
tsslpt,23.0,23.0,0.0,True,13.0,9.0,30.0,26.0,56.7,65.4,,
daymar,24.0,24.0,0.0,True,23.0,18.0,41.0,34.0,43.9,47.1,,
achare,4.0,4.0,0.0,True,14.0,11.0,33.0,28.0,57.6,60.7,,
ponton,1.0,1.0,0.0,True,22.0,18.0,37.0,33.0,40.5,45.5,,
lndelv,63.0,63.0,0.0,True,12.0,10.0,30.0,28.0,60.0,64.3,,
lndmrk,251.0,251.0,0.0,True,11.0,11.0,41.0,33.0,73.2,66.7,,
cblsub,116.0,116.0,0.0,True,16.0,14.0,35.0,32.0,54.3,56.2,,
pilbop,4.0,4.0,0.0,True,15.0,12.0,35.0,32.0,57.1,62.5,,
pipare,1.0,1.0,0.0,True,16.0,11.0,33.0,27.0,51.5,59.3,,
lights,379.0,379.0,0.0,True,17.0,15.0,48.0,42.0,64.6,64.3,,
prcare,1.0,1.0,0.0,True,13.0,9.0,28.0,24.0,53.6,62.5,,
fogsig,46.0,46.0,0.0,True,17.0,14.0,38.0,35.0,55.3,60.0,,
ctsare,4.0,4.0,0.0,True,14.0,11.0,31.0,28.0,54.8,60.7,,
bridge,71.0,71.0,0.0,True,23.0,18.0,43.0,37.0,46.5,51.4,,
tesare,56.0,56.0,0.0,True,9.0,6.0,26.0,23.0,65.4,73.9,,
slcons,566.0,566.0,0.0,True,27.0,21.0,45.0,39.0,40.0,46.2,,
buisgl,20.0,20.0,0.0,True,18.0,16.0,41.0,34.0,56.1,52.9,,
damcon,1.0,1.0,0.0,True,24.0,19.0,39.0,34.0,38.5,44.1,,
wedklp,183.0,183.0,0.0,True,11.0,9.0,27.0,25.0,59.3,64.0,,
obstrn,230.0,230.0,0.0,True,19.0,13.0,43.0,34.0,55.8,61.8,,
rdosta,33.0,33.0,0.0,True,19.0,16.0,37.0,33.0,48.6,51.5,,
slogrd,73.0,73.0,0.0,True,16.0,10.0,33.0,27.0,51.5,63.0,,
soundg,10592.0,10592.0,0.0,True,13.0,10.0,33.0,28.0,60.6,64.3,,
canals,4.0,4.0,0.0,True,18.0,15.0,34.0,31.0,47.1,51.6,,
splare,1.0,1.0,0.0,True,15.0,11.0,30.0,26.0,50.0,57.7,,
tsezne,3.0,3.0,0.0,True,12.0,9.0,28.0,25.0,57.1,64.0,,
conzne,6.0,6.0,0.0,True,10.0,7.0,28.0,25.0,64.3,72.0,,
fairwy,14.0,14.0,0.0,True,19.0,14.0,36.0,31.0,47.2,54.8,,
marcul,1.0,1.0,0.0,True,22.0,17.0,41.0,36.0,46.3,52.8,,
isolatednode,0.0,0.0,0.0,True,0.0,0.0,9.0,9.0,100.0,100.0,,
coalne,1604.0,1604.0,0.0,True,19.0,16.0,34.0,31.0,44.1,48.4,,
rdocal,5.0,5.0,0.0,True,15.0,12.0,34.0,31.0,55.9,61.3,,
lakare,51.0,51.0,0.0,True,13.0,11.0,29.0,27.0,55.2,59.3,,
m_nsys,8.0,8.0,0.0,True,11.0,9.0,26.0,24.0,57.7,62.5,,
tssbnd,15.0,15.0,0.0,True,13.0,10.0,28.0,25.0,53.6,60.0,,
navlne,7.0,7.0,0.0,True,13.0,10.0,31.0,28.0,58.1,64.3,,
magvar,166.0,166.0,0.0,True,9.0,7.0,27.0,25.0,66.7,72.0,,
morfac,13.0,13.0,0.0,True,25.0,22.0,45.0,39.0,44.4,43.6,,
wrecks,202.0,202.0,0.0,True,16.0,14.0,40.0,35.0,60.0,60.0,,
curent,77.0,77.0,0.0,True,11.0,9.0,30.0,28.0,63.3,67.9,,
boylat,28.0,28.0,0.0,True,18.0,16.0,41.0,35.0,56.1,54.3,,
rectrc,5.0,5.0,0.0,True,20.0,15.0,40.0,35.0,50.0,57.1,,
bcnlat,20.0,20.0,0.0,True,20.0,19.0,46.0,40.0,56.5,52.5,,
admare,22.0,22.0,0.0,True,9.0,7.0,29.0,27.0,69.0,74.1,,
siltnk,16.0,16.0,0.0,True,15.0,15.0,42.0,35.0,64.3,57.1,,
dsid,,,,,,,,,,,gpkg,MISSING
c_asso,,,,,,,,,,,gpkg,MISSING
c_aggr,,,,,,,,,,,gpkg,MISSING
