layer_name,spatialite_count,postgis_count,difference,match,spatialite_empty_fields,postgis_empty_fields,spatialite_total_fields,postgis_total_fields,spatialite_data_completeness,postgis_data_completeness,missing_in,status
ctnare,66.0,66.0,0.0,True,9.0,11.0,26.0,29.0,65.4,62.1,,
fshzne,1.0,1.0,0.0,True,9.0,12.0,25.0,29.0,64.0,58.6,,
depcnt,790.0,790.0,0.0,True,9.0,11.0,25.0,28.0,64.0,60.7,,
connectednode,0.0,0.0,0.0,True,0.0,0.0,9.0,10.0,100.0,100.0,,
pilpnt,8.0,8.0,0.0,True,16.0,19.0,33.0,38.0,51.5,50.0,,
cblohd,4.0,4.0,0.0,True,19.0,22.0,35.0,39.0,45.7,43.6,,
topmar,6.0,6.0,0.0,True,17.0,21.0,33.0,39.0,48.5,46.2,,
lndrgn,192.0,192.0,0.0,True,9.0,13.0,25.0,31.0,64.0,58.1,,
m_qual,92.0,92.0,0.0,True,10.0,12.0,29.0,33.0,65.5,63.6,,
unsare,5.0,5.0,0.0,True,8.0,10.0,22.0,25.0,63.6,60.0,,
slotop,27.0,27.0,0.0,True,14.0,20.0,30.0,37.0,53.3,45.9,,
boyspp,78.0,78.0,0.0,True,14.0,15.0,34.0,42.0,58.8,64.3,,
mipare,11.0,11.0,0.0,True,10.0,14.0,28.0,34.0,64.3,58.8,,
hrbfac,1.0,1.0,0.0,True,14.0,18.0,29.0,35.0,51.7,48.6,,
m_npub,8.0,8.0,0.0,True,7.0,9.0,22.0,25.0,68.2,64.0,,
airare,3.0,3.0,0.0,True,11.0,15.0,27.0,32.0,59.3,53.1,,
rivers,247.0,247.0,0.0,True,8.0,10.0,24.0,28.0,66.7,64.3,,
edge,0.0,0.0,0.0,True,0.0,0.0,21.0,22.0,100.0,100.0,,
dmpgrd,29.0,29.0,0.0,True,6.0,9.0,24.0,30.0,75.0,70.0,,
m_covr,13.0,13.0,0.0,True,6.0,8.0,19.0,22.0,68.4,63.6,,
cblare,4.0,4.0,0.0,True,10.0,13.0,27.0,32.0,63.0,59.4,,
ofsplf,27.0,27.0,0.0,True,17.0,21.0,34.0,43.0,50.0,51.2,,
rtpbcn,11.0,11.0,0.0,True,17.0,20.0,35.0,39.0,51.4,48.7,,
cgusta,1.0,1.0,0.0,True,13.0,16.0,28.0,32.0,53.6,50.0,,
bcnspp,99.0,99.0,0.0,True,16.0,16.0,39.0,47.0,59.0,66.0,,
wattur,1.0,1.0,0.0,True,9.0,11.0,25.0,28.0,64.0,60.7,,
resare,23.0,23.0,0.0,True,8.0,10.0,28.0,34.0,71.4,70.6,,
