layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,missing_in_b,column_name,format_a_type,format_b_type
ctnare,29.0,30.0,28.0,2.0,1.0,12.0,False,"ogc_fid, wkb_geometry",geometry,,,
ctnare_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
ctnare_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
ctnare_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
ctnare_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
fshzne,29.0,30.0,28.0,2.0,1.0,12.0,False,"ogc_fid, wkb_geometry",geometry,,,
fshzne_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
fshzne_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
fshzne_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
fshzne_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
fshzne_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
depcnt,28.0,29.0,27.0,2.0,1.0,14.0,False,"ogc_fid, wkb_geometry",geometry,,,
depcnt_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,,verdat,float64,object
depcnt_TYPE_MISMATCH,,,,,,,,,,hypcat,float64,object
depcnt_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
depcnt_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
depcnt_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
depcnt_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
connectednode,10.0,11.0,9.0,2.0,1.0,8.0,False,"ogc_fid, wkb_geometry",geometry,,,
connectednode_TYPE_MISMATCH,,,,,,,,,,rcid,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,,rver,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,,ruin,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,,rcnm,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,,posacc,float64,object
connectednode_TYPE_MISMATCH,,,,,,,,,,quapos,int32,object
pilpnt,38.0,39.0,37.0,2.0,1.0,18.0,False,"ogc_fid, wkb_geometry",geometry,,,
pilpnt_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
pilpnt_TYPE_MISMATCH,,,,,,,,,,verdat,float64,object
pilpnt_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
pilpnt_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
pilpnt_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
pilpnt_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
pilpnt_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
pilpnt_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
pilpnt_TYPE_MISMATCH,,,,,,,,,,condtn,float64,object
pilpnt_TYPE_MISMATCH,,,,,,,,,,veracc,float64,object
pilpnt_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
pilpnt_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
pilpnt_TYPE_MISMATCH,,,,,,,,,,verlen,float64,object
pilpnt_TYPE_MISMATCH,,,,,,,,,,height,float64,object
pilpnt_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
pilpnt_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
pilpnt_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
pilpnt_TYPE_MISMATCH,,,,,,,,,,convis,float64,object
cblohd,39.0,40.0,38.0,2.0,1.0,21.0,False,"ogc_fid, wkb_geometry",geometry,,,
cblohd_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
cblohd_TYPE_MISMATCH,,,,,,,,,,vercsa,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,,verdat,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,,verclr,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
cblohd_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
cblohd_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
cblohd_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
cblohd_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
cblohd_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,,condtn,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,,veracc,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
cblohd_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
cblohd_TYPE_MISMATCH,,,,,,,,,,conrad,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
cblohd_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
cblohd_TYPE_MISMATCH,,,,,,,,,,icefac,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
cblohd_TYPE_MISMATCH,,,,,,,,,,catcbl,int32,int64
cblohd_TYPE_MISMATCH,,,,,,,,,,convis,float64,object
topmar,39.0,40.0,38.0,2.0,1.0,18.0,False,"ogc_fid, wkb_geometry",geometry,,,
topmar_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
topmar_TYPE_MISMATCH,,,,,,,,,,verdat,float64,object
topmar_TYPE_MISMATCH,,,,,,,,,,topshp,int32,int64
topmar_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
topmar_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
topmar_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
topmar_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
topmar_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
topmar_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
topmar_TYPE_MISMATCH,,,,,,,,,,marsys,float64,object
topmar_TYPE_MISMATCH,,,,,,,,,,veracc,float64,object
topmar_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
topmar_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
topmar_TYPE_MISMATCH,,,,,,,,,,verlen,float64,object
topmar_TYPE_MISMATCH,,,,,,,,,,height,float64,object
topmar_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
topmar_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
topmar_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
lndrgn,31.0,32.0,30.0,2.0,1.0,13.0,False,"ogc_fid, wkb_geometry",geometry,,,
lndrgn_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
lndrgn_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
lndrgn_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
lndrgn_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
lndrgn_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
lndrgn_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
lndrgn_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
lndrgn_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
lndrgn_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
lndrgn_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
lndrgn_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
lndrgn_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
lndrgn_TYPE_MISMATCH,,,,,,,,,,watlev,float64,object
m_qual,33.0,34.0,32.0,2.0,1.0,17.0,False,"ogc_fid, wkb_geometry",geometry,,,
m_qual_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
m_qual_TYPE_MISMATCH,,,,,,,,,,drval1,float64,object
m_qual_TYPE_MISMATCH,,,,,,,,,,verdat,float64,object
m_qual_TYPE_MISMATCH,,,,,,,,,,posacc,float64,object
m_qual_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
m_qual_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
m_qual_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
m_qual_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
m_qual_TYPE_MISMATCH,,,,,,,,,,catqua,float64,object
m_qual_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
m_qual_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
m_qual_TYPE_MISMATCH,,,,,,,,,,souacc,float64,object
m_qual_TYPE_MISMATCH,,,,,,,,,,drval2,float64,object
m_qual_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
m_qual_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
m_qual_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
m_qual_TYPE_MISMATCH,,,,,,,,,,catzoc,int32,int64
unsare,25.0,26.0,24.0,2.0,1.0,12.0,False,"ogc_fid, wkb_geometry",geometry,,,
unsare_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
unsare_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
unsare_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
unsare_TYPE_MISMATCH,,,,,,,,,,scamin,float64,object
unsare_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
unsare_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
unsare_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
unsare_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
unsare_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
unsare_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
unsare_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
unsare_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
slotop,37.0,38.0,36.0,2.0,1.0,18.0,False,"ogc_fid, wkb_geometry",geometry,,,
slotop_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
slotop_TYPE_MISMATCH,,,,,,,,,,verdat,float64,object
slotop_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
slotop_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
slotop_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
slotop_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
slotop_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
slotop_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
slotop_TYPE_MISMATCH,,,,,,,,,,veracc,float64,object
slotop_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
slotop_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
slotop_TYPE_MISMATCH,,,,,,,,,,catslo,int32,int64
slotop_TYPE_MISMATCH,,,,,,,,,,conrad,float64,object
slotop_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
slotop_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
slotop_TYPE_MISMATCH,,,,,,,,,,elevat,float64,object
slotop_TYPE_MISMATCH,,,,,,,,,,dsid_edtn,int32,int64
slotop_TYPE_MISMATCH,,,,,,,,,,convis,float64,object
boyspp,42.0,43.0,41.0,2.0,1.0,14.0,False,"ogc_fid, wkb_geometry",geometry,,,
boyspp_TYPE_MISMATCH,,,,,,,,,,objl,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,grup,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,rcid,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,scamin,int32,int64
boyspp_TYPE_MISMATCH,,,,,,,,,,dsid_updn,int32,int64
boyspp_TYPE_MISMATCH,,,,,,,,,,fids,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,scamax,float64,object
boyspp_TYPE_MISMATCH,,,,,,,,,,veracc,float64,object
boyspp_TYPE_MISMATCH,,,,,,,,,,agen,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,fidn,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,verlen,float64,object
boyspp_TYPE_MISMATCH,,,,,,,,,,prim,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,,rver,int32,float64
