layer_name,gpkg_count,spatialite_count,difference,match,gpkg_empty_fields,spatialite_empty_fields,gpkg_total_fields,spatialite_total_fields,missing_in,status
admare,22.0,22.0,0.0,True,9.0,7.0,29.0,27.0,,
lndelv,63.0,63.0,0.0,True,12.0,10.0,30.0,28.0,,
tssbnd,15.0,15.0,0.0,True,13.0,10.0,28.0,25.0,,
m_nsys,8.0,8.0,0.0,True,11.0,9.0,26.0,24.0,,
seaare,300.0,300.0,0.0,True,10.0,8.0,27.0,25.0,,
marcul,1.0,1.0,0.0,True,22.0,17.0,41.0,36.0,,
unsare,5.0,5.0,0.0,True,10.0,8.0,24.0,22.0,,
damcon,1.0,1.0,0.0,True,24.0,19.0,39.0,34.0,,
tsslpt,23.0,23.0,0.0,True,13.0,9.0,30.0,26.0,,
bridge,71.0,71.0,0.0,True,23.0,18.0,43.0,37.0,,
rectrc,5.0,5.0,0.0,True,20.0,15.0,40.0,35.0,,
exezne,7.0,7.0,0.0,True,7.0,5.0,25.0,23.0,,
navlne,7.0,7.0,0.0,True,13.0,10.0,31.0,28.0,,
cblare,4.0,4.0,0.0,True,13.0,10.0,31.0,27.0,,
buaare,246.0,246.0,0.0,True,16.0,14.0,33.0,31.0,,
boylat,28.0,28.0,0.0,True,18.0,16.0,41.0,35.0,,
fogsig,46.0,46.0,0.0,True,17.0,14.0,38.0,35.0,,
bcnspp,99.0,99.0,0.0,True,16.0,16.0,46.0,39.0,,
uwtroc,678.0,678.0,0.0,True,14.0,9.0,36.0,29.0,,
rivers,247.0,247.0,0.0,True,10.0,8.0,27.0,24.0,,
pipare,1.0,1.0,0.0,True,16.0,11.0,33.0,27.0,,
ponton,1.0,1.0,0.0,True,22.0,18.0,37.0,33.0,,
topmar,6.0,6.0,0.0,True,21.0,17.0,38.0,33.0,,
morfac,13.0,13.0,0.0,True,25.0,22.0,45.0,39.0,,
daymar,24.0,24.0,0.0,True,23.0,18.0,41.0,34.0,,
slcons,566.0,566.0,0.0,True,27.0,21.0,45.0,39.0,,
wedklp,183.0,183.0,0.0,True,11.0,9.0,27.0,25.0,,
connectednode,0.0,0.0,0.0,True,0.0,0.0,9.0,9.0,,
achare,4.0,4.0,0.0,True,14.0,11.0,33.0,28.0,,
ctsare,4.0,4.0,0.0,True,14.0,11.0,31.0,28.0,,
soundg,10592.0,10592.0,0.0,True,13.0,10.0,33.0,28.0,,
lndmrk,251.0,251.0,0.0,True,11.0,11.0,41.0,33.0,,
lakare,51.0,51.0,0.0,True,13.0,11.0,29.0,27.0,,
coalne,1604.0,1604.0,0.0,True,19.0,16.0,34.0,31.0,,
ctnare,66.0,66.0,0.0,True,11.0,9.0,28.0,26.0,,
pilbop,4.0,4.0,0.0,True,15.0,12.0,35.0,32.0,,
face,0.0,0.0,0.0,True,0.0,0.0,9.0,9.0,,
cblohd,4.0,4.0,0.0,True,22.0,19.0,38.0,35.0,,
lights,379.0,379.0,0.0,True,17.0,15.0,48.0,42.0,,
mipare,11.0,11.0,0.0,True,14.0,10.0,33.0,28.0,,
ofsplf,27.0,27.0,0.0,True,21.0,17.0,42.0,34.0,,
prcare,1.0,1.0,0.0,True,13.0,9.0,28.0,24.0,,
tesare,56.0,56.0,0.0,True,9.0,6.0,26.0,23.0,,
rdosta,33.0,33.0,0.0,True,19.0,16.0,37.0,33.0,,
siltnk,16.0,16.0,0.0,True,15.0,15.0,42.0,35.0,,
sbdare,846.0,846.0,0.0,True,10.0,8.0,30.0,25.0,,
wattur,1.0,1.0,0.0,True,11.0,9.0,27.0,25.0,,
m_covr,13.0,13.0,0.0,True,8.0,6.0,21.0,19.0,,
m_qual,92.0,92.0,0.0,True,12.0,10.0,32.0,29.0,,
resare,23.0,23.0,0.0,True,10.0,8.0,33.0,28.0,,
depcnt,790.0,790.0,0.0,True,11.0,9.0,27.0,25.0,,
curent,77.0,77.0,0.0,True,11.0,9.0,30.0,28.0,,
tsezne,3.0,3.0,0.0,True,12.0,9.0,28.0,25.0,,
slogrd,73.0,73.0,0.0,True,16.0,10.0,33.0,27.0,,
edge,0.0,0.0,0.0,True,0.0,0.0,21.0,21.0,,
fairwy,14.0,14.0,0.0,True,19.0,14.0,36.0,31.0,,
obstrn,230.0,230.0,0.0,True,19.0,13.0,43.0,34.0,,
airare,3.0,3.0,0.0,True,15.0,11.0,31.0,27.0,,
pipsol,26.0,26.0,0.0,True,19.0,17.0,38.0,33.0,,
boysaw,10.0,10.0,0.0,True,16.0,15.0,40.0,34.0,,
lndare,1917.0,1917.0,0.0,True,12.0,9.0,28.0,25.0,,
