layer_name,spatialite_count,postgis_count,difference,match,spatialite_empty_fields,postgis_empty_fields,spatialite_total_fields,postgis_total_fields,missing_in,status
obstrn,230.0,230.0,0.0,True,13.0,19.0,34.0,44.0,,
tesare,56.0,56.0,0.0,True,6.0,9.0,23.0,27.0,,
pipare,1.0,1.0,0.0,True,11.0,16.0,27.0,34.0,,
coalne,1604.0,1604.0,0.0,True,16.0,19.0,31.0,35.0,,
conzne,6.0,6.0,0.0,True,7.0,10.0,25.0,29.0,,
cblare,4.0,4.0,0.0,True,10.0,13.0,27.0,32.0,,
ctsare,4.0,4.0,0.0,True,11.0,14.0,28.0,32.0,,
depare,705.0,705.0,0.0,True,12.0,15.0,26.0,30.0,,
buaare,246.0,246.0,0.0,True,14.0,16.0,31.0,34.0,,
siltnk,16.0,16.0,0.0,True,15.0,15.0,35.0,43.0,,
lights,379.0,379.0,0.0,True,15.0,17.0,42.0,49.0,,
feryrt,6.0,6.0,0.0,True,12.0,15.0,29.0,33.0,,
fshzne,1.0,1.0,0.0,True,9.0,12.0,25.0,29.0,,
tssbnd,15.0,15.0,0.0,True,10.0,13.0,25.0,29.0,,
boyspp,78.0,78.0,0.0,True,14.0,15.0,34.0,42.0,,
cblsub,116.0,116.0,0.0,True,14.0,16.0,32.0,36.0,,
fairwy,14.0,14.0,0.0,True,14.0,19.0,31.0,37.0,,
airare,3.0,3.0,0.0,True,11.0,15.0,27.0,32.0,,
navlne,7.0,7.0,0.0,True,10.0,13.0,28.0,32.0,,
fogsig,46.0,46.0,0.0,True,14.0,17.0,35.0,39.0,,
unsare,5.0,5.0,0.0,True,8.0,10.0,22.0,25.0,,
exezne,7.0,7.0,0.0,True,5.0,7.0,23.0,26.0,,
buisgl,20.0,20.0,0.0,True,16.0,18.0,34.0,42.0,,
canals,4.0,4.0,0.0,True,15.0,18.0,31.0,35.0,,
slcons,566.0,566.0,0.0,True,21.0,27.0,39.0,46.0,,
dmpgrd,29.0,29.0,0.0,True,6.0,9.0,24.0,30.0,,
rtpbcn,11.0,11.0,0.0,True,17.0,20.0,35.0,39.0,,
bcnlat,20.0,20.0,0.0,True,19.0,20.0,40.0,47.0,,
m_covr,13.0,13.0,0.0,True,6.0,8.0,19.0,22.0,,
wattur,1.0,1.0,0.0,True,9.0,11.0,25.0,28.0,,
magvar,166.0,166.0,0.0,True,7.0,9.0,25.0,28.0,,
rdocal,5.0,5.0,0.0,True,12.0,15.0,31.0,35.0,,
lakare,51.0,51.0,0.0,True,11.0,13.0,27.0,30.0,,
ctnare,66.0,66.0,0.0,True,9.0,11.0,26.0,29.0,,
rivers,247.0,247.0,0.0,True,8.0,10.0,24.0,28.0,,
rdosta,33.0,33.0,0.0,True,16.0,19.0,33.0,38.0,,
marcul,1.0,1.0,0.0,True,17.0,22.0,36.0,42.0,,
m_nsys,8.0,8.0,0.0,True,9.0,11.0,24.0,27.0,,
seaare,300.0,300.0,0.0,True,8.0,10.0,25.0,28.0,,
uwtroc,678.0,678.0,0.0,True,9.0,14.0,29.0,37.0,,
splare,1.0,1.0,0.0,True,11.0,15.0,26.0,31.0,,
hrbfac,1.0,1.0,0.0,True,14.0,18.0,29.0,35.0,,
admare,22.0,22.0,0.0,True,7.0,9.0,27.0,30.0,,
boylat,28.0,28.0,0.0,True,16.0,18.0,35.0,42.0,,
daymar,24.0,24.0,0.0,True,18.0,23.0,34.0,42.0,,
edge,0.0,0.0,0.0,True,0.0,0.0,21.0,22.0,,
cgusta,1.0,1.0,0.0,True,13.0,16.0,28.0,32.0,,
pipsol,26.0,26.0,0.0,True,17.0,19.0,33.0,39.0,,
resare,23.0,23.0,0.0,True,8.0,10.0,28.0,34.0,,
sbdare,846.0,846.0,0.0,True,8.0,10.0,25.0,31.0,,
slogrd,73.0,73.0,0.0,True,10.0,16.0,27.0,34.0,,
ponton,1.0,1.0,0.0,True,18.0,22.0,33.0,38.0,,
boysaw,10.0,10.0,0.0,True,15.0,16.0,34.0,41.0,,
ofsplf,27.0,27.0,0.0,True,17.0,21.0,34.0,43.0,,
lndelv,63.0,63.0,0.0,True,10.0,12.0,28.0,31.0,,
face,0.0,0.0,0.0,True,0.0,0.0,9.0,10.0,,
lndrgn,192.0,192.0,0.0,True,9.0,13.0,25.0,31.0,,
wrecks,202.0,202.0,0.0,True,14.0,16.0,35.0,41.0,,
pilpnt,8.0,8.0,0.0,True,16.0,19.0,33.0,38.0,,
rectrc,5.0,5.0,0.0,True,15.0,20.0,35.0,41.0,,
m_qual,92.0,92.0,0.0,True,10.0,12.0,29.0,33.0,,
morfac,13.0,13.0,0.0,True,22.0,25.0,39.0,46.0,,
wedklp,183.0,183.0,0.0,True,9.0,11.0,25.0,28.0,,
damcon,1.0,1.0,0.0,True,19.0,24.0,34.0,40.0,,
prcare,1.0,1.0,0.0,True,9.0,13.0,24.0,29.0,,
slotop,27.0,27.0,0.0,True,14.0,20.0,30.0,37.0,,
tsslpt,23.0,23.0,0.0,True,9.0,13.0,26.0,31.0,,
achare,4.0,4.0,0.0,True,11.0,14.0,28.0,34.0,,
soundg,10592.0,10592.0,0.0,True,10.0,13.0,28.0,34.0,,
depcnt,790.0,790.0,0.0,True,9.0,11.0,25.0,28.0,,
curent,77.0,77.0,0.0,True,9.0,11.0,28.0,31.0,,
bridge,71.0,71.0,0.0,True,18.0,23.0,37.0,44.0,,
mipare,11.0,11.0,0.0,True,10.0,14.0,28.0,34.0,,
connectednode,0.0,0.0,0.0,True,0.0,0.0,9.0,10.0,,
m_npub,8.0,8.0,0.0,True,7.0,9.0,22.0,25.0,,
lndmrk,251.0,251.0,0.0,True,11.0,11.0,33.0,42.0,,
pilbop,4.0,4.0,0.0,True,12.0,15.0,32.0,36.0,,
bcnspp,99.0,99.0,0.0,True,16.0,16.0,39.0,47.0,,
topmar,6.0,6.0,0.0,True,17.0,21.0,33.0,39.0,,
isolatednode,0.0,0.0,0.0,True,0.0,0.0,9.0,10.0,,
tsezne,3.0,3.0,0.0,True,9.0,12.0,25.0,29.0,,
lndare,1917.0,1917.0,0.0,True,9.0,12.0,25.0,29.0,,
cblohd,4.0,4.0,0.0,True,19.0,22.0,35.0,39.0,,
c_asso,,,,,,,,,postgis,MISSING
dsid,,,,,,,,,postgis,MISSING
c_aggr,,,,,,,,,postgis,MISSING
