layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_b
obstrn,44,35,35,0,9,0,False,"prodct, natqua, tecsou, natcon, status, natsur, quasou, ffpt_rind, lnam_refs"
pipare,34,28,28,0,6,0,False,"prodct, restrn, status, ffpt_rind, lnam_refs, catpip"
tesare,27,24,24,0,3,0,False,"restrn, ffpt_rind, lnam_refs"
coalne,35,32,32,0,3,0,False,"colour, ffpt_rind, lnam_refs"
conzne,29,26,26,0,3,0,False,"ffpt_rind, status, lnam_refs"
cblare,32,28,28,0,4,0,False,"restrn, ffpt_rind, status, lnam_refs"
ctsare,32,29,29,0,3,0,False,"ffpt_rind, status, lnam_refs"
depare,30,27,27,0,3,0,False,"ffpt_rind, lnam_refs, quasou"
buaare,34,32,32,0,2,0,False,"ffpt_rind, lnam_refs"
siltnk,43,36,36,0,7,0,False,"prodct, colour, natcon, status, colpat, ffpt_rind, lnam_refs"
lights,49,43,43,0,6,0,False,"litvis, catlit, colour, status, ffpt_rind, lnam_refs"
feryrt,33,30,30,0,3,0,False,"ffpt_rind, status, lnam_refs"
fshzne,29,26,26,0,3,0,False,"ffpt_rind, status, lnam_refs"
tssbnd,29,26,26,0,3,0,False,"ffpt_rind, status, lnam_refs"
boyspp,42,35,35,0,7,0,False,"catspm, colour, natcon, status, colpat, ffpt_rind, lnam_refs"
cblsub,36,33,33,0,3,0,False,"ffpt_rind, status, lnam_refs"
fairwy,37,32,32,0,5,0,False,"restrn, status, quasou, ffpt_rind, lnam_refs"
airare,32,28,28,0,4,0,False,"ffpt_rind, status, lnam_refs, catair"
navlne,32,29,29,0,3,0,False,"ffpt_rind, status, lnam_refs"
fogsig,39,36,36,0,3,0,False,"ffpt_rind, status, lnam_refs"
unsare,25,23,23,0,2,0,False,"ffpt_rind, lnam_refs"
exezne,26,24,24,0,2,0,False,"ffpt_rind, lnam_refs"
buisgl,42,35,35,0,7,0,False,"colour, natcon, functn, status, colpat, ffpt_rind, lnam_refs"
canals,35,32,32,0,3,0,False,"ffpt_rind, status, lnam_refs"
slcons,46,40,40,0,6,0,False,"colour, natcon, status, colpat, ffpt_rind, lnam_refs"
dmpgrd,30,25,25,0,5,0,False,"catdpg, restrn, status, ffpt_rind, lnam_refs"
rtpbcn,39,36,36,0,3,0,False,"ffpt_rind, status, lnam_refs"
bcnlat,47,41,41,0,6,0,False,"colour, natcon, status, colpat, ffpt_rind, lnam_refs"
m_covr,22,20,20,0,2,0,False,"ffpt_rind, lnam_refs"
wattur,28,26,26,0,2,0,False,"ffpt_rind, lnam_refs"
magvar,28,26,26,0,2,0,False,"ffpt_rind, lnam_refs"
rdocal,35,32,32,0,3,0,False,"ffpt_rind, status, lnam_refs"
lakare,30,28,28,0,2,0,False,"ffpt_rind, lnam_refs"
ctnare,29,27,27,0,2,0,False,"ffpt_rind, lnam_refs"
rivers,28,25,25,0,3,0,False,"ffpt_rind, status, lnam_refs"
rdosta,38,34,34,0,4,0,False,"ffpt_rind, status, lnam_refs, catros"
marcul,42,37,37,0,5,0,False,"restrn, status, quasou, ffpt_rind, lnam_refs"
m_nsys,27,25,25,0,2,0,False,"ffpt_rind, lnam_refs"
seaare,28,26,26,0,2,0,False,"ffpt_rind, lnam_refs"
uwtroc,37,30,30,0,7,0,False,"natqua, tecsou, natsur, status, quasou, ffpt_rind, lnam_refs"
splare,31,27,27,0,4,0,False,"restrn, ffpt_rind, status, lnam_refs"
hrbfac,35,30,30,0,5,0,False,"natcon, status, cathaf, ffpt_rind, lnam_refs"
admare,30,28,28,0,2,0,False,"ffpt_rind, lnam_refs"
boylat,42,36,36,0,6,0,False,"colour, natcon, status, colpat, ffpt_rind, lnam_refs"
daymar,42,35,35,0,7,0,False,"catspm, colour, natcon, status, colpat, ffpt_rind, lnam_refs"
edge,22,22,22,0,0,0,True,
cgusta,32,29,29,0,3,0,False,"ffpt_rind, status, lnam_refs"
pipsol,39,34,34,0,5,0,False,"prodct, status, ffpt_rind, lnam_refs, catpip"
resare,34,29,29,0,5,0,False,"catrea, restrn, status, ffpt_rind, lnam_refs"
sbdare,31,26,26,0,5,0,False,"natqua, colour, natsur, ffpt_rind, lnam_refs"
slogrd,34,28,28,0,6,0,False,"natqua, colour, natcon, natsur, ffpt_rind, lnam_refs"
ponton,38,34,34,0,4,0,False,"natcon, ffpt_rind, status, lnam_refs"
boysaw,41,35,35,0,6,0,False,"colour, natcon, status, colpat, ffpt_rind, lnam_refs"
ofsplf,43,35,35,0,8,0,False,"prodct, colour, natcon, catofp, status, colpat, ffpt_rind, lnam_refs"
lndelv,31,29,29,0,2,0,False,"ffpt_rind, lnam_refs"
face,10,10,10,0,0,0,True,
lndrgn,31,26,26,0,5,0,False,"natqua, natsur, ffpt_rind, lnam_refs, catlnd"
wrecks,41,36,36,0,5,0,False,"tecsou, status, quasou, ffpt_rind, lnam_refs"
pilpnt,38,34,34,0,4,0,False,"colpat, ffpt_rind, lnam_refs, colour"
rectrc,41,36,36,0,5,0,False,"tecsou, status, quasou, ffpt_rind, lnam_refs"
m_qual,33,30,30,0,3,0,False,"tecsou, ffpt_rind, lnam_refs"
morfac,46,40,40,0,6,0,False,"colour, natcon, status, colpat, ffpt_rind, lnam_refs"
wedklp,28,26,26,0,2,0,False,"ffpt_rind, lnam_refs"
damcon,40,35,35,0,5,0,False,"colour, natcon, colpat, ffpt_rind, lnam_refs"
prcare,29,25,25,0,4,0,False,"restrn, ffpt_rind, status, lnam_refs"
slotop,37,31,31,0,6,0,False,"natqua, colour, natcon, natsur, ffpt_rind, lnam_refs"
tsslpt,31,27,27,0,4,0,False,"restrn, ffpt_rind, status, lnam_refs"
achare,34,29,29,0,5,0,False,"restrn, status, catach, ffpt_rind, lnam_refs"
soundg,34,29,29,0,5,0,False,"tecsou, status, quasou, ffpt_rind, lnam_refs"
depcnt,28,26,26,0,2,0,False,"ffpt_rind, lnam_refs"
curent,31,29,29,0,2,0,False,"ffpt_rind, lnam_refs"
bridge,44,38,38,0,6,0,False,"colour, catbrg, natcon, colpat, ffpt_rind, lnam_refs"
mipare,34,29,29,0,5,0,False,"restrn, status, ffpt_rind, lnam_refs, catmpa"
connectednode,10,10,10,0,0,0,True,
lndmrk,42,34,34,0,8,0,False,"colour, catlmk, natcon, functn, status, colpat, ffpt_rind, lnam_refs"
