layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,column_name,format_a_type,format_b_type
boyspp,35.0,43.0,35.0,8.0,0.0,14.0,False,"lnam_refs, colour, status, catspm, ffpt_rind, feature_id, natcon, colpat",,,
boyspp_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
boyspp_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
boyspp_TYPE_MISMATCH,,,,,,,,,verlen,float64,object
boyspp_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
boyspp_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
boyspp_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
boyspp_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
coalne,32.0,36.0,32.0,4.0,0.0,17.0,False,"lnam_refs, ffpt_rind, feature_id, colour",,,
coalne_TYPE_MISMATCH,,,,,,,,,conrad,float64,object
coalne_TYPE_MISMATCH,,,,,,,,,scamin,float64,object
coalne_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
coalne_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
coalne_TYPE_MISMATCH,,,,,,,,,elevat,float64,object
coalne_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
coalne_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
coalne_TYPE_MISMATCH,,,,,,,,,convis,float64,object
coalne_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
coalne_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
coalne_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
coalne_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
coalne_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
coalne_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
coalne_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
coalne_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
coalne_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
ctsare,29.0,33.0,29.0,4.0,0.0,12.0,False,"lnam_refs, ffpt_rind, feature_id, status",,,
ctsare_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
ctsare_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
ctsare_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
ctsare_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
ctsare_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
ctsare_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
ctsare_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
ctsare_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
ctsare_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
ctsare_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
ctsare_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
ctsare_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
exezne,24.0,27.0,24.0,3.0,0.0,12.0,False,"lnam_refs, ffpt_rind, feature_id",,,
exezne_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
exezne_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
exezne_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
exezne_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
exezne_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
exezne_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
exezne_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
exezne_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
exezne_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
exezne_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
exezne_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
exezne_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
slcons,40.0,47.0,40.0,7.0,0.0,22.0,False,"lnam_refs, colour, status, ffpt_rind, feature_id, natcon, colpat",,,
slcons_TYPE_MISMATCH,,,,,,,,,conrad,float64,object
slcons_TYPE_MISMATCH,,,,,,,,,scamin,float64,object
slcons_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
slcons_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
slcons_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
slcons_TYPE_MISMATCH,,,,,,,,,verlen,float64,object
slcons_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
slcons_TYPE_MISMATCH,,,,,,,,,convis,float64,object
slcons_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
slcons_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
slcons_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
slcons_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
slcons_TYPE_MISMATCH,,,,,,,,,horclr,float64,object
slcons_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
slcons_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
slcons_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
slcons_TYPE_MISMATCH,,,,,,,,,horlen,float64,object
slcons_TYPE_MISMATCH,,,,,,,,,horacc,float64,object
slcons_TYPE_MISMATCH,,,,,,,,,height,float64,object
slcons_TYPE_MISMATCH,,,,,,,,,horwid,float64,object
slcons_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
slcons_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
face,10.0,11.0,10.0,1.0,0.0,8.0,False,feature_id,,,
face_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,object
face_TYPE_MISMATCH,,,,,,,,,ruin,int32,object
face_TYPE_MISMATCH,,,,,,,,,rcid,int32,object
face_TYPE_MISMATCH,,,,,,,,,posacc,float64,object
face_TYPE_MISMATCH,,,,,,,,,quapos,int32,object
face_TYPE_MISMATCH,,,,,,,,,rver,int32,object
face_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,object
face_TYPE_MISMATCH,,,,,,,,,rcnm,int32,object
bcnlat,41.0,48.0,41.0,7.0,0.0,21.0,False,"lnam_refs, colour, status, ffpt_rind, feature_id, natcon, colpat",,,
bcnlat_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
bcnlat_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
bcnlat_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
bcnlat_TYPE_MISMATCH,,,,,,,,,elevat,float64,object
bcnlat_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
bcnlat_TYPE_MISMATCH,,,,,,,,,verlen,float64,object
bcnlat_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
bcnlat_TYPE_MISMATCH,,,,,,,,,convis,float64,object
bcnlat_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
bcnlat_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
bcnlat_TYPE_MISMATCH,,,,,,,,,bcnshp,int32,int64
bcnlat_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
bcnlat_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
bcnlat_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
bcnlat_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
bcnlat_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
bcnlat_TYPE_MISMATCH,,,,,,,,,marsys,float64,object
bcnlat_TYPE_MISMATCH,,,,,,,,,catlam,int32,int64
bcnlat_TYPE_MISMATCH,,,,,,,,,condtn,float64,object
bcnlat_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
bcnlat_TYPE_MISMATCH,,,,,,,,,veracc,float64,object
depare,27.0,31.0,27.0,4.0,0.0,14.0,False,"lnam_refs, quasou, ffpt_rind, feature_id",,,
depare_TYPE_MISMATCH,,,,,,,,,scamin,float64,object
