attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,isolatednode,isolatednode,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,0,0,Total features in each format
METADATA_TOTAL_COLUMNS,10,11,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,--- COLUMN PRESENCE ---,--- COLUMN PRESENCE ---,Which columns exist in each format
COLUMN_PRESENT_dsid_dsnm,YES,YES,Column dsid_dsnm presence
COLUMN_PRESENT_dsid_edtn,YES,YES,Column dsid_edtn presence
COLUMN_PRESENT_dsid_updn,YES,YES,Column dsid_updn presence
COLUMN_PRESENT_feature_id,NO,YES,Column feature_id presence
COLUMN_PRESENT_posacc,YES,YES,Column posacc presence
COLUMN_PRESENT_quapos,YES,YES,Column quapos presence
COLUMN_PRESENT_rcid,YES,YES,Column rcid presence
COLUMN_PRESENT_rcnm,YES,YES,Column rcnm presence
COLUMN_PRESENT_ruin,YES,YES,Column ruin presence
COLUMN_PRESENT_rver,YES,YES,Column rver presence
SEPARATOR_DATA_TYPES,--- DATA TYPES ---,--- DATA TYPES ---,Data types for each column
DATATYPE_dsid_dsnm,object,object,Data type for dsid_dsnm
DATATYPE_dsid_edtn,int32,object,Data type for dsid_edtn - MISMATCH!
DATATYPE_dsid_updn,int32,object,Data type for dsid_updn - MISMATCH!
DATATYPE_posacc,float64,object,Data type for posacc - MISMATCH!
DATATYPE_quapos,int32,object,Data type for quapos - MISMATCH!
DATATYPE_rcid,int32,object,Data type for rcid - MISMATCH!
DATATYPE_rcnm,int32,object,Data type for rcnm - MISMATCH!
DATATYPE_ruin,int32,object,Data type for ruin - MISMATCH!
DATATYPE_rver,int32,object,Data type for rver - MISMATCH!
