attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,m_covr,m_covr,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,13,13,Total features in each format
METADATA_TOTAL_COLUMNS,22,23,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,--- COLUMN PRESENCE ---,--- COLUMN PRESENCE ---,Which columns exist in each format
COLUMN_PRESENT_agen,YES,YES,Column agen presence
COLUMN_PRESENT_catcov,YES,YES,Column catcov presence
COLUMN_PRESENT_dsid_dsnm,YES,YES,Column dsid_dsnm presence
COLUMN_PRESENT_dsid_edtn,YES,YES,Column dsid_edtn presence
COLUMN_PRESENT_dsid_updn,YES,YES,Column dsid_updn presence
COLUMN_PRESENT_feature_id,NO,YES,Column feature_id presence
COLUMN_PRESENT_ffpt_rind,YES,YES,Column ffpt_rind presence
COLUMN_PRESENT_fidn,YES,YES,Column fidn presence
COLUMN_PRESENT_fids,YES,YES,Column fids presence
COLUMN_PRESENT_grup,YES,YES,Column grup presence
COLUMN_PRESENT_inform,YES,YES,Column inform presence
COLUMN_PRESENT_lnam,YES,YES,Column lnam presence
COLUMN_PRESENT_lnam_refs,YES,YES,Column lnam_refs presence
COLUMN_PRESENT_ninfom,YES,YES,Column ninfom presence
COLUMN_PRESENT_objl,YES,YES,Column objl presence
COLUMN_PRESENT_prim,YES,YES,Column prim presence
COLUMN_PRESENT_rcid,YES,YES,Column rcid presence
COLUMN_PRESENT_recdat,YES,YES,Column recdat presence
COLUMN_PRESENT_recind,YES,YES,Column recind presence
COLUMN_PRESENT_rver,YES,YES,Column rver presence
COLUMN_PRESENT_sordat,YES,YES,Column sordat presence
COLUMN_PRESENT_sorind,YES,YES,Column sorind presence
SEPARATOR_DATA_TYPES,--- DATA TYPES ---,--- DATA TYPES ---,Data types for each column
DATATYPE_agen,int32,float64,Data type for agen - MISMATCH!
DATATYPE_catcov,int32,int64,Data type for catcov - MISMATCH!
DATATYPE_dsid_dsnm,object,object,Data type for dsid_dsnm
DATATYPE_dsid_edtn,int32,int64,Data type for dsid_edtn - MISMATCH!
DATATYPE_dsid_updn,int32,int64,Data type for dsid_updn - MISMATCH!
DATATYPE_ffpt_rind,object,object,Data type for ffpt_rind
DATATYPE_fidn,int32,float64,Data type for fidn - MISMATCH!
DATATYPE_fids,int32,float64,Data type for fids - MISMATCH!
DATATYPE_grup,int32,float64,Data type for grup - MISMATCH!
DATATYPE_inform,object,object,Data type for inform
DATATYPE_lnam,object,object,Data type for lnam
DATATYPE_lnam_refs,object,object,Data type for lnam_refs
DATATYPE_ninfom,object,object,Data type for ninfom
DATATYPE_objl,int32,float64,Data type for objl - MISMATCH!
DATATYPE_prim,int32,float64,Data type for prim - MISMATCH!
DATATYPE_rcid,int32,float64,Data type for rcid - MISMATCH!
DATATYPE_recdat,object,object,Data type for recdat
DATATYPE_recind,object,object,Data type for recind
DATATYPE_rver,int32,float64,Data type for rver - MISMATCH!
DATATYPE_sordat,object,object,Data type for sordat
DATATYPE_sorind,object,object,Data type for sorind
SEPARATOR_FEATURE_SAMPLES,--- FEATURE SAMPLES (10) ---,--- FEATURE SAMPLES (10) ---,Sample of 10 features from each format
SAMPLE_FEATURE_1_SEPARATOR,--- FEATURE 1 ---,--- FEATURE 1 ---,Feature 1 sample
SAMPLE_F1_agen,550,550.0,Feature 1 - agen - VALUES DIFFER!
SAMPLE_F1_catcov,1,1,Feature 1 - catcov
SAMPLE_F1_dsid_dsnm,US3CA52M,US3CA52M,Feature 1 - dsid_dsnm
SAMPLE_F1_dsid_edtn,31,31,Feature 1 - dsid_edtn
SAMPLE_F1_dsid_updn,0,0,Feature 1 - dsid_updn
SAMPLE_F1_ffpt_rind,None,None,Feature 1 - ffpt_rind
SAMPLE_F1_fidn,-22583407,-22583407.0,Feature 1 - fidn - VALUES DIFFER!
SAMPLE_F1_fids,5460,5460.0,Feature 1 - fids - VALUES DIFFER!
SAMPLE_F1_geometry,"POLYGON ((-123.501081 36.418466, -123.501081 36.16...","POLYGON ((-123.501081 36.418466, -123.501081 36.16...",Feature 1 - geometry
SAMPLE_F1_grup,2,2.0,Feature 1 - grup - VALUES DIFFER!
SAMPLE_F1_inform,None,None,Feature 1 - inform
SAMPLE_F1_lnam,0226FEA767911554,0226FEA767911554,Feature 1 - lnam
SAMPLE_F1_lnam_refs,None,None,Feature 1 - lnam_refs
SAMPLE_F1_ninfom,None,None,Feature 1 - ninfom
SAMPLE_F1_objl,302,302.0,Feature 1 - objl - VALUES DIFFER!
SAMPLE_F1_prim,3,3.0,Feature 1 - prim - VALUES DIFFER!
SAMPLE_F1_rcid,2147,2147.0,Feature 1 - rcid - VALUES DIFFER!
SAMPLE_F1_recdat,None,None,Feature 1 - recdat
SAMPLE_F1_recind,None,None,Feature 1 - recind
SAMPLE_F1_rver,1,1.0,Feature 1 - rver - VALUES DIFFER!
SAMPLE_F1_sordat,None,None,Feature 1 - sordat
SAMPLE_F1_sorind,None,None,Feature 1 - sorind
SAMPLE_FEATURE_2_SEPARATOR,--- FEATURE 2 ---,--- FEATURE 2 ---,Feature 2 sample
SAMPLE_F2_agen,550,550.0,Feature 2 - agen - VALUES DIFFER!
SAMPLE_F2_catcov,2,2,Feature 2 - catcov
SAMPLE_F2_dsid_dsnm,US3CA52M,US3CA52M,Feature 2 - dsid_dsnm
SAMPLE_F2_dsid_edtn,31,31,Feature 2 - dsid_edtn
SAMPLE_F2_dsid_updn,0,0,Feature 2 - dsid_updn
SAMPLE_F2_ffpt_rind,None,None,Feature 2 - ffpt_rind
SAMPLE_F2_fidn,-22583406,-22583406.0,Feature 2 - fidn - VALUES DIFFER!
SAMPLE_F2_fids,5460,5460.0,Feature 2 - fids - VALUES DIFFER!
SAMPLE_F2_geometry,"POLYGON ((-121.5778698 37.8717473, -121.5778698 36...","POLYGON ((-121.5778698 37.8717473, -121.5778698 36...",Feature 2 - geometry
SAMPLE_F2_grup,2,2.0,Feature 2 - grup - VALUES DIFFER!
SAMPLE_F2_inform,None,None,Feature 2 - inform
SAMPLE_F2_lnam,0226FEA767921554,0226FEA767921554,Feature 2 - lnam
SAMPLE_F2_lnam_refs,None,None,Feature 2 - lnam_refs
SAMPLE_F2_ninfom,None,None,Feature 2 - ninfom
SAMPLE_F2_objl,302,302.0,Feature 2 - objl - VALUES DIFFER!
SAMPLE_F2_prim,3,3.0,Feature 2 - prim - VALUES DIFFER!
SAMPLE_F2_rcid,2148,2148.0,Feature 2 - rcid - VALUES DIFFER!
SAMPLE_F2_recdat,None,None,Feature 2 - recdat
SAMPLE_F2_recind,None,None,Feature 2 - recind
SAMPLE_F2_rver,1,1.0,Feature 2 - rver - VALUES DIFFER!
SAMPLE_F2_sordat,None,None,Feature 2 - sordat
SAMPLE_F2_sorind,None,None,Feature 2 - sorind
SAMPLE_FEATURE_3_SEPARATOR,--- FEATURE 3 ---,--- FEATURE 3 ---,Feature 3 sample
SAMPLE_F3_agen,550,550.0,Feature 3 - agen - VALUES DIFFER!
SAMPLE_F3_catcov,1,1,Feature 3 - catcov
SAMPLE_F3_dsid_dsnm,US1EEZ1M,US1EEZ1M,Feature 3 - dsid_dsnm
SAMPLE_F3_dsid_edtn,9,9,Feature 3 - dsid_edtn
SAMPLE_F3_dsid_updn,0,0,Feature 3 - dsid_updn
SAMPLE_F3_ffpt_rind,None,None,Feature 3 - ffpt_rind
SAMPLE_F3_fidn,-503900137,-503900137.0,Feature 3 - fidn - VALUES DIFFER!
SAMPLE_F3_fids,7398,7398.0,Feature 3 - fids - VALUES DIFFER!
SAMPLE_F3_geometry,"POLYGON ((150 20.0806854, 150 18, 150.8197617 18, ...","POLYGON ((150 20.0806854, 150 18, 150.8197617 18, ...",Feature 3 - geometry
SAMPLE_F3_grup,2,2.0,Feature 3 - grup - VALUES DIFFER!
SAMPLE_F3_inform,None,None,Feature 3 - inform
SAMPLE_F3_lnam,0226E1F718171CE6,0226E1F718171CE6,Feature 3 - lnam
SAMPLE_F3_lnam_refs,None,None,Feature 3 - lnam_refs
SAMPLE_F3_ninfom,None,None,Feature 3 - ninfom
SAMPLE_F3_objl,302,302.0,Feature 3 - objl - VALUES DIFFER!
SAMPLE_F3_prim,3,3.0,Feature 3 - prim - VALUES DIFFER!
