layer_name,gpkg_count,postgis_count,difference,match,gpkg_empty_fields,postgis_empty_fields,gpkg_total_fields,postgis_total_fields
lndare,1917,1917,0,True,12,12,28,29
ctnare,66,66,0,True,11,11,28,29
connectednode,0,0,0,True,0,0,9,10
depcnt,790,790,0,True,11,11,27,28
cblohd,4,4,0,True,22,22,38,39
slcons,566,566,0,True,27,27,45,46
coalne,1604,1604,0,True,19,19,34,35
lndrgn,192,192,0,True,13,13,30,31
uwtroc,678,678,0,True,14,14,36,37
lndelv,63,63,0,True,12,12,30,31
obstrn,230,230,0,True,19,19,43,44
mipare,11,11,0,True,14,14,33,34
feryrt,6,6,0,True,15,15,32,33
lights,379,379,0,True,17,17,48,49
buisgl,20,20,0,True,18,18,41,42
fshzne,1,1,0,True,12,12,28,29
navlne,7,7,0,True,13,13,31,32
fairwy,14,14,0,True,19,19,36,37
face,0,0,0,True,0,0,9,10
m_npub,8,8,0,True,9,9,24,25
bcnspp,99,99,0,True,16,16,46,47
prcare,1,1,0,True,13,13,28,29
lakare,51,51,0,True,13,13,29,30
pipare,1,1,0,True,16,16,33,34
lndmrk,251,251,0,True,11,11,41,42
tsslpt,23,23,0,True,13,13,30,31
bcnlat,20,20,0,True,20,20,46,47
splare,1,1,0,True,15,15,30,31
wrecks,202,202,0,True,16,16,40,41
boyspp,78,78,0,True,15,15,41,42
isolatednode,0,0,0,True,0,0,9,10
edge,0,0,0,True,0,0,21,22
boysaw,10,10,0,True,16,16,40,41
soundg,10592,10592,0,True,13,13,33,34
depare,705,705,0,True,15,15,29,30
marcul,1,1,0,True,22,22,41,42
tesare,56,56,0,True,9,9,26,27
pipsol,26,26,0,True,19,19,38,39
wedklp,183,183,0,True,11,11,27,28
wattur,1,1,0,True,11,11,27,28
cblsub,116,116,0,True,16,16,35,36
airare,3,3,0,True,15,15,31,32
pilpnt,8,8,0,True,19,19,37,38
ponton,1,1,0,True,22,22,37,38
boylat,28,28,0,True,18,18,41,42
ofsplf,27,27,0,True,21,21,42,43
seaare,300,300,0,True,10,10,27,28
magvar,166,166,0,True,9,9,27,28
topmar,6,6,0,True,21,21,38,39
m_nsys,8,8,0,True,11,11,26,27
exezne,7,7,0,True,7,7,25,26
m_qual,92,92,0,True,12,12,32,33
morfac,13,13,0,True,25,25,45,46
conzne,6,6,0,True,10,10,28,29
rtpbcn,11,11,0,True,20,20,38,39
slogrd,73,73,0,True,16,16,33,34
tssbnd,15,15,0,True,13,13,28,29
buaare,246,246,0,True,16,16,33,34
fogsig,46,46,0,True,17,17,38,39
rdosta,33,33,0,True,19,19,37,38
canals,4,4,0,True,18,18,34,35
siltnk,16,16,0,True,15,15,42,43
sbdare,846,846,0,True,10,10,30,31
bridge,71,71,0,True,23,23,43,44
pilbop,4,4,0,True,15,15,35,36
rivers,247,247,0,True,10,10,27,28
admare,22,22,0,True,9,9,29,30
achare,4,4,0,True,14,14,33,34
damcon,1,1,0,True,24,24,39,40
daymar,24,24,0,True,23,23,41,42
tsezne,3,3,0,True,12,12,28,29
dmpgrd,29,29,0,True,9,9,29,30
cblare,4,4,0,True,13,13,31,32
resare,23,23,0,True,10,10,33,34
cgusta,1,1,0,True,16,16,31,32
m_covr,13,13,0,True,8,8,21,22
slotop,27,27,0,True,20,20,36,37
ctsare,4,4,0,True,14,14,31,32
hrbfac,1,1,0,True,18,18,34,35
unsare,5,5,0,True,10,10,24,25
rectrc,5,5,0,True,20,20,40,41
rdocal,5,5,0,True,15,15,34,35
curent,77,77,0,True,11,11,30,31
