layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,column_name,format_a_type,format_b_type
lndare,29.0,30.0,29.0,1.0,0.0,13.0,False,feature_id,,,
lndare_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
lndare_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
lndare_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
lndare_TYPE_MISMATCH,,,,,,,,,condtn,float64,object
lndare_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
lndare_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
lndare_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
lndare_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
lndare_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
lndare_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
lndare_TYPE_MISMATCH,,,,,,,,,scamin,float64,object
lndare_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
lndare_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
ctnare,29.0,30.0,29.0,1.0,0.0,12.0,False,feature_id,,,
ctnare_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
ctnare_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
ctnare_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
ctnare_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
ctnare_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
ctnare_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
connectednode,10.0,11.0,10.0,1.0,0.0,8.0,False,feature_id,,,
connectednode_TYPE_MISMATCH,,,,,,,,,ruin,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,quapos,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,rcnm,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,rcid,int32,object
connectednode_TYPE_MISMATCH,,,,,,,,,posacc,float64,object
connectednode_TYPE_MISMATCH,,,,,,,,,rver,int32,object
depcnt,28.0,29.0,28.0,1.0,0.0,14.0,False,feature_id,,,
depcnt_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
depcnt_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,hypcat,float64,object
depcnt_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
depcnt_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
depcnt_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,prim,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,grup,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,fids,int32,float64
depcnt_TYPE_MISMATCH,,,,,,,,,scamin,int32,int64
depcnt_TYPE_MISMATCH,,,,,,,,,scamax,float64,object
depcnt_TYPE_MISMATCH,,,,,,,,,rcid,int32,float64
cblohd,39.0,40.0,39.0,1.0,0.0,21.0,False,feature_id,,,
cblohd_TYPE_MISMATCH,,,,,,,,,conrad,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,agen,int32,float64
cblohd_TYPE_MISMATCH,,,,,,,,,verdat,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,objl,int32,float64
cblohd_TYPE_MISMATCH,,,,,,,,,convis,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,vercsa,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,dsid_edtn,int32,int64
cblohd_TYPE_MISMATCH,,,,,,,,,condtn,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,icefac,float64,object
cblohd_TYPE_MISMATCH,,,,,,,,,dsid_updn,int32,int64
cblohd_TYPE_MISMATCH,,,,,,,,,fidn,int32,float64
cblohd_TYPE_MISMATCH,,,,,,,,,rver,int32,float64
