layer_name,spatialite_count,postgis_count,difference,match,spatialite_empty_fields,postgis_empty_fields,spatialite_total_fields,postgis_total_fields
conzne,6,6,0,True,7,10,25,34
magvar,166,166,0,True,7,9,25,33
bcnlat,20,20,0,True,19,20,40,52
exezne,7,7,0,True,5,7,23,31
rtpbcn,11,11,0,True,17,20,35,44
seaare,300,300,0,True,8,10,25,33
resare,23,23,0,True,8,10,28,39
m_npub,8,8,0,True,7,9,22,30
lndare,1917,1917,0,True,9,12,25,34
fairwy,14,14,0,True,14,19,31,42
connectednode,0,0,0,True,0,0,9,10
splare,1,1,0,True,11,15,26,36
admare,22,22,0,True,7,9,27,35
rdocal,5,5,0,True,12,15,31,40
lndrgn,192,192,0,True,9,13,25,36
rivers,247,247,0,True,8,10,24,33
lndelv,63,63,0,True,10,12,28,36
morfac,13,13,0,True,22,25,39,51
rectrc,5,5,0,True,15,20,35,46
bridge,71,71,0,True,18,23,37,49
ofsplf,27,27,0,True,17,21,34,48
ctsare,4,4,0,True,11,14,28,37
tsezne,3,3,0,True,9,12,25,34
bcnspp,99,99,0,True,16,16,39,52
boyspp,78,78,0,True,14,15,34,47
cblsub,116,116,0,True,14,16,32,41
pipare,1,1,0,True,11,16,27,39
m_nsys,8,8,0,True,9,11,24,32
rdosta,33,33,0,True,16,19,33,43
airare,3,3,0,True,11,15,27,37
cgusta,1,1,0,True,13,16,28,37
achare,4,4,0,True,11,14,28,39
edge,0,0,0,True,0,0,21,22
daymar,24,24,0,True,18,23,34,47
isolatednode,0,0,0,True,0,0,9,10
m_qual,92,92,0,True,10,12,29,38
lndmrk,251,251,0,True,11,11,33,47
fshzne,1,1,0,True,9,12,25,34
buaare,246,246,0,True,14,16,31,39
pilpnt,8,8,0,True,16,19,33,43
m_covr,13,13,0,True,6,8,19,27
unsare,5,5,0,True,8,10,22,30
prcare,1,1,0,True,9,13,24,34
slotop,27,27,0,True,14,20,30,42
ctnare,66,66,0,True,9,11,26,34
navlne,7,7,0,True,10,13,28,37
tssbnd,15,15,0,True,10,13,25,34
sbdare,846,846,0,True,8,10,25,36
wrecks,202,202,0,True,14,16,35,46
lights,379,379,0,True,15,17,42,54
obstrn,230,230,0,True,13,19,34,49
depcnt,790,790,0,True,9,11,25,33
mipare,11,11,0,True,10,14,28,39
marcul,1,1,0,True,17,22,36,47
face,0,0,0,True,0,0,9,10
boysaw,10,10,0,True,15,16,34,46
curent,77,77,0,True,9,11,28,36
soundg,10592,10592,0,True,10,13,28,39
tsslpt,23,23,0,True,9,13,26,36
slogrd,73,73,0,True,10,16,27,39
dmpgrd,29,29,0,True,6,9,24,35
pipsol,26,26,0,True,17,19,33,44
uwtroc,678,678,0,True,9,14,29,42
coalne,1604,1604,0,True,16,19,31,40
wattur,1,1,0,True,9,11,25,33
ponton,1,1,0,True,18,22,33,43
slcons,566,566,0,True,21,27,39,51
wedklp,183,183,0,True,9,11,25,33
cblohd,4,4,0,True,19,22,35,44
hrbfac,1,1,0,True,14,18,29,40
damcon,1,1,0,True,19,24,34,45
canals,4,4,0,True,15,18,31,40
cblare,4,4,0,True,10,13,27,37
boylat,28,28,0,True,16,18,35,47
feryrt,6,6,0,True,12,15,29,38
fogsig,46,46,0,True,14,17,35,44
buisgl,20,20,0,True,16,18,34,47
siltnk,16,16,0,True,15,15,35,48
depare,705,705,0,True,12,15,26,35
lakare,51,51,0,True,11,13,27,35
tesare,56,56,0,True,6,9,23,32
topmar,6,6,0,True,17,21,33,44
pilbop,4,4,0,True,12,15,32,41
