attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,siltnk,siltnk,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,16,16,Total features in each format
METADATA_TOTAL_COLUMNS,48,49,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,--- COLUMN PRESENCE ---,--- COLUMN PRESENCE ---,Which columns exist in each format
COLUMN_PRESENT_agen,YES,YES,Column agen presence
COLUMN_PRESENT_buishp,YES,YES,Column buishp presence
COLUMN_PRESENT_catsil,YES,YES,Column catsil presence
COLUMN_PRESENT_colour,YES,YES,Column colour presence
COLUMN_PRESENT_colpat,YES,YES,Column colpat presence
COLUMN_PRESENT_condtn,YES,YES,Column condtn presence
COLUMN_PRESENT_conrad,YES,YES,Column conrad presence
COLUMN_PRESENT_convis,YES,YES,Column convis presence
COLUMN_PRESENT_dsid_dsnm,YES,YES,Column dsid_dsnm presence
COLUMN_PRESENT_dsid_edtn,YES,YES,Column dsid_edtn presence
COLUMN_PRESENT_dsid_updn,YES,YES,Column dsid_updn presence
COLUMN_PRESENT_elevat,YES,YES,Column elevat presence
COLUMN_PRESENT_feature_id,NO,YES,Column feature_id presence
COLUMN_PRESENT_ffpt_rind,YES,YES,Column ffpt_rind presence
COLUMN_PRESENT_fidn,YES,YES,Column fidn presence
COLUMN_PRESENT_fids,YES,YES,Column fids presence
COLUMN_PRESENT_grup,YES,YES,Column grup presence
COLUMN_PRESENT_height,YES,YES,Column height presence
COLUMN_PRESENT_inform,YES,YES,Column inform presence
COLUMN_PRESENT_lnam,YES,YES,Column lnam presence
COLUMN_PRESENT_lnam_refs,YES,YES,Column lnam_refs presence
COLUMN_PRESENT_mask,YES,YES,Column mask presence
COLUMN_PRESENT_name_rcid,YES,YES,Column name_rcid presence
COLUMN_PRESENT_name_rcnm,YES,YES,Column name_rcnm presence
COLUMN_PRESENT_natcon,YES,YES,Column natcon presence
COLUMN_PRESENT_ninfom,YES,YES,Column ninfom presence
COLUMN_PRESENT_nobjnm,YES,YES,Column nobjnm presence
COLUMN_PRESENT_ntxtds,YES,YES,Column ntxtds presence
COLUMN_PRESENT_objl,YES,YES,Column objl presence
COLUMN_PRESENT_objnam,YES,YES,Column objnam presence
COLUMN_PRESENT_ornt,YES,YES,Column ornt presence
COLUMN_PRESENT_picrep,YES,YES,Column picrep presence
COLUMN_PRESENT_prim,YES,YES,Column prim presence
COLUMN_PRESENT_prodct,YES,YES,Column prodct presence
COLUMN_PRESENT_rcid,YES,YES,Column rcid presence
COLUMN_PRESENT_recdat,YES,YES,Column recdat presence
COLUMN_PRESENT_recind,YES,YES,Column recind presence
COLUMN_PRESENT_rver,YES,YES,Column rver presence
COLUMN_PRESENT_scamax,YES,YES,Column scamax presence
COLUMN_PRESENT_scamin,YES,YES,Column scamin presence
COLUMN_PRESENT_sordat,YES,YES,Column sordat presence
COLUMN_PRESENT_sorind,YES,YES,Column sorind presence
COLUMN_PRESENT_status,YES,YES,Column status presence
COLUMN_PRESENT_txtdsc,YES,YES,Column txtdsc presence
COLUMN_PRESENT_usag,YES,YES,Column usag presence
COLUMN_PRESENT_veracc,YES,YES,Column veracc presence
COLUMN_PRESENT_verdat,YES,YES,Column verdat presence
COLUMN_PRESENT_verlen,YES,YES,Column verlen presence
SEPARATOR_DATA_TYPES,--- DATA TYPES ---,--- DATA TYPES ---,Data types for each column
DATATYPE_agen,int32,float64,Data type for agen - MISMATCH!
DATATYPE_buishp,float64,object,Data type for buishp - MISMATCH!
DATATYPE_catsil,int32,int64,Data type for catsil - MISMATCH!
DATATYPE_colour,object,object,Data type for colour
DATATYPE_colpat,object,object,Data type for colpat
DATATYPE_condtn,float64,object,Data type for condtn - MISMATCH!
