attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,lights,lights,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,379,379,Total features in each format
METADATA_TOTAL_COLUMNS,54,43,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,--- COLUMN PRESENCE ---,--- COLUMN PRESENCE ---,Which columns exist in each format
COLUMN_PRESENT_agen,YES,YES,Column agen presence
COLUMN_PRESENT_catlit,YES,NO,Column catlit presence
COLUMN_PRESENT_colour,YES,NO,Column colour presence
COLUMN_PRESENT_datend,YES,YES,Column datend presence
COLUMN_PRESENT_datsta,YES,YES,Column datsta presence
COLUMN_PRESENT_dsid_dsnm,YES,YES,Column dsid_dsnm presence
COLUMN_PRESENT_dsid_edtn,YES,YES,Column dsid_edtn presence
COLUMN_PRESENT_dsid_updn,YES,YES,Column dsid_updn presence
COLUMN_PRESENT_exclit,YES,YES,Column exclit presence
COLUMN_PRESENT_ffpt_rind,YES,NO,Column ffpt_rind presence
COLUMN_PRESENT_fidn,YES,YES,Column fidn presence
COLUMN_PRESENT_fids,YES,YES,Column fids presence
COLUMN_PRESENT_grup,YES,YES,Column grup presence
COLUMN_PRESENT_height,YES,YES,Column height presence
COLUMN_PRESENT_inform,YES,YES,Column inform presence
COLUMN_PRESENT_litchr,YES,YES,Column litchr presence
COLUMN_PRESENT_litvis,YES,NO,Column litvis presence
COLUMN_PRESENT_lnam,YES,YES,Column lnam presence
COLUMN_PRESENT_lnam_refs,YES,NO,Column lnam_refs presence
COLUMN_PRESENT_marsys,YES,YES,Column marsys presence
COLUMN_PRESENT_mask,YES,NO,Column mask presence
COLUMN_PRESENT_mltylt,YES,YES,Column mltylt presence
COLUMN_PRESENT_name_rcid,YES,NO,Column name_rcid presence
COLUMN_PRESENT_name_rcnm,YES,NO,Column name_rcnm presence
COLUMN_PRESENT_ninfom,YES,YES,Column ninfom presence
COLUMN_PRESENT_nobjnm,YES,YES,Column nobjnm presence
COLUMN_PRESENT_ntxtds,YES,YES,Column ntxtds presence
COLUMN_PRESENT_objl,YES,YES,Column objl presence
COLUMN_PRESENT_objnam,YES,YES,Column objnam presence
COLUMN_PRESENT_orient,YES,YES,Column orient presence
COLUMN_PRESENT_ornt,YES,NO,Column ornt presence
COLUMN_PRESENT_perend,YES,YES,Column perend presence
COLUMN_PRESENT_persta,YES,YES,Column persta presence
COLUMN_PRESENT_prim,YES,YES,Column prim presence
COLUMN_PRESENT_rcid,YES,YES,Column rcid presence
COLUMN_PRESENT_recdat,YES,YES,Column recdat presence
COLUMN_PRESENT_recind,YES,YES,Column recind presence
COLUMN_PRESENT_rver,YES,YES,Column rver presence
COLUMN_PRESENT_scamax,YES,YES,Column scamax presence
COLUMN_PRESENT_scamin,YES,YES,Column scamin presence
COLUMN_PRESENT_sectr1,YES,YES,Column sectr1 presence
COLUMN_PRESENT_sectr2,YES,YES,Column sectr2 presence
COLUMN_PRESENT_siggrp,YES,YES,Column siggrp presence
COLUMN_PRESENT_sigper,YES,YES,Column sigper presence
COLUMN_PRESENT_sigseq,YES,YES,Column sigseq presence
COLUMN_PRESENT_sordat,YES,YES,Column sordat presence
COLUMN_PRESENT_sorind,YES,YES,Column sorind presence
COLUMN_PRESENT_status,YES,NO,Column status presence
COLUMN_PRESENT_txtdsc,YES,YES,Column txtdsc presence
COLUMN_PRESENT_usag,YES,NO,Column usag presence
COLUMN_PRESENT_valnmr,YES,YES,Column valnmr presence
COLUMN_PRESENT_veracc,YES,YES,Column veracc presence
COLUMN_PRESENT_verdat,YES,YES,Column verdat presence
SEPARATOR_DATA_TYPES,--- DATA TYPES ---,--- DATA TYPES ---,Data types for each column
DATATYPE_agen,int32,int32,Data type for agen
DATATYPE_datend,object,object,Data type for datend
DATATYPE_datsta,object,object,Data type for datsta
DATATYPE_dsid_dsnm,object,object,Data type for dsid_dsnm
DATATYPE_dsid_edtn,int32,int32,Data type for dsid_edtn
DATATYPE_dsid_updn,int32,int32,Data type for dsid_updn
DATATYPE_exclit,float64,float64,Data type for exclit
DATATYPE_fidn,int32,int32,Data type for fidn
DATATYPE_fids,int32,int32,Data type for fids
DATATYPE_grup,int32,int32,Data type for grup
DATATYPE_height,float64,float64,Data type for height
DATATYPE_inform,object,object,Data type for inform
DATATYPE_litchr,int32,int32,Data type for litchr
DATATYPE_lnam,object,object,Data type for lnam
DATATYPE_marsys,float64,float64,Data type for marsys
DATATYPE_mltylt,float64,float64,Data type for mltylt
DATATYPE_ninfom,object,object,Data type for ninfom
DATATYPE_nobjnm,object,object,Data type for nobjnm
DATATYPE_ntxtds,object,object,Data type for ntxtds
DATATYPE_objl,int32,int32,Data type for objl
DATATYPE_objnam,object,object,Data type for objnam
DATATYPE_orient,float64,float64,Data type for orient
DATATYPE_perend,object,object,Data type for perend
DATATYPE_persta,object,object,Data type for persta
DATATYPE_prim,int32,int32,Data type for prim
DATATYPE_rcid,int32,int32,Data type for rcid
DATATYPE_recdat,object,object,Data type for recdat
DATATYPE_recind,object,object,Data type for recind
DATATYPE_rver,int32,int32,Data type for rver
DATATYPE_scamax,float64,float64,Data type for scamax
DATATYPE_scamin,int32,int32,Data type for scamin
DATATYPE_sectr1,float64,float64,Data type for sectr1
DATATYPE_sectr2,float64,float64,Data type for sectr2
DATATYPE_siggrp,object,object,Data type for siggrp
DATATYPE_sigper,float64,float64,Data type for sigper
DATATYPE_sigseq,object,object,Data type for sigseq
DATATYPE_sordat,object,object,Data type for sordat
DATATYPE_sorind,object,object,Data type for sorind
DATATYPE_txtdsc,object,object,Data type for txtdsc
DATATYPE_valnmr,float64,float64,Data type for valnmr
DATATYPE_veracc,float64,float64,Data type for veracc
DATATYPE_verdat,float64,float64,Data type for verdat
SEPARATOR_FEATURE_SAMPLES,--- FEATURE SAMPLES (10) ---,--- FEATURE SAMPLES (10) ---,Sample of 10 features from each format
SAMPLE_FEATURE_1_SEPARATOR,--- FEATURE 1 ---,--- FEATURE 1 ---,Feature 1 sample
SAMPLE_F1_agen,550,550,Feature 1 - agen
SAMPLE_F1_datend,None,None,Feature 1 - datend
SAMPLE_F1_datsta,None,None,Feature 1 - datsta
SAMPLE_F1_dsid_dsnm,US3CA52M,US3CA52M,Feature 1 - dsid_dsnm
SAMPLE_F1_dsid_edtn,31,31,Feature 1 - dsid_edtn
SAMPLE_F1_dsid_updn,0,0,Feature 1 - dsid_updn
SAMPLE_F1_exclit,4.0,4.0,Feature 1 - exclit
SAMPLE_F1_fidn,18685606,18685606,Feature 1 - fidn
SAMPLE_F1_fids,50,50,Feature 1 - fids
SAMPLE_F1_geometry,Point(1),Point(1),Feature 1 - geometry
SAMPLE_F1_grup,2,2,Feature 1 - grup
SAMPLE_F1_height,nan,nan,Feature 1 - height
SAMPLE_F1_inform,None,None,Feature 1 - inform
SAMPLE_F1_litchr,2,2,Feature 1 - litchr
SAMPLE_F1_lnam,0226011D1EA60032,0226011D1EA60032,Feature 1 - lnam
SAMPLE_F1_marsys,nan,nan,Feature 1 - marsys
SAMPLE_F1_mltylt,nan,nan,Feature 1 - mltylt
SAMPLE_F1_ninfom,None,None,Feature 1 - ninfom
SAMPLE_F1_nobjnm,None,None,Feature 1 - nobjnm
SAMPLE_F1_ntxtds,None,None,Feature 1 - ntxtds
SAMPLE_F1_objl,75,75,Feature 1 - objl
SAMPLE_F1_objnam,None,None,Feature 1 - objnam
SAMPLE_F1_orient,nan,nan,Feature 1 - orient
SAMPLE_F1_perend,None,None,Feature 1 - perend
SAMPLE_F1_persta,None,None,Feature 1 - persta
SAMPLE_F1_prim,1,1,Feature 1 - prim
SAMPLE_F1_rcid,46,46,Feature 1 - rcid
SAMPLE_F1_recdat,None,None,Feature 1 - recdat
SAMPLE_F1_recind,None,None,Feature 1 - recind
SAMPLE_F1_rver,1,1,Feature 1 - rver
SAMPLE_F1_scamax,nan,nan,Feature 1 - scamax
SAMPLE_F1_scamin,499999,499999,Feature 1 - scamin
SAMPLE_F1_sectr1,nan,nan,Feature 1 - sectr1
SAMPLE_F1_sectr2,nan,nan,Feature 1 - sectr2
SAMPLE_F1_siggrp,(4),(4),Feature 1 - siggrp
SAMPLE_F1_sigper,20.0,20.0,Feature 1 - sigper
SAMPLE_F1_sigseq,01.0+(01.5)+01.0+(01.5)+01.0+(01.5)+01.0+(11.5),01.0+(01.5)+01.0+(01.5)+01.0+(01.5)+01.0+(11.5),Feature 1 - sigseq
SAMPLE_F1_sordat,20030902,20030902,Feature 1 - sordat
SAMPLE_F1_sorind,"US,US,reprt,11thCGD,LNM 35/03","US,US,reprt,11thCGD,LNM 35/03",Feature 1 - sorind
SAMPLE_F1_txtdsc,None,None,Feature 1 - txtdsc
SAMPLE_F1_valnmr,nan,nan,Feature 1 - valnmr
SAMPLE_F1_veracc,nan,nan,Feature 1 - veracc
SAMPLE_F1_verdat,nan,nan,Feature 1 - verdat
SAMPLE_FEATURE_2_SEPARATOR,--- FEATURE 2 ---,--- FEATURE 2 ---,Feature 2 sample
SAMPLE_F2_agen,550,550,Feature 2 - agen
SAMPLE_F2_datend,None,None,Feature 2 - datend
SAMPLE_F2_datsta,None,None,Feature 2 - datsta
SAMPLE_F2_dsid_dsnm,US3CA52M,US3CA52M,Feature 2 - dsid_dsnm
SAMPLE_F2_dsid_edtn,31,31,Feature 2 - dsid_edtn
SAMPLE_F2_dsid_updn,0,0,Feature 2 - dsid_updn
SAMPLE_F2_exclit,nan,nan,Feature 2 - exclit
SAMPLE_F2_fidn,889563520,889563520,Feature 2 - fidn
SAMPLE_F2_fids,7312,7312,Feature 2 - fids
SAMPLE_F2_geometry,Point(1),Point(1),Feature 2 - geometry
SAMPLE_F2_grup,2,2,Feature 2 - grup
SAMPLE_F2_height,nan,nan,Feature 2 - height
SAMPLE_F2_inform,None,None,Feature 2 - inform
SAMPLE_F2_litchr,2,2,Feature 2 - litchr
SAMPLE_F2_lnam,02263505A9801C90,02263505A9801C90,Feature 2 - lnam
SAMPLE_F2_marsys,nan,nan,Feature 2 - marsys
SAMPLE_F2_mltylt,nan,nan,Feature 2 - mltylt
SAMPLE_F2_ninfom,None,None,Feature 2 - ninfom
SAMPLE_F2_nobjnm,None,None,Feature 2 - nobjnm
SAMPLE_F2_ntxtds,None,None,Feature 2 - ntxtds
SAMPLE_F2_objl,75,75,Feature 2 - objl
SAMPLE_F2_objnam,None,None,Feature 2 - objnam
SAMPLE_F2_orient,nan,nan,Feature 2 - orient
SAMPLE_F2_perend,None,None,Feature 2 - perend
SAMPLE_F2_persta,None,None,Feature 2 - persta
SAMPLE_F2_prim,1,1,Feature 2 - prim
SAMPLE_F2_rcid,47,47,Feature 2 - rcid
SAMPLE_F2_recdat,None,None,Feature 2 - recdat
SAMPLE_F2_recind,None,None,Feature 2 - recind
SAMPLE_F2_rver,1,1,Feature 2 - rver
SAMPLE_F2_scamax,nan,nan,Feature 2 - scamax
SAMPLE_F2_scamin,499999,499999,Feature 2 - scamin
SAMPLE_F2_sectr1,nan,nan,Feature 2 - sectr1
SAMPLE_F2_sectr2,nan,nan,Feature 2 - sectr2
SAMPLE_F2_siggrp,(1),(1),Feature 2 - siggrp
SAMPLE_F2_sigper,2.5,2.5,Feature 2 - sigper
SAMPLE_F2_sigseq,00.3+(02.2),00.3+(02.2),Feature 2 - sigseq
