attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,tesare,tesare,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,56,56,Total features in each format
METADATA_TOTAL_COLUMNS,24,33,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,--- COLUMN PRESENCE ---,--- COLUMN PRESENCE ---,Which columns exist in each format
COLUMN_PRESENT_agen,YES,YES,Column agen presence
COLUMN_PRESENT_dsid_dsnm,YES,YES,Column dsid_dsnm presence
COLUMN_PRESENT_dsid_edtn,YES,YES,Column dsid_edtn presence
COLUMN_PRESENT_dsid_updn,YES,YES,Column dsid_updn presence
COLUMN_PRESENT_ffpt_rind,NO,YES,Column ffpt_rind presence
COLUMN_PRESENT_fidn,YES,YES,Column fidn presence
COLUMN_PRESENT_fids,YES,YES,Column fids presence
COLUMN_PRESENT_grup,YES,YES,Column grup presence
COLUMN_PRESENT_inform,YES,YES,Column inform presence
COLUMN_PRESENT_lnam,YES,YES,Column lnam presence
COLUMN_PRESENT_lnam_refs,NO,YES,Column lnam_refs presence
COLUMN_PRESENT_mask,NO,YES,Column mask presence
COLUMN_PRESENT_name_rcid,NO,YES,Column name_rcid presence
COLUMN_PRESENT_name_rcnm,NO,YES,Column name_rcnm presence
COLUMN_PRESENT_nation,YES,YES,Column nation presence
COLUMN_PRESENT_ninfom,YES,YES,Column ninfom presence
COLUMN_PRESENT_ntxtds,YES,YES,Column ntxtds presence
COLUMN_PRESENT_objl,YES,YES,Column objl presence
COLUMN_PRESENT_ogc_fid,NO,YES,Column ogc_fid presence
COLUMN_PRESENT_ornt,NO,YES,Column ornt presence
COLUMN_PRESENT_prim,YES,YES,Column prim presence
COLUMN_PRESENT_rcid,YES,YES,Column rcid presence
COLUMN_PRESENT_recdat,YES,YES,Column recdat presence
COLUMN_PRESENT_recind,YES,YES,Column recind presence
COLUMN_PRESENT_restrn,NO,YES,Column restrn presence
COLUMN_PRESENT_rver,YES,YES,Column rver presence
COLUMN_PRESENT_scamax,YES,YES,Column scamax presence
COLUMN_PRESENT_scamin,YES,YES,Column scamin presence
COLUMN_PRESENT_sordat,YES,YES,Column sordat presence
COLUMN_PRESENT_sorind,YES,YES,Column sorind presence
COLUMN_PRESENT_txtdsc,YES,YES,Column txtdsc presence
COLUMN_PRESENT_usag,NO,YES,Column usag presence
COLUMN_PRESENT_wkb_geometry,NO,YES,Column wkb_geometry presence
SEPARATOR_DATA_TYPES,--- DATA TYPES ---,--- DATA TYPES ---,Data types for each column
DATATYPE_agen,int32,float64,Data type for agen - MISMATCH!
DATATYPE_dsid_dsnm,object,object,Data type for dsid_dsnm
DATATYPE_dsid_edtn,int32,int64,Data type for dsid_edtn - MISMATCH!
DATATYPE_dsid_updn,int32,int64,Data type for dsid_updn - MISMATCH!
DATATYPE_fidn,int32,float64,Data type for fidn - MISMATCH!
DATATYPE_fids,int32,float64,Data type for fids - MISMATCH!
DATATYPE_grup,int32,float64,Data type for grup - MISMATCH!
DATATYPE_inform,object,object,Data type for inform
DATATYPE_lnam,object,object,Data type for lnam
DATATYPE_nation,object,object,Data type for nation
DATATYPE_ninfom,object,object,Data type for ninfom
DATATYPE_ntxtds,object,object,Data type for ntxtds
DATATYPE_objl,int32,float64,Data type for objl - MISMATCH!
DATATYPE_prim,int32,float64,Data type for prim - MISMATCH!
DATATYPE_rcid,int32,float64,Data type for rcid - MISMATCH!
DATATYPE_recdat,object,object,Data type for recdat
DATATYPE_recind,object,object,Data type for recind
DATATYPE_rver,int32,float64,Data type for rver - MISMATCH!
DATATYPE_scamax,float64,object,Data type for scamax - MISMATCH!
DATATYPE_scamin,int32,int64,Data type for scamin - MISMATCH!
DATATYPE_sordat,object,object,Data type for sordat
DATATYPE_sorind,object,object,Data type for sorind
DATATYPE_txtdsc,object,object,Data type for txtdsc
SEPARATOR_FEATURE_SAMPLES,--- FEATURE SAMPLES (10) ---,--- FEATURE SAMPLES (10) ---,Sample of 10 features from each format
SAMPLE_FEATURE_1_SEPARATOR,--- FEATURE 1 ---,--- FEATURE 1 ---,Feature 1 sample
SAMPLE_F1_agen,550,550.0,Feature 1 - agen - VALUES DIFFER!
SAMPLE_F1_dsid_dsnm,US3CA52M,US3CA52M,Feature 1 - dsid_dsnm
SAMPLE_F1_dsid_edtn,31,31,Feature 1 - dsid_edtn
SAMPLE_F1_dsid_updn,0,0,Feature 1 - dsid_updn
SAMPLE_F1_fidn,872923677,872923677.0,Feature 1 - fidn - VALUES DIFFER!
SAMPLE_F1_fids,8691,8691.0,Feature 1 - fids - VALUES DIFFER!
SAMPLE_F1_grup,2,2.0,Feature 1 - grup - VALUES DIFFER!
SAMPLE_F1_inform,The seaward-most limit of this area feature is the outer limit of the Territorial Sea. For more i...,The seaward-most limit of this area feature is the outer limit of the Territorial Sea. For more i...,Feature 1 - inform
SAMPLE_F1_lnam,02263407C21D21F3,02263407C21D21F3,Feature 1 - lnam
SAMPLE_F1_nation,US,US,Feature 1 - nation
SAMPLE_F1_ninfom,None,None,Feature 1 - ninfom
SAMPLE_F1_ntxtds,None,None,Feature 1 - ntxtds
SAMPLE_F1_objl,135,135.0,Feature 1 - objl - VALUES DIFFER!
SAMPLE_F1_prim,3,3.0,Feature 1 - prim - VALUES DIFFER!
SAMPLE_F1_rcid,1711,1711.0,Feature 1 - rcid - VALUES DIFFER!
SAMPLE_F1_recdat,None,None,Feature 1 - recdat
SAMPLE_F1_recind,None,None,Feature 1 - recind
SAMPLE_F1_rver,1,1.0,Feature 1 - rver - VALUES DIFFER!
SAMPLE_F1_scamax,nan,None,Feature 1 - scamax - VALUES DIFFER!
SAMPLE_F1_scamin,499999,499999,Feature 1 - scamin
SAMPLE_F1_sordat,20240119,20240119,Feature 1 - sordat
SAMPLE_F1_sorind,"US,US,reprt,L-30-2024","US,US,reprt,L-30-2024",Feature 1 - sorind
SAMPLE_F1_txtdsc,None,None,Feature 1 - txtdsc
SAMPLE_FEATURE_2_SEPARATOR,--- FEATURE 2 ---,--- FEATURE 2 ---,Feature 2 sample
SAMPLE_F2_agen,550,550.0,Feature 2 - agen - VALUES DIFFER!
SAMPLE_F2_dsid_dsnm,US3CA52M,US3CA52M,Feature 2 - dsid_dsnm
SAMPLE_F2_dsid_edtn,31,31,Feature 2 - dsid_edtn
SAMPLE_F2_dsid_updn,0,0,Feature 2 - dsid_updn
SAMPLE_F2_fidn,872923677,872923677.0,Feature 2 - fidn - VALUES DIFFER!
SAMPLE_F2_fids,65533,65533.0,Feature 2 - fids - VALUES DIFFER!
SAMPLE_F2_grup,2,2.0,Feature 2 - grup - VALUES DIFFER!
SAMPLE_F2_inform,The seaward-most limit of this area feature is the outer limit of the Territorial Sea. For more i...,The seaward-most limit of this area feature is the outer limit of the Territorial Sea. For more i...,Feature 2 - inform
SAMPLE_F2_lnam,02263407C21DFFFD,02263407C21DFFFD,Feature 2 - lnam
SAMPLE_F2_nation,US,US,Feature 2 - nation
SAMPLE_F2_ninfom,None,None,Feature 2 - ninfom
SAMPLE_F2_ntxtds,None,None,Feature 2 - ntxtds
SAMPLE_F2_objl,135,135.0,Feature 2 - objl - VALUES DIFFER!
SAMPLE_F2_prim,3,3.0,Feature 2 - prim - VALUES DIFFER!
SAMPLE_F2_rcid,1712,1712.0,Feature 2 - rcid - VALUES DIFFER!
SAMPLE_F2_recdat,None,None,Feature 2 - recdat
SAMPLE_F2_recind,None,None,Feature 2 - recind
SAMPLE_F2_rver,1,1.0,Feature 2 - rver - VALUES DIFFER!
SAMPLE_F2_scamax,nan,None,Feature 2 - scamax - VALUES DIFFER!
SAMPLE_F2_scamin,499999,499999,Feature 2 - scamin
SAMPLE_F2_sordat,20240119,20240119,Feature 2 - sordat
SAMPLE_F2_sorind,"US,US,reprt,L-30-2024","US,US,reprt,L-30-2024",Feature 2 - sorind
SAMPLE_F2_txtdsc,None,None,Feature 2 - txtdsc
SAMPLE_FEATURE_3_SEPARATOR,--- FEATURE 3 ---,--- FEATURE 3 ---,Feature 3 sample
SAMPLE_F3_agen,550,550.0,Feature 3 - agen - VALUES DIFFER!
SAMPLE_F3_dsid_dsnm,US3CA52M,US3CA52M,Feature 3 - dsid_dsnm
SAMPLE_F3_dsid_edtn,31,31,Feature 3 - dsid_edtn
SAMPLE_F3_dsid_updn,0,0,Feature 3 - dsid_updn
SAMPLE_F3_fidn,890360302,890360302.0,Feature 3 - fidn - VALUES DIFFER!
SAMPLE_F3_fids,8691,8691.0,Feature 3 - fids - VALUES DIFFER!
SAMPLE_F3_grup,2,2.0,Feature 3 - grup - VALUES DIFFER!
SAMPLE_F3_inform,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,Feature 3 - inform
SAMPLE_F3_lnam,02263511D1EE21F3,02263511D1EE21F3,Feature 3 - lnam
SAMPLE_F3_nation,US,US,Feature 3 - nation
SAMPLE_F3_ninfom,None,None,Feature 3 - ninfom
SAMPLE_F3_ntxtds,None,None,Feature 3 - ntxtds
SAMPLE_F3_objl,135,135.0,Feature 3 - objl - VALUES DIFFER!
SAMPLE_F3_prim,3,3.0,Feature 3 - prim - VALUES DIFFER!
SAMPLE_F3_rcid,1713,1713.0,Feature 3 - rcid - VALUES DIFFER!
SAMPLE_F3_recdat,None,None,Feature 3 - recdat
SAMPLE_F3_recind,None,None,Feature 3 - recind
SAMPLE_F3_rver,1,1.0,Feature 3 - rver - VALUES DIFFER!
SAMPLE_F3_scamax,nan,None,Feature 3 - scamax - VALUES DIFFER!
SAMPLE_F3_scamin,499999,499999,Feature 3 - scamin
SAMPLE_F3_sordat,20240119,20240119,Feature 3 - sordat
SAMPLE_F3_sorind,"US,US,reprt,L-30-2024","US,US,reprt,L-30-2024",Feature 3 - sorind
SAMPLE_F3_txtdsc,None,None,Feature 3 - txtdsc
SAMPLE_FEATURE_4_SEPARATOR,--- FEATURE 4 ---,--- FEATURE 4 ---,Feature 4 sample
SAMPLE_F4_agen,550,550.0,Feature 4 - agen - VALUES DIFFER!
SAMPLE_F4_dsid_dsnm,US1GC09M,US1GC09M,Feature 4 - dsid_dsnm
SAMPLE_F4_dsid_edtn,65,65,Feature 4 - dsid_edtn
SAMPLE_F4_dsid_updn,5,5,Feature 4 - dsid_updn
SAMPLE_F4_fidn,131615772,131615772.0,Feature 4 - fidn - VALUES DIFFER!
SAMPLE_F4_fids,8691,8691.0,Feature 4 - fids - VALUES DIFFER!
SAMPLE_F4_grup,2,2.0,Feature 4 - grup - VALUES DIFFER!
SAMPLE_F4_inform,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,Feature 4 - inform
SAMPLE_F4_lnam,022607D84C1C21F3,022607D84C1C21F3,Feature 4 - lnam
SAMPLE_F4_nation,US,US,Feature 4 - nation
SAMPLE_F4_ninfom,None,None,Feature 4 - ninfom
SAMPLE_F4_ntxtds,None,None,Feature 4 - ntxtds
SAMPLE_F4_objl,135,135.0,Feature 4 - objl - VALUES DIFFER!
SAMPLE_F4_prim,3,3.0,Feature 4 - prim - VALUES DIFFER!
SAMPLE_F4_rcid,4820,4820.0,Feature 4 - rcid - VALUES DIFFER!
SAMPLE_F4_recdat,None,None,Feature 4 - recdat
SAMPLE_F4_recind,None,None,Feature 4 - recind
SAMPLE_F4_rver,1,1.0,Feature 4 - rver - VALUES DIFFER!
SAMPLE_F4_scamax,nan,None,Feature 4 - scamax - VALUES DIFFER!
SAMPLE_F4_scamin,9999999,9999999,Feature 4 - scamin
SAMPLE_F4_sordat,20240119,20240119,Feature 4 - sordat
SAMPLE_F4_sorind,"US,US,reprt,L-30-2024","US,US,reprt,L-30-2024",Feature 4 - sorind
SAMPLE_F4_txtdsc,None,None,Feature 4 - txtdsc
SAMPLE_FEATURE_5_SEPARATOR,--- FEATURE 5 ---,--- FEATURE 5 ---,Feature 5 sample
SAMPLE_F5_agen,550,550.0,Feature 5 - agen - VALUES DIFFER!
SAMPLE_F5_dsid_dsnm,US1GC09M,US1GC09M,Feature 5 - dsid_dsnm
SAMPLE_F5_dsid_edtn,65,65,Feature 5 - dsid_edtn
SAMPLE_F5_dsid_updn,5,5,Feature 5 - dsid_updn
SAMPLE_F5_fidn,762003381,762003381.0,Feature 5 - fidn - VALUES DIFFER!
SAMPLE_F5_fids,8691,8691.0,Feature 5 - fids - VALUES DIFFER!
SAMPLE_F5_grup,2,2.0,Feature 5 - grup - VALUES DIFFER!
SAMPLE_F5_inform,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,Feature 5 - inform
SAMPLE_F5_lnam,02262D6B3FB521F3,02262D6B3FB521F3,Feature 5 - lnam
SAMPLE_F5_nation,US,US,Feature 5 - nation
SAMPLE_F5_ninfom,None,None,Feature 5 - ninfom
SAMPLE_F5_ntxtds,None,None,Feature 5 - ntxtds
SAMPLE_F5_objl,135,135.0,Feature 5 - objl - VALUES DIFFER!
SAMPLE_F5_prim,3,3.0,Feature 5 - prim - VALUES DIFFER!
SAMPLE_F5_rcid,4821,4821.0,Feature 5 - rcid - VALUES DIFFER!
SAMPLE_F5_recdat,None,None,Feature 5 - recdat
SAMPLE_F5_recind,None,None,Feature 5 - recind
SAMPLE_F5_rver,1,1.0,Feature 5 - rver - VALUES DIFFER!
SAMPLE_F5_scamax,nan,None,Feature 5 - scamax - VALUES DIFFER!
SAMPLE_F5_scamin,9999999,9999999,Feature 5 - scamin
SAMPLE_F5_sordat,20240119,20240119,Feature 5 - sordat
SAMPLE_F5_sorind,"US,US,reprt,L-30-2024","US,US,reprt,L-30-2024",Feature 5 - sorind
SAMPLE_F5_txtdsc,None,None,Feature 5 - txtdsc
SAMPLE_FEATURE_6_SEPARATOR,--- FEATURE 6 ---,--- FEATURE 6 ---,Feature 6 sample
SAMPLE_F6_agen,550,550.0,Feature 6 - agen - VALUES DIFFER!
SAMPLE_F6_dsid_dsnm,US1GC09M,US1GC09M,Feature 6 - dsid_dsnm
SAMPLE_F6_dsid_edtn,65,65,Feature 6 - dsid_edtn
SAMPLE_F6_dsid_updn,5,5,Feature 6 - dsid_updn
SAMPLE_F6_fidn,376936825,376936825.0,Feature 6 - fidn - VALUES DIFFER!
SAMPLE_F6_fids,8691,8691.0,Feature 6 - fids - VALUES DIFFER!
SAMPLE_F6_grup,2,2.0,Feature 6 - grup - VALUES DIFFER!
SAMPLE_F6_inform,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,Feature 6 - inform
SAMPLE_F6_lnam,02261677997921F3,02261677997921F3,Feature 6 - lnam
SAMPLE_F6_nation,US,US,Feature 6 - nation
SAMPLE_F6_ninfom,None,None,Feature 6 - ninfom
SAMPLE_F6_ntxtds,None,None,Feature 6 - ntxtds
SAMPLE_F6_objl,135,135.0,Feature 6 - objl - VALUES DIFFER!
SAMPLE_F6_prim,3,3.0,Feature 6 - prim - VALUES DIFFER!
SAMPLE_F6_rcid,4822,4822.0,Feature 6 - rcid - VALUES DIFFER!
SAMPLE_F6_recdat,None,None,Feature 6 - recdat
SAMPLE_F6_recind,None,None,Feature 6 - recind
SAMPLE_F6_rver,1,1.0,Feature 6 - rver - VALUES DIFFER!
SAMPLE_F6_scamax,nan,None,Feature 6 - scamax - VALUES DIFFER!
SAMPLE_F6_scamin,9999999,9999999,Feature 6 - scamin
SAMPLE_F6_sordat,20240119,20240119,Feature 6 - sordat
SAMPLE_F6_sorind,"US,US,reprt,L-30-2024","US,US,reprt,L-30-2024",Feature 6 - sorind
SAMPLE_F6_txtdsc,None,None,Feature 6 - txtdsc
SAMPLE_FEATURE_7_SEPARATOR,--- FEATURE 7 ---,--- FEATURE 7 ---,Feature 7 sample
SAMPLE_F7_agen,550,550.0,Feature 7 - agen - VALUES DIFFER!
SAMPLE_F7_dsid_dsnm,US1GC09M,US1GC09M,Feature 7 - dsid_dsnm
SAMPLE_F7_dsid_edtn,65,65,Feature 7 - dsid_edtn
SAMPLE_F7_dsid_updn,5,5,Feature 7 - dsid_updn
SAMPLE_F7_fidn,265720340,265720340.0,Feature 7 - fidn - VALUES DIFFER!
SAMPLE_F7_fids,8691,8691.0,Feature 7 - fids - VALUES DIFFER!
SAMPLE_F7_grup,2,2.0,Feature 7 - grup - VALUES DIFFER!
SAMPLE_F7_inform,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,The seaward-most limit of this area feature is a Closing Line. For more information about maritim...,Feature 7 - inform
SAMPLE_F7_lnam,02260FD6921421F3,02260FD6921421F3,Feature 7 - lnam
SAMPLE_F7_nation,US,US,Feature 7 - nation
SAMPLE_F7_ninfom,None,None,Feature 7 - ninfom
SAMPLE_F7_ntxtds,None,None,Feature 7 - ntxtds
SAMPLE_F7_objl,135,135.0,Feature 7 - objl - VALUES DIFFER!
SAMPLE_F7_prim,3,3.0,Feature 7 - prim - VALUES DIFFER!
