attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,navlne,navlne,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,7,7,Total features in each format
METADATA_TOTAL_COLUMNS,32,29,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,--- COLUMN PRESENCE ---,--- COLUMN PRESENCE ---,Which columns exist in each format
COLUMN_PRESENT_agen,YES,YES,Column agen presence
COLUMN_PRESENT_catnav,YES,YES,Column catnav presence
COLUMN_PRESENT_datend,YES,YES,Column datend presence
COLUMN_PRESENT_datsta,YES,YES,Column datsta presence
COLUMN_PRESENT_dsid_dsnm,YES,YES,Column dsid_dsnm presence
COLUMN_PRESENT_dsid_edtn,YES,YES,Column dsid_edtn presence
COLUMN_PRESENT_dsid_updn,YES,YES,Column dsid_updn presence
COLUMN_PRESENT_ffpt_rind,YES,NO,Column ffpt_rind presence
COLUMN_PRESENT_fidn,YES,YES,Column fidn presence
COLUMN_PRESENT_fids,YES,YES,Column fids presence
COLUMN_PRESENT_grup,YES,YES,Column grup presence
COLUMN_PRESENT_inform,YES,YES,Column inform presence
COLUMN_PRESENT_lnam,YES,YES,Column lnam presence
COLUMN_PRESENT_lnam_refs,YES,NO,Column lnam_refs presence
COLUMN_PRESENT_ninfom,YES,YES,Column ninfom presence
COLUMN_PRESENT_ntxtds,YES,YES,Column ntxtds presence
COLUMN_PRESENT_objl,YES,YES,Column objl presence
COLUMN_PRESENT_orient,YES,YES,Column orient presence
COLUMN_PRESENT_perend,YES,YES,Column perend presence
COLUMN_PRESENT_persta,YES,YES,Column persta presence
COLUMN_PRESENT_prim,YES,YES,Column prim presence
COLUMN_PRESENT_rcid,YES,YES,Column rcid presence
COLUMN_PRESENT_recdat,YES,YES,Column recdat presence
COLUMN_PRESENT_recind,YES,YES,Column recind presence
COLUMN_PRESENT_rver,YES,YES,Column rver presence
COLUMN_PRESENT_scamax,YES,YES,Column scamax presence
COLUMN_PRESENT_scamin,YES,YES,Column scamin presence
COLUMN_PRESENT_sordat,YES,YES,Column sordat presence
COLUMN_PRESENT_sorind,YES,YES,Column sorind presence
COLUMN_PRESENT_status,YES,NO,Column status presence
COLUMN_PRESENT_txtdsc,YES,YES,Column txtdsc presence
SEPARATOR_DATA_TYPES,--- DATA TYPES ---,--- DATA TYPES ---,Data types for each column
DATATYPE_agen,int32,int32,Data type for agen
DATATYPE_catnav,float64,float64,Data type for catnav
DATATYPE_datend,object,object,Data type for datend
DATATYPE_datsta,object,object,Data type for datsta
DATATYPE_dsid_dsnm,object,object,Data type for dsid_dsnm
DATATYPE_dsid_edtn,int32,int32,Data type for dsid_edtn
DATATYPE_dsid_updn,int32,int32,Data type for dsid_updn
DATATYPE_fidn,int32,int32,Data type for fidn
DATATYPE_fids,int32,int32,Data type for fids
DATATYPE_grup,int32,int32,Data type for grup
DATATYPE_inform,object,object,Data type for inform
DATATYPE_lnam,object,object,Data type for lnam
DATATYPE_ninfom,object,object,Data type for ninfom
DATATYPE_ntxtds,object,object,Data type for ntxtds
DATATYPE_objl,int32,int32,Data type for objl
DATATYPE_orient,float64,float64,Data type for orient
DATATYPE_perend,object,object,Data type for perend
DATATYPE_persta,object,object,Data type for persta
DATATYPE_prim,int32,int32,Data type for prim
DATATYPE_rcid,int32,int32,Data type for rcid
