attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,m_qual,m_qual,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,92,92,Total features in each format
METADATA_TOTAL_COLUMNS,33,30,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,--- COLUMN PRESENCE ---,--- COLUMN PRESENCE ---,Which columns exist in each format
COLUMN_PRESENT_agen,YES,YES,Column agen presence
COLUMN_PRESENT_catqua,YES,YES,Column catqua presence
COLUMN_PRESENT_catzoc,YES,YES,Column catzoc presence
COLUMN_PRESENT_drval1,YES,YES,Column drval1 presence
COLUMN_PRESENT_drval2,YES,YES,Column drval2 presence
COLUMN_PRESENT_dsid_dsnm,YES,YES,Column dsid_dsnm presence
COLUMN_PRESENT_dsid_edtn,YES,YES,Column dsid_edtn presence
COLUMN_PRESENT_dsid_updn,YES,YES,Column dsid_updn presence
COLUMN_PRESENT_ffpt_rind,YES,NO,Column ffpt_rind presence
COLUMN_PRESENT_fidn,YES,YES,Column fidn presence
COLUMN_PRESENT_fids,YES,YES,Column fids presence
COLUMN_PRESENT_grup,YES,YES,Column grup presence
COLUMN_PRESENT_inform,YES,YES,Column inform presence
COLUMN_PRESENT_lnam,YES,YES,Column lnam presence
COLUMN_PRESENT_lnam_refs,YES,NO,Column lnam_refs presence
COLUMN_PRESENT_ninfom,YES,YES,Column ninfom presence
COLUMN_PRESENT_ntxtds,YES,YES,Column ntxtds presence
COLUMN_PRESENT_objl,YES,YES,Column objl presence
COLUMN_PRESENT_posacc,YES,YES,Column posacc presence
COLUMN_PRESENT_prim,YES,YES,Column prim presence
COLUMN_PRESENT_rcid,YES,YES,Column rcid presence
COLUMN_PRESENT_recdat,YES,YES,Column recdat presence
COLUMN_PRESENT_recind,YES,YES,Column recind presence
COLUMN_PRESENT_rver,YES,YES,Column rver presence
COLUMN_PRESENT_sordat,YES,YES,Column sordat presence
COLUMN_PRESENT_sorind,YES,YES,Column sorind presence
COLUMN_PRESENT_souacc,YES,YES,Column souacc presence
COLUMN_PRESENT_surend,YES,YES,Column surend presence
COLUMN_PRESENT_sursta,YES,YES,Column sursta presence
COLUMN_PRESENT_tecsou,YES,NO,Column tecsou presence
COLUMN_PRESENT_txtdsc,YES,YES,Column txtdsc presence
COLUMN_PRESENT_verdat,YES,YES,Column verdat presence
SEPARATOR_DATA_TYPES,--- DATA TYPES ---,--- DATA TYPES ---,Data types for each column
DATATYPE_agen,int32,int32,Data type for agen
DATATYPE_catqua,float64,float64,Data type for catqua
DATATYPE_catzoc,int32,int32,Data type for catzoc
DATATYPE_drval1,float64,float64,Data type for drval1
DATATYPE_drval2,float64,float64,Data type for drval2
DATATYPE_dsid_dsnm,object,object,Data type for dsid_dsnm
DATATYPE_dsid_edtn,int32,int32,Data type for dsid_edtn
DATATYPE_dsid_updn,int32,int32,Data type for dsid_updn
DATATYPE_fidn,int32,int32,Data type for fidn
DATATYPE_fids,int32,int32,Data type for fids
DATATYPE_grup,int32,int32,Data type for grup
DATATYPE_inform,object,object,Data type for inform
DATATYPE_lnam,object,object,Data type for lnam
DATATYPE_ninfom,object,object,Data type for ninfom
DATATYPE_ntxtds,object,object,Data type for ntxtds
DATATYPE_objl,int32,int32,Data type for objl
DATATYPE_posacc,float64,float64,Data type for posacc
DATATYPE_prim,int32,int32,Data type for prim
DATATYPE_rcid,int32,int32,Data type for rcid
DATATYPE_recdat,object,object,Data type for recdat
DATATYPE_recind,object,object,Data type for recind
DATATYPE_rver,int32,int32,Data type for rver
DATATYPE_sordat,object,object,Data type for sordat
DATATYPE_sorind,object,object,Data type for sorind
DATATYPE_souacc,float64,float64,Data type for souacc
DATATYPE_surend,object,object,Data type for surend
DATATYPE_sursta,object,object,Data type for sursta
DATATYPE_txtdsc,object,object,Data type for txtdsc
DATATYPE_verdat,float64,float64,Data type for verdat
SEPARATOR_FEATURE_SAMPLES,--- FEATURE SAMPLES (10) ---,--- FEATURE SAMPLES (10) ---,Sample of 10 features from each format
SAMPLE_FEATURE_1_SEPARATOR,--- FEATURE 1 ---,--- FEATURE 1 ---,Feature 1 sample
SAMPLE_F1_agen,550,550,Feature 1 - agen
SAMPLE_F1_catqua,nan,nan,Feature 1 - catqua
SAMPLE_F1_catzoc,3,3,Feature 1 - catzoc
SAMPLE_F1_drval1,nan,nan,Feature 1 - drval1
SAMPLE_F1_drval2,nan,nan,Feature 1 - drval2
SAMPLE_F1_dsid_dsnm,US3CA52M,US3CA52M,Feature 1 - dsid_dsnm
SAMPLE_F1_dsid_edtn,31,31,Feature 1 - dsid_edtn
SAMPLE_F1_dsid_updn,0,0,Feature 1 - dsid_updn
SAMPLE_F1_fidn,815278745,815278745,Feature 1 - fidn
SAMPLE_F1_fids,12345,12345,Feature 1 - fids
SAMPLE_F1_geometry,"POLYGON ((-122.988069 36.1666, -122.9876375 36.166...","POLYGON ((-122.988069 36.1666, -122.9876375 36.166...",Feature 1 - geometry
SAMPLE_F1_grup,2,2,Feature 1 - grup
SAMPLE_F1_inform,None,None,Feature 1 - inform
SAMPLE_F1_lnam,022630982A993039,022630982A993039,Feature 1 - lnam
SAMPLE_F1_ninfom,None,None,Feature 1 - ninfom
SAMPLE_F1_ntxtds,None,None,Feature 1 - ntxtds
SAMPLE_F1_objl,308,308,Feature 1 - objl
SAMPLE_F1_posacc,nan,nan,Feature 1 - posacc
SAMPLE_F1_prim,3,3,Feature 1 - prim
SAMPLE_F1_rcid,803,803,Feature 1 - rcid
SAMPLE_F1_recdat,None,None,Feature 1 - recdat
SAMPLE_F1_recind,None,None,Feature 1 - recind
SAMPLE_F1_rver,1,1,Feature 1 - rver
SAMPLE_F1_sordat,20170704,20170704,Feature 1 - sordat
SAMPLE_F1_sorind,"US,US,graph,W-00444","US,US,graph,W-00444",Feature 1 - sorind
SAMPLE_F1_souacc,nan,nan,Feature 1 - souacc
SAMPLE_F1_surend,20170704,20170704,Feature 1 - surend
SAMPLE_F1_sursta,20170629,20170629,Feature 1 - sursta
SAMPLE_F1_txtdsc,US3CA52D.TXT,US3CA52D.TXT,Feature 1 - txtdsc
SAMPLE_F1_verdat,nan,nan,Feature 1 - verdat
SAMPLE_FEATURE_2_SEPARATOR,--- FEATURE 2 ---,--- FEATURE 2 ---,Feature 2 sample
SAMPLE_F2_agen,550,550,Feature 2 - agen
SAMPLE_F2_catqua,nan,nan,Feature 2 - catqua
SAMPLE_F2_catzoc,4,4,Feature 2 - catzoc
SAMPLE_F2_drval1,nan,nan,Feature 2 - drval1
SAMPLE_F2_drval2,nan,nan,Feature 2 - drval2
SAMPLE_F2_dsid_dsnm,US3CA52M,US3CA52M,Feature 2 - dsid_dsnm
SAMPLE_F2_dsid_edtn,31,31,Feature 2 - dsid_edtn
SAMPLE_F2_dsid_updn,0,0,Feature 2 - dsid_updn
SAMPLE_F2_fidn,945674231,945674231,Feature 2 - fidn
SAMPLE_F2_fids,12345,12345,Feature 2 - fids
SAMPLE_F2_geometry,"POLYGON ((-123.501081 36.8901462, -123.4657181 36....","POLYGON ((-123.501081 36.8901462, -123.4657181 36....",Feature 2 - geometry
SAMPLE_F2_grup,2,2,Feature 2 - grup
SAMPLE_F2_inform,None,None,Feature 2 - inform
SAMPLE_F2_lnam,0226385DD7F73039,0226385DD7F73039,Feature 2 - lnam
SAMPLE_F2_ninfom,None,None,Feature 2 - ninfom
SAMPLE_F2_ntxtds,None,None,Feature 2 - ntxtds
SAMPLE_F2_objl,308,308,Feature 2 - objl
SAMPLE_F2_posacc,nan,nan,Feature 2 - posacc
SAMPLE_F2_prim,3,3,Feature 2 - prim
SAMPLE_F2_rcid,804,804,Feature 2 - rcid
SAMPLE_F2_recdat,None,None,Feature 2 - recdat
SAMPLE_F2_recind,None,None,Feature 2 - recind
SAMPLE_F2_rver,1,1,Feature 2 - rver
SAMPLE_F2_sordat,20170920,20170920,Feature 2 - sordat
SAMPLE_F2_sorind,"US,US,reprt,L-818-2017","US,US,reprt,L-818-2017",Feature 2 - sorind
SAMPLE_F2_souacc,nan,nan,Feature 2 - souacc
SAMPLE_F2_surend,1969,1969,Feature 2 - surend
SAMPLE_F2_sursta,1960,1960,Feature 2 - sursta
SAMPLE_F2_txtdsc,US3CA52D.TXT,US3CA52D.TXT,Feature 2 - txtdsc
SAMPLE_F2_verdat,nan,nan,Feature 2 - verdat
SAMPLE_FEATURE_3_SEPARATOR,--- FEATURE 3 ---,--- FEATURE 3 ---,Feature 3 sample
SAMPLE_F3_agen,550,550,Feature 3 - agen
SAMPLE_F3_catqua,nan,nan,Feature 3 - catqua
SAMPLE_F3_catzoc,3,3,Feature 3 - catzoc
SAMPLE_F3_drval1,nan,nan,Feature 3 - drval1
SAMPLE_F3_drval2,nan,nan,Feature 3 - drval2
SAMPLE_F3_dsid_dsnm,US3CA52M,US3CA52M,Feature 3 - dsid_dsnm
SAMPLE_F3_dsid_edtn,31,31,Feature 3 - dsid_edtn
SAMPLE_F3_dsid_updn,0,0,Feature 3 - dsid_updn
SAMPLE_F3_fidn,202777135,202777135,Feature 3 - fidn
SAMPLE_F3_fids,12345,12345,Feature 3 - fids
SAMPLE_F3_geometry,"POLYGON ((-122.8843157 37.3288769, -122.8796998 37...","POLYGON ((-122.8843157 37.3288769, -122.8796998 37...",Feature 3 - geometry
SAMPLE_F3_grup,2,2,Feature 3 - grup
SAMPLE_F3_inform,None,None,Feature 3 - inform
SAMPLE_F3_lnam,02260C16222F3039,02260C16222F3039,Feature 3 - lnam
SAMPLE_F3_ninfom,None,None,Feature 3 - ninfom
SAMPLE_F3_ntxtds,None,None,Feature 3 - ntxtds
SAMPLE_F3_objl,308,308,Feature 3 - objl
SAMPLE_F3_posacc,nan,nan,Feature 3 - posacc
SAMPLE_F3_prim,3,3,Feature 3 - prim
SAMPLE_F3_rcid,805,805,Feature 3 - rcid
SAMPLE_F3_recdat,None,None,Feature 3 - recdat
SAMPLE_F3_recind,None,None,Feature 3 - recind
SAMPLE_F3_rver,1,1,Feature 3 - rver
SAMPLE_F3_sordat,20170604,20170604,Feature 3 - sordat
SAMPLE_F3_sorind,"US,US,graph,W-00443","US,US,graph,W-00443",Feature 3 - sorind
SAMPLE_F3_souacc,nan,nan,Feature 3 - souacc
SAMPLE_F3_surend,20170604,20170604,Feature 3 - surend
SAMPLE_F3_sursta,20170513,20170513,Feature 3 - sursta
SAMPLE_F3_txtdsc,US3CA52D.TXT,US3CA52D.TXT,Feature 3 - txtdsc
SAMPLE_F3_verdat,nan,nan,Feature 3 - verdat
SAMPLE_FEATURE_4_SEPARATOR,--- FEATURE 4 ---,--- FEATURE 4 ---,Feature 4 sample
SAMPLE_F4_agen,550,550,Feature 4 - agen
SAMPLE_F4_catqua,nan,nan,Feature 4 - catqua
SAMPLE_F4_catzoc,4,4,Feature 4 - catzoc
SAMPLE_F4_drval1,nan,nan,Feature 4 - drval1
SAMPLE_F4_drval2,nan,nan,Feature 4 - drval2
SAMPLE_F4_dsid_dsnm,US3CA52M,US3CA52M,Feature 4 - dsid_dsnm
SAMPLE_F4_dsid_edtn,31,31,Feature 4 - dsid_edtn
SAMPLE_F4_dsid_updn,0,0,Feature 4 - dsid_updn
SAMPLE_F4_fidn,436106801,436106801,Feature 4 - fidn
SAMPLE_F4_fids,12345,12345,Feature 4 - fids
SAMPLE_F4_geometry,"POLYGON ((-122.5580136 36.8827734, -122.5540026 36...","POLYGON ((-122.5580136 36.8827734, -122.5540026 36...",Feature 4 - geometry
SAMPLE_F4_grup,2,2,Feature 4 - grup
SAMPLE_F4_inform,None,None,Feature 4 - inform
SAMPLE_F4_lnam,022619FE76313039,022619FE76313039,Feature 4 - lnam
SAMPLE_F4_ninfom,None,None,Feature 4 - ninfom
SAMPLE_F4_ntxtds,None,None,Feature 4 - ntxtds
SAMPLE_F4_objl,308,308,Feature 4 - objl
SAMPLE_F4_posacc,nan,nan,Feature 4 - posacc
SAMPLE_F4_prim,3,3,Feature 4 - prim
SAMPLE_F4_rcid,806,806,Feature 4 - rcid
SAMPLE_F4_recdat,None,None,Feature 4 - recdat
SAMPLE_F4_recind,None,None,Feature 4 - recind
SAMPLE_F4_rver,1,1,Feature 4 - rver
SAMPLE_F4_sordat,20170920,20170920,Feature 4 - sordat
SAMPLE_F4_sorind,"US,US,reprt,L-818-2017","US,US,reprt,L-818-2017",Feature 4 - sorind
SAMPLE_F4_souacc,nan,nan,Feature 4 - souacc
SAMPLE_F4_surend,1969,1969,Feature 4 - surend
SAMPLE_F4_sursta,1960,1960,Feature 4 - sursta
SAMPLE_F4_txtdsc,US3CA52D.TXT,US3CA52D.TXT,Feature 4 - txtdsc
SAMPLE_F4_verdat,nan,nan,Feature 4 - verdat
SAMPLE_FEATURE_5_SEPARATOR,--- FEATURE 5 ---,--- FEATURE 5 ---,Feature 5 sample
SAMPLE_F5_agen,550,550,Feature 5 - agen
SAMPLE_F5_catqua,nan,nan,Feature 5 - catqua
SAMPLE_F5_catzoc,3,3,Feature 5 - catzoc
SAMPLE_F5_drval1,nan,nan,Feature 5 - drval1
SAMPLE_F5_drval2,nan,nan,Feature 5 - drval2
SAMPLE_F5_dsid_dsnm,US3CA52M,US3CA52M,Feature 5 - dsid_dsnm
SAMPLE_F5_dsid_edtn,31,31,Feature 5 - dsid_edtn
SAMPLE_F5_dsid_updn,0,0,Feature 5 - dsid_updn
SAMPLE_F5_fidn,966921321,966921321,Feature 5 - fidn
SAMPLE_F5_fids,12345,12345,Feature 5 - fids
SAMPLE_F5_geometry,"POLYGON ((-122.503164 36.6205845, -122.4908125 36....","POLYGON ((-122.503164 36.6205845, -122.4908125 36....",Feature 5 - geometry
SAMPLE_F5_grup,2,2,Feature 5 - grup
SAMPLE_F5_inform,None,None,Feature 5 - inform
SAMPLE_F5_lnam,022639A20C693039,022639A20C693039,Feature 5 - lnam
SAMPLE_F5_ninfom,None,None,Feature 5 - ninfom
SAMPLE_F5_ntxtds,None,None,Feature 5 - ntxtds
SAMPLE_F5_objl,308,308,Feature 5 - objl
SAMPLE_F5_posacc,nan,nan,Feature 5 - posacc
SAMPLE_F5_prim,3,3,Feature 5 - prim
SAMPLE_F5_rcid,807,807,Feature 5 - rcid
SAMPLE_F5_recdat,None,None,Feature 5 - recdat
SAMPLE_F5_recind,None,None,Feature 5 - recind
SAMPLE_F5_rver,1,1,Feature 5 - rver
SAMPLE_F5_sordat,20110401,20110401,Feature 5 - sordat
SAMPLE_F5_sorind,"US,US,graph,W-00447","US,US,graph,W-00447",Feature 5 - sorind
SAMPLE_F5_souacc,nan,nan,Feature 5 - souacc
SAMPLE_F5_surend,20110401,20110401,Feature 5 - surend
SAMPLE_F5_sursta,20110316,20110316,Feature 5 - sursta
SAMPLE_F5_txtdsc,US3CA52D.TXT,US3CA52D.TXT,Feature 5 - txtdsc
SAMPLE_F5_verdat,nan,nan,Feature 5 - verdat
SAMPLE_FEATURE_6_SEPARATOR,--- FEATURE 6 ---,--- FEATURE 6 ---,Feature 6 sample
SAMPLE_F6_agen,550,550,Feature 6 - agen
SAMPLE_F6_catqua,nan,nan,Feature 6 - catqua
SAMPLE_F6_catzoc,4,4,Feature 6 - catzoc
SAMPLE_F6_drval1,nan,nan,Feature 6 - drval1
SAMPLE_F6_drval2,nan,nan,Feature 6 - drval2
SAMPLE_F6_dsid_dsnm,US3CA52M,US3CA52M,Feature 6 - dsid_dsnm
SAMPLE_F6_dsid_edtn,31,31,Feature 6 - dsid_edtn
SAMPLE_F6_dsid_updn,0,0,Feature 6 - dsid_updn
SAMPLE_F6_fidn,971000299,971000299,Feature 6 - fidn
SAMPLE_F6_fids,10005,10005,Feature 6 - fids
SAMPLE_F6_geometry,"POLYGON ((-122.503164 36.6205845, -122.5057719 36....","POLYGON ((-122.503164 36.6205845, -122.5057719 36....",Feature 6 - geometry
