layer_name,gpkg_count,spatialite_count,difference,match,missing_in,status
resare,23.0,23.0,0.0,True,,
airare,3.0,3.0,0.0,True,,
uwtroc,678.0,678.0,0.0,True,,
isolatednode,0.0,0.0,0.0,True,,
tsezne,3.0,3.0,0.0,True,,
bcnlat,20.0,20.0,0.0,True,,
sbdare,846.0,846.0,0.0,True,,
slcons,566.0,566.0,0.0,True,,
siltnk,16.0,16.0,0.0,True,,
admare,22.0,22.0,0.0,True,,
magvar,166.0,166.0,0.0,True,,
rtpbcn,11.0,11.0,0.0,True,,
bridge,71.0,71.0,0.0,True,,
soundg,10592.0,10592.0,0.0,True,,
cblsub,116.0,116.0,0.0,True,,
edge,0.0,0.0,0.0,True,,
bcnspp,99.0,99.0,0.0,True,,
cblohd,4.0,4.0,0.0,True,,
boyspp,78.0,78.0,0.0,True,,
face,0.0,0.0,0.0,True,,
lakare,51.0,51.0,0.0,True,,
marcul,1.0,1.0,0.0,True,,
ctsare,4.0,4.0,0.0,True,,
wrecks,202.0,202.0,0.0,True,,
m_nsys,8.0,8.0,0.0,True,,
buisgl,20.0,20.0,0.0,True,,
lndelv,63.0,63.0,0.0,True,,
dmpgrd,29.0,29.0,0.0,True,,
lndrgn,192.0,192.0,0.0,True,,
ofsplf,27.0,27.0,0.0,True,,
canals,4.0,4.0,0.0,True,,
depcnt,790.0,790.0,0.0,True,,
unsare,5.0,5.0,0.0,True,,
m_qual,92.0,92.0,0.0,True,,
boylat,28.0,28.0,0.0,True,,
ponton,1.0,1.0,0.0,True,,
slotop,27.0,27.0,0.0,True,,
fairwy,14.0,14.0,0.0,True,,
morfac,13.0,13.0,0.0,True,,
cgusta,1.0,1.0,0.0,True,,
wattur,1.0,1.0,0.0,True,,
buaare,246.0,246.0,0.0,True,,
tesare,56.0,56.0,0.0,True,,
pilbop,4.0,4.0,0.0,True,,
tsslpt,23.0,23.0,0.0,True,,
slogrd,73.0,73.0,0.0,True,,
prcare,1.0,1.0,0.0,True,,
pipsol,26.0,26.0,0.0,True,,
mipare,11.0,11.0,0.0,True,,
achare,4.0,4.0,0.0,True,,
fogsig,46.0,46.0,0.0,True,,
connectednode,0.0,0.0,0.0,True,,
obstrn,230.0,230.0,0.0,True,,
lndare,1917.0,1917.0,0.0,True,,
lights,379.0,379.0,0.0,True,,
coalne,1604.0,1604.0,0.0,True,,
topmar,6.0,6.0,0.0,True,,
feryrt,6.0,6.0,0.0,True,,
rivers,247.0,247.0,0.0,True,,
curent,77.0,77.0,0.0,True,,
cblare,4.0,4.0,0.0,True,,
boysaw,10.0,10.0,0.0,True,,
tssbnd,15.0,15.0,0.0,True,,
rectrc,5.0,5.0,0.0,True,,
depare,705.0,705.0,0.0,True,,
fshzne,1.0,1.0,0.0,True,,
exezne,7.0,7.0,0.0,True,,
m_npub,8.0,8.0,0.0,True,,
m_covr,13.0,13.0,0.0,True,,
damcon,1.0,1.0,0.0,True,,
seaare,300.0,300.0,0.0,True,,
splare,1.0,1.0,0.0,True,,
conzne,6.0,6.0,0.0,True,,
rdocal,5.0,5.0,0.0,True,,
rdosta,33.0,33.0,0.0,True,,
ctnare,66.0,66.0,0.0,True,,
daymar,24.0,24.0,0.0,True,,
wedklp,183.0,183.0,0.0,True,,
lndmrk,251.0,251.0,0.0,True,,
hrbfac,1.0,1.0,0.0,True,,
navlne,7.0,7.0,0.0,True,,
pipare,1.0,1.0,0.0,True,,
pilpnt,8.0,8.0,0.0,True,,
c_asso,,,,,gpkg,MISSING
dsid,,,,,gpkg,MISSING
c_aggr,,,,,gpkg,MISSING
