attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,slcons,slcons,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,566,566,Total features in each format
METADATA_TOTAL_COLUMNS,46,47,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,--- COLUMN PRESENCE ---,--- COLUMN PRESENCE ---,Which columns exist in each format
COLUMN_PRESENT_agen,YES,YES,Column agen presence
COLUMN_PRESENT_catslc,YES,YES,Column catslc presence
COLUMN_PRESENT_colour,YES,YES,Column colour presence
COLUMN_PRESENT_colpat,YES,YES,Column colpat presence
COLUMN_PRESENT_condtn,YES,YES,Column condtn presence
COLUMN_PRESENT_conrad,YES,YES,Column conrad presence
COLUMN_PRESENT_convis,YES,YES,Column convis presence
COLUMN_PRESENT_datend,YES,YES,Column datend presence
COLUMN_PRESENT_datsta,YES,YES,Column datsta presence
COLUMN_PRESENT_dsid_dsnm,YES,YES,Column dsid_dsnm presence
COLUMN_PRESENT_dsid_edtn,YES,YES,Column dsid_edtn presence
COLUMN_PRESENT_dsid_updn,YES,YES,Column dsid_updn presence
COLUMN_PRESENT_ffpt_rind,YES,YES,Column ffpt_rind presence
COLUMN_PRESENT_fidn,YES,YES,Column fidn presence
COLUMN_PRESENT_fids,YES,YES,Column fids presence
COLUMN_PRESENT_grup,YES,YES,Column grup presence
COLUMN_PRESENT_height,YES,YES,Column height presence
COLUMN_PRESENT_horacc,YES,YES,Column horacc presence
COLUMN_PRESENT_horclr,YES,YES,Column horclr presence
COLUMN_PRESENT_horlen,YES,YES,Column horlen presence
COLUMN_PRESENT_horwid,YES,YES,Column horwid presence
COLUMN_PRESENT_inform,YES,YES,Column inform presence
COLUMN_PRESENT_lnam,YES,YES,Column lnam presence
COLUMN_PRESENT_lnam_refs,YES,YES,Column lnam_refs presence
COLUMN_PRESENT_natcon,YES,YES,Column natcon presence
COLUMN_PRESENT_ninfom,YES,YES,Column ninfom presence
COLUMN_PRESENT_nobjnm,YES,YES,Column nobjnm presence
COLUMN_PRESENT_ntxtds,YES,YES,Column ntxtds presence
COLUMN_PRESENT_objl,YES,YES,Column objl presence
COLUMN_PRESENT_objnam,YES,YES,Column objnam presence
COLUMN_PRESENT_ogc_fid,NO,YES,Column ogc_fid presence
COLUMN_PRESENT_prim,YES,YES,Column prim presence
COLUMN_PRESENT_rcid,YES,YES,Column rcid presence
COLUMN_PRESENT_recdat,YES,YES,Column recdat presence
COLUMN_PRESENT_recind,YES,YES,Column recind presence
COLUMN_PRESENT_rver,YES,YES,Column rver presence
COLUMN_PRESENT_scamax,YES,YES,Column scamax presence
COLUMN_PRESENT_scamin,YES,YES,Column scamin presence
COLUMN_PRESENT_sordat,YES,YES,Column sordat presence
COLUMN_PRESENT_sorind,YES,YES,Column sorind presence
COLUMN_PRESENT_status,YES,YES,Column status presence
COLUMN_PRESENT_txtdsc,YES,YES,Column txtdsc presence
COLUMN_PRESENT_veracc,YES,YES,Column veracc presence
COLUMN_PRESENT_verdat,YES,YES,Column verdat presence
COLUMN_PRESENT_verlen,YES,YES,Column verlen presence
COLUMN_PRESENT_watlev,YES,YES,Column watlev presence
COLUMN_PRESENT_wkb_geometry,NO,YES,Column wkb_geometry presence
SEPARATOR_DATA_TYPES,--- DATA TYPES ---,--- DATA TYPES ---,Data types for each column
DATATYPE_agen,int32,float64,Data type for agen - MISMATCH!
DATATYPE_catslc,float64,float64,Data type for catslc
DATATYPE_colour,object,object,Data type for colour
DATATYPE_colpat,object,object,Data type for colpat
DATATYPE_condtn,float64,float64,Data type for condtn
DATATYPE_conrad,float64,object,Data type for conrad - MISMATCH!
DATATYPE_convis,float64,object,Data type for convis - MISMATCH!
DATATYPE_datend,object,object,Data type for datend
DATATYPE_datsta,object,object,Data type for datsta
DATATYPE_dsid_dsnm,object,object,Data type for dsid_dsnm
DATATYPE_dsid_edtn,int32,int64,Data type for dsid_edtn - MISMATCH!
DATATYPE_dsid_updn,int32,int64,Data type for dsid_updn - MISMATCH!
DATATYPE_ffpt_rind,object,object,Data type for ffpt_rind
DATATYPE_fidn,int32,float64,Data type for fidn - MISMATCH!
DATATYPE_fids,int32,float64,Data type for fids - MISMATCH!
DATATYPE_grup,int32,float64,Data type for grup - MISMATCH!
DATATYPE_height,float64,object,Data type for height - MISMATCH!
DATATYPE_horacc,float64,object,Data type for horacc - MISMATCH!
DATATYPE_horclr,float64,object,Data type for horclr - MISMATCH!
DATATYPE_horlen,float64,object,Data type for horlen - MISMATCH!
DATATYPE_horwid,float64,object,Data type for horwid - MISMATCH!
DATATYPE_inform,object,object,Data type for inform
DATATYPE_lnam,object,object,Data type for lnam
DATATYPE_lnam_refs,object,object,Data type for lnam_refs
DATATYPE_natcon,object,object,Data type for natcon
DATATYPE_ninfom,object,object,Data type for ninfom
DATATYPE_nobjnm,object,object,Data type for nobjnm
DATATYPE_ntxtds,object,object,Data type for ntxtds
DATATYPE_objl,int32,float64,Data type for objl - MISMATCH!
DATATYPE_objnam,object,object,Data type for objnam
DATATYPE_prim,int32,float64,Data type for prim - MISMATCH!
DATATYPE_rcid,int32,float64,Data type for rcid - MISMATCH!
DATATYPE_recdat,object,object,Data type for recdat
DATATYPE_recind,object,object,Data type for recind
DATATYPE_rver,int32,float64,Data type for rver - MISMATCH!
DATATYPE_scamax,float64,object,Data type for scamax - MISMATCH!
DATATYPE_scamin,float64,object,Data type for scamin - MISMATCH!
DATATYPE_sordat,object,object,Data type for sordat
DATATYPE_sorind,object,object,Data type for sorind
DATATYPE_status,object,object,Data type for status
DATATYPE_txtdsc,object,object,Data type for txtdsc
DATATYPE_veracc,float64,object,Data type for veracc - MISMATCH!
DATATYPE_verdat,float64,object,Data type for verdat - MISMATCH!
DATATYPE_verlen,float64,object,Data type for verlen - MISMATCH!
DATATYPE_watlev,float64,float64,Data type for watlev
SEPARATOR_FEATURE_SAMPLES,--- FEATURE SAMPLES (10) ---,--- FEATURE SAMPLES (10) ---,Sample of 10 features from each format
SAMPLE_FEATURE_1_SEPARATOR,--- FEATURE 1 ---,--- FEATURE 1 ---,Feature 1 sample
SAMPLE_F1_agen,550,550.0,Feature 1 - agen - VALUES DIFFER!
SAMPLE_F1_catslc,4.0,4.0,Feature 1 - catslc
SAMPLE_F1_colour,None,None,Feature 1 - colour
SAMPLE_F1_colpat,None,None,Feature 1 - colpat
SAMPLE_F1_condtn,nan,nan,Feature 1 - condtn
SAMPLE_F1_conrad,nan,None,Feature 1 - conrad - VALUES DIFFER!
SAMPLE_F1_convis,nan,None,Feature 1 - convis - VALUES DIFFER!
SAMPLE_F1_datend,None,None,Feature 1 - datend
SAMPLE_F1_datsta,None,None,Feature 1 - datsta
SAMPLE_F1_dsid_dsnm,US3CA52M,US3CA52M,Feature 1 - dsid_dsnm
SAMPLE_F1_dsid_edtn,31,31,Feature 1 - dsid_edtn
SAMPLE_F1_dsid_updn,0,0,Feature 1 - dsid_updn
SAMPLE_F1_ffpt_rind,None,None,Feature 1 - ffpt_rind
SAMPLE_F1_fidn,133657380,133657380.0,Feature 1 - fidn - VALUES DIFFER!
SAMPLE_F1_fids,1764,1764.0,Feature 1 - fids - VALUES DIFFER!
SAMPLE_F1_grup,2,2.0,Feature 1 - grup - VALUES DIFFER!
SAMPLE_F1_height,nan,None,Feature 1 - height - VALUES DIFFER!
SAMPLE_F1_horacc,nan,None,Feature 1 - horacc - VALUES DIFFER!
SAMPLE_F1_horclr,nan,None,Feature 1 - horclr - VALUES DIFFER!
SAMPLE_F1_horlen,nan,None,Feature 1 - horlen - VALUES DIFFER!
SAMPLE_F1_horwid,nan,None,Feature 1 - horwid - VALUES DIFFER!
SAMPLE_F1_inform,None,None,Feature 1 - inform
SAMPLE_F1_lnam,022607F7732406E4,022607F7732406E4,Feature 1 - lnam
SAMPLE_F1_lnam_refs,None,None,Feature 1 - lnam_refs
SAMPLE_F1_natcon,None,None,Feature 1 - natcon
SAMPLE_F1_ninfom,None,None,Feature 1 - ninfom
SAMPLE_F1_nobjnm,None,None,Feature 1 - nobjnm
SAMPLE_F1_ntxtds,None,None,Feature 1 - ntxtds
SAMPLE_F1_objl,122,122.0,Feature 1 - objl - VALUES DIFFER!
SAMPLE_F1_objnam,None,None,Feature 1 - objnam
SAMPLE_F1_prim,2,2.0,Feature 1 - prim - VALUES DIFFER!
SAMPLE_F1_rcid,198,198.0,Feature 1 - rcid - VALUES DIFFER!
SAMPLE_F1_recdat,None,None,Feature 1 - recdat
SAMPLE_F1_recind,None,None,Feature 1 - recind
SAMPLE_F1_rver,1,1.0,Feature 1 - rver - VALUES DIFFER!
SAMPLE_F1_scamax,nan,None,Feature 1 - scamax - VALUES DIFFER!
SAMPLE_F1_scamin,nan,None,Feature 1 - scamin - VALUES DIFFER!
SAMPLE_F1_sordat,201305,201305,Feature 1 - sordat
SAMPLE_F1_sorind,"US,US,graph,Chart 18680","US,US,graph,Chart 18680",Feature 1 - sorind
SAMPLE_F1_status,None,None,Feature 1 - status
SAMPLE_F1_txtdsc,None,None,Feature 1 - txtdsc
SAMPLE_F1_veracc,nan,None,Feature 1 - veracc - VALUES DIFFER!
SAMPLE_F1_verdat,nan,None,Feature 1 - verdat - VALUES DIFFER!
SAMPLE_F1_verlen,nan,None,Feature 1 - verlen - VALUES DIFFER!
SAMPLE_F1_watlev,3.0,3.0,Feature 1 - watlev
SAMPLE_FEATURE_2_SEPARATOR,--- FEATURE 2 ---,--- FEATURE 2 ---,Feature 2 sample
SAMPLE_F2_agen,550,550.0,Feature 2 - agen - VALUES DIFFER!
SAMPLE_F2_catslc,4.0,4.0,Feature 2 - catslc
SAMPLE_F2_colour,None,None,Feature 2 - colour
SAMPLE_F2_colpat,None,None,Feature 2 - colpat
SAMPLE_F2_condtn,nan,nan,Feature 2 - condtn
SAMPLE_F2_conrad,nan,None,Feature 2 - conrad - VALUES DIFFER!
SAMPLE_F2_convis,nan,None,Feature 2 - convis - VALUES DIFFER!
SAMPLE_F2_datend,None,None,Feature 2 - datend
SAMPLE_F2_datsta,None,None,Feature 2 - datsta
SAMPLE_F2_dsid_dsnm,US3CA52M,US3CA52M,Feature 2 - dsid_dsnm
SAMPLE_F2_dsid_edtn,31,31,Feature 2 - dsid_edtn
SAMPLE_F2_dsid_updn,0,0,Feature 2 - dsid_updn
SAMPLE_F2_ffpt_rind,None,None,Feature 2 - ffpt_rind
SAMPLE_F2_fidn,133658031,133658031.0,Feature 2 - fidn - VALUES DIFFER!
SAMPLE_F2_fids,1764,1764.0,Feature 2 - fids - VALUES DIFFER!
SAMPLE_F2_grup,2,2.0,Feature 2 - grup - VALUES DIFFER!
SAMPLE_F2_height,nan,None,Feature 2 - height - VALUES DIFFER!
SAMPLE_F2_horacc,nan,None,Feature 2 - horacc - VALUES DIFFER!
SAMPLE_F2_horclr,nan,None,Feature 2 - horclr - VALUES DIFFER!
SAMPLE_F2_horlen,nan,None,Feature 2 - horlen - VALUES DIFFER!
SAMPLE_F2_horwid,nan,None,Feature 2 - horwid - VALUES DIFFER!
SAMPLE_F2_inform,None,None,Feature 2 - inform
SAMPLE_F2_lnam,022607F775AF06E4,022607F775AF06E4,Feature 2 - lnam
SAMPLE_F2_lnam_refs,None,None,Feature 2 - lnam_refs
SAMPLE_F2_natcon,None,None,Feature 2 - natcon
SAMPLE_F2_ninfom,None,None,Feature 2 - ninfom
SAMPLE_F2_nobjnm,None,None,Feature 2 - nobjnm
SAMPLE_F2_ntxtds,None,None,Feature 2 - ntxtds
SAMPLE_F2_objl,122,122.0,Feature 2 - objl - VALUES DIFFER!
SAMPLE_F2_objnam,None,None,Feature 2 - objnam
SAMPLE_F2_prim,2,2.0,Feature 2 - prim - VALUES DIFFER!
SAMPLE_F2_rcid,199,199.0,Feature 2 - rcid - VALUES DIFFER!
SAMPLE_F2_recdat,None,None,Feature 2 - recdat
SAMPLE_F2_recind,None,None,Feature 2 - recind
SAMPLE_F2_rver,1,1.0,Feature 2 - rver - VALUES DIFFER!
SAMPLE_F2_scamax,nan,None,Feature 2 - scamax - VALUES DIFFER!
SAMPLE_F2_scamin,nan,None,Feature 2 - scamin - VALUES DIFFER!
SAMPLE_F2_sordat,201305,201305,Feature 2 - sordat
SAMPLE_F2_sorind,"US,US,graph,Chart 18680","US,US,graph,Chart 18680",Feature 2 - sorind
SAMPLE_F2_status,None,None,Feature 2 - status
SAMPLE_F2_txtdsc,None,None,Feature 2 - txtdsc
SAMPLE_F2_veracc,nan,None,Feature 2 - veracc - VALUES DIFFER!
SAMPLE_F2_verdat,nan,None,Feature 2 - verdat - VALUES DIFFER!
SAMPLE_F2_verlen,nan,None,Feature 2 - verlen - VALUES DIFFER!
SAMPLE_F2_watlev,3.0,3.0,Feature 2 - watlev
SAMPLE_FEATURE_3_SEPARATOR,--- FEATURE 3 ---,--- FEATURE 3 ---,Feature 3 sample
SAMPLE_F3_agen,550,550.0,Feature 3 - agen - VALUES DIFFER!
SAMPLE_F3_catslc,4.0,4.0,Feature 3 - catslc
SAMPLE_F3_colour,None,None,Feature 3 - colour
SAMPLE_F3_colpat,None,None,Feature 3 - colpat
