layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a
navlne,33,34,33,1,0,0,False,GEOMETRY
damcon,41,42,41,1,0,0,False,GEOMETRY
hrbfac,36,37,36,1,0,0,False,GEOMETRY
siltnk,44,45,44,1,0,0,False,GEOMETRY
prcare,30,31,30,1,0,0,False,GEOMETRY
airare,33,34,33,1,0,0,False,GEOMETRY
ctsare,33,34,33,1,0,0,False,GEOMETRY
pilpnt,39,40,39,1,0,0,False,GEOMETRY
rdosta,39,40,39,1,0,0,False,GEOMETRY
connectednode,11,12,11,1,0,0,False,GEOMETRY
slotop,38,39,38,1,0,0,False,GEOMETRY
mipare,35,36,35,1,0,0,False,GEOMETRY
cblsub,37,38,37,1,0,0,False,GEOMETRY
boyspp,43,44,43,1,0,0,False,GEOMETRY
conzne,30,31,30,1,0,0,False,GEOMETRY
seaare,29,30,29,1,0,0,False,GEOMETRY
m_npub,26,27,26,1,0,0,False,GEOMETRY
coalne,36,37,36,1,0,0,False,GEOMETRY
dsid,38,38,38,0,0,0,True,
fshzne,30,31,30,1,0,0,False,GEOMETRY
marcul,43,44,43,1,0,0,False,GEOMETRY
curent,32,33,32,1,0,0,False,GEOMETRY
cgusta,33,34,33,1,0,0,False,GEOMETRY
rtpbcn,40,41,40,1,0,0,False,GEOMETRY
tesare,28,29,28,1,0,0,False,GEOMETRY
soundg,35,36,35,1,0,0,False,GEOMETRY
morfac,47,48,47,1,0,0,False,GEOMETRY
lndmrk,43,44,43,1,0,0,False,GEOMETRY
tsslpt,32,33,32,1,0,0,False,GEOMETRY
magvar,29,30,29,1,0,0,False,GEOMETRY
admare,31,32,31,1,0,0,False,GEOMETRY
c_asso,29,29,29,0,0,0,True,
rivers,29,30,29,1,0,0,False,GEOMETRY
tsezne,30,31,30,1,0,0,False,GEOMETRY
buisgl,43,44,43,1,0,0,False,GEOMETRY
fogsig,40,41,40,1,0,0,False,GEOMETRY
sbdare,32,33,32,1,0,0,False,GEOMETRY
uwtroc,38,39,38,1,0,0,False,GEOMETRY
lndare,30,31,30,1,0,0,False,GEOMETRY
slcons,47,48,47,1,0,0,False,GEOMETRY
lights,50,51,50,1,0,0,False,GEOMETRY
m_covr,23,24,23,1,0,0,False,GEOMETRY
pipsol,40,41,40,1,0,0,False,GEOMETRY
bridge,45,46,45,1,0,0,False,GEOMETRY
fairwy,38,39,38,1,0,0,False,GEOMETRY
cblohd,40,41,40,1,0,0,False,GEOMETRY
canals,36,37,36,1,0,0,False,GEOMETRY
m_qual,34,35,34,1,0,0,False,GEOMETRY
isolatednode,11,12,11,1,0,0,False,GEOMETRY
feryrt,34,35,34,1,0,0,False,GEOMETRY
ofsplf,44,45,44,1,0,0,False,GEOMETRY
daymar,43,44,43,1,0,0,False,GEOMETRY
cblare,33,34,33,1,0,0,False,GEOMETRY
pipare,35,36,35,1,0,0,False,GEOMETRY
topmar,40,41,40,1,0,0,False,GEOMETRY
ponton,39,40,39,1,0,0,False,GEOMETRY
rectrc,42,43,42,1,0,0,False,GEOMETRY
lndelv,32,33,32,1,0,0,False,GEOMETRY
lakare,31,32,31,1,0,0,False,GEOMETRY
boysaw,42,43,42,1,0,0,False,GEOMETRY
c_aggr,29,29,29,0,0,0,True,
splare,32,33,32,1,0,0,False,GEOMETRY
wrecks,42,43,42,1,0,0,False,GEOMETRY
pilbop,37,38,37,1,0,0,False,GEOMETRY
obstrn,45,46,45,1,0,0,False,GEOMETRY
bcnspp,48,49,48,1,0,0,False,GEOMETRY
wattur,29,30,29,1,0,0,False,GEOMETRY
resare,35,36,35,1,0,0,False,GEOMETRY
wedklp,29,30,29,1,0,0,False,GEOMETRY
dmpgrd,31,32,31,1,0,0,False,GEOMETRY
depcnt,29,30,29,1,0,0,False,GEOMETRY
bcnlat,48,49,48,1,0,0,False,GEOMETRY
slogrd,35,36,35,1,0,0,False,GEOMETRY
buaare,35,36,35,1,0,0,False,GEOMETRY
lndrgn,32,33,32,1,0,0,False,GEOMETRY
ctnare,30,31,30,1,0,0,False,GEOMETRY
unsare,26,27,26,1,0,0,False,GEOMETRY
edge,23,24,23,1,0,0,False,GEOMETRY
face,11,12,11,1,0,0,False,GEOMETRY
depare,31,32,31,1,0,0,False,GEOMETRY
m_nsys,28,29,28,1,0,0,False,GEOMETRY
boylat,43,44,43,1,0,0,False,GEOMETRY
achare,35,36,35,1,0,0,False,GEOMETRY
tssbnd,30,31,30,1,0,0,False,GEOMETRY
exezne,27,28,27,1,0,0,False,GEOMETRY
rdocal,36,37,36,1,0,0,False,GEOMETRY
