layer_name,missing_in,status
pipsol,postgis,MISSING
obstrn,postgis,MISSING
buisgl,postgis,MISSING
connectednode,postgis,MISSING
rdosta,postgis,MISSING
pilbop,postgis,MISSING
depcnt,postgis,MISSING
m_npub,postgis,MISSING
face,postgis,MISSING
boyspp,postgis,MISSING
soundg,postgis,MISSING
uwtroc,postgis,MISSING
seaare,postgis,MISSING
m_covr,postgis,MISSING
lndelv,postgis,MISSING
fairwy,postgis,MISSING
marcul,postgis,MISSING
slogrd,postgis,MISSING
buaare,postgis,MISSING
lndare,postgis,MISSING
lndrgn,postgis,MISSING
rivers,postgis,MISSING
coalne,postgis,MISSING
pilpnt,postgis,MISSING
tsezne,postgis,MISSING
fogsig,postgis,MISSING
daymar,postgis,MISSING
fshzne,postgis,MISSING
siltnk,postgis,MISSING
wedklp,postgis,MISSING
rtpbcn,postgis,MISSING
tesare,postgis,MISSING
slcons,postgis,MISSING
c_asso,postgis,MISSING
cgusta,postgis,MISSING
boylat,postgis,MISSING
wrecks,postgis,MISSING
admare,postgis,MISSING
wattur,postgis,MISSING
dmpgrd,postgis,MISSING
boysaw,postgis,MISSING
rectrc,postgis,MISSING
ctsare,postgis,MISSING
ctnare,postgis,MISSING
morfac,postgis,MISSING
bridge,postgis,MISSING
c_aggr,postgis,MISSING
magvar,postgis,MISSING
canals,postgis,MISSING
lights,postgis,MISSING
splare,postgis,MISSING
hrbfac,postgis,MISSING
rdocal,postgis,MISSING
unsare,postgis,MISSING
exezne,postgis,MISSING
depare,postgis,MISSING
dsid,postgis,MISSING
prcare,postgis,MISSING
ofsplf,postgis,MISSING
airare,postgis,MISSING
ponton,postgis,MISSING
lndmrk,postgis,MISSING
m_nsys,postgis,MISSING
feryrt,postgis,MISSING
m_qual,postgis,MISSING
cblare,postgis,MISSING
slotop,postgis,MISSING
navlne,postgis,MISSING
edge,postgis,MISSING
cblohd,postgis,MISSING
pipare,postgis,MISSING
tsslpt,postgis,MISSING
conzne,postgis,MISSING
isolatednode,postgis,MISSING
resare,postgis,MISSING
topmar,postgis,MISSING
sbdare,postgis,MISSING
mipare,postgis,MISSING
achare,postgis,MISSING
lakare,postgis,MISSING
bcnspp,postgis,MISSING
damcon,postgis,MISSING
tssbnd,postgis,MISSING
bcnlat,postgis,MISSING
cblsub,postgis,MISSING
curent,postgis,MISSING
