attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,dsid,dsid,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,6,6,Total features in each format
METADATA_TOTAL_COLUMNS,38,38,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_dsid_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_comt,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_expp,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_intu,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_isdt,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_pred,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_prof,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_prsp,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_psdn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_sted,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_uadt,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_comf,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_comt,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_coun,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_cscl,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_duni,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_hdat,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_huni,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_puni,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_sdat,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_somf,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_vdat,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_aall,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_dstr,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nall,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nocn,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nocr,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_noed,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nofa,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nogr,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_noin,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nolr,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nomr,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
