layer_name,gpkg_count,postgis_count,difference,match,missing_in,status
face,0.0,0.0,0.0,True,,
isolatednode,0.0,0.0,0.0,True,,
dsid,6.0,6.0,0.0,True,,
connectednode,0.0,0.0,0.0,True,,
edge,0.0,0.0,0.0,True,,
boyspp,,,,,postgis,MISSING
slogrd,,,,,postgis,MISSING
conzne,,,,,postgis,MISSING
boysaw,,,,,postgis,MISSING
marcul,,,,,postgis,MISSING
tsslpt,,,,,postgis,MISSING
resare,,,,,postgis,MISSING
daymar,,,,,postgis,MISSING
cblare,,,,,postgis,MISSING
seaare,,,,,postgis,MISSING
bcnspp,,,,,postgis,MISSING
buaare,,,,,postgis,MISSING
rtpbcn,,,,,postgis,MISSING
hrbfac,,,,,postgis,MISSING
achare,,,,,postgis,MISSING
navlne,,,,,postgis,MISSING
obstrn,,,,,postgis,MISSING
dmpgrd,,,,,postgis,MISSING
fairwy,,,,,postgis,MISSING
rdosta,,,,,postgis,MISSING
depare,,,,,postgis,MISSING
siltnk,,,,,postgis,MISSING
cblohd,,,,,postgis,MISSING
lndmrk,,,,,postgis,MISSING
m_covr,,,,,postgis,MISSING
pipare,,,,,postgis,MISSING
wedklp,,,,,postgis,MISSING
tesare,,,,,postgis,MISSING
ctnare,,,,,postgis,MISSING
coalne,,,,,postgis,MISSING
unsare,,,,,postgis,MISSING
ofsplf,,,,,postgis,MISSING
slotop,,,,,postgis,MISSING
lights,,,,,postgis,MISSING
c_asso,,,,,postgis,MISSING
prcare,,,,,postgis,MISSING
lndare,,,,,postgis,MISSING
lndrgn,,,,,postgis,MISSING
m_nsys,,,,,postgis,MISSING
magvar,,,,,postgis,MISSING
wattur,,,,,postgis,MISSING
bcnlat,,,,,postgis,MISSING
feryrt,,,,,postgis,MISSING
fogsig,,,,,postgis,MISSING
lakare,,,,,postgis,MISSING
sbdare,,,,,postgis,MISSING
depcnt,,,,,postgis,MISSING
m_qual,,,,,postgis,MISSING
slcons,,,,,postgis,MISSING
tssbnd,,,,,postgis,MISSING
uwtroc,,,,,postgis,MISSING
airare,,,,,postgis,MISSING
admare,,,,,postgis,MISSING
rivers,,,,,postgis,MISSING
pipsol,,,,,postgis,MISSING
pilpnt,,,,,postgis,MISSING
boylat,,,,,postgis,MISSING
c_aggr,,,,,postgis,MISSING
soundg,,,,,postgis,MISSING
buisgl,,,,,postgis,MISSING
cgusta,,,,,postgis,MISSING
ctsare,,,,,postgis,MISSING
mipare,,,,,postgis,MISSING
curent,,,,,postgis,MISSING
topmar,,,,,postgis,MISSING
rdocal,,,,,postgis,MISSING
canals,,,,,postgis,MISSING
rectrc,,,,,postgis,MISSING
cblsub,,,,,postgis,MISSING
wrecks,,,,,postgis,MISSING
exezne,,,,,postgis,MISSING
morfac,,,,,postgis,MISSING
pilbop,,,,,postgis,MISSING
tsezne,,,,,postgis,MISSING
damcon,,,,,postgis,MISSING
lndelv,,,,,postgis,MISSING
m_npub,,,,,postgis,MISSING
bridge,,,,,postgis,MISSING
fshzne,,,,,postgis,MISSING
ponton,,,,,postgis,MISSING
splare,,,,,postgis,MISSING
