attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,connectednode,connectednode,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,0,0,Total features in each format
METADATA_TOTAL_COLUMNS,11,11,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_posacc,PRESENT,PRESENT,Column presence comparison
COLUMN_quapos,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_rcnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ruin,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
