attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,edge,edge,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,0,0,Total features in each format
METADATA_TOTAL_COLUMNS,24,23,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_geometry,PRESENT,MISSING,Column presence comparison
COLUMN_mask_0,PRESENT,PRESENT,Column presence comparison
COLUMN_mask_1,PRESENT,PRESENT,Column presence comparison
COLUMN_name_rcid_0,PRESENT,PRESENT,Column presence comparison
COLUMN_name_rcid_1,PRESENT,PRESENT,Column presence comparison
COLUMN_name_rcnm_0,PRESENT,PRESENT,Column presence comparison
COLUMN_name_rcnm_1,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_ornt_0,PRESENT,PRESENT,Column presence comparison
COLUMN_ornt_1,PRESENT,PRESENT,Column presence comparison
COLUMN_posacc,PRESENT,PRESENT,Column presence comparison
COLUMN_quapos,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_rcnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ruin,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_topi_0,PRESENT,PRESENT,Column presence comparison
COLUMN_topi_1,PRESENT,PRESENT,Column presence comparison
COLUMN_usag_0,PRESENT,PRESENT,Column presence comparison
COLUMN_usag_1,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
