attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,conzne,conzne,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,6,6,Total features in each format
METADATA_TOTAL_COLUMNS,31,30,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_geometry,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_nation,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_datend,0/6 (0.0%),0/6 (0.0%),Property completeness comparison
PROP_COMPLETENESS_datsta,0/6 (0.0%),0/6 (0.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/6 (0.0%),0/6 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_geometry,6/6 (100.0%),N/A,Property completeness comparison - MISMATCH
PROP_COMPLETENESS_grup,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_inform,2/6 (33.3%),2/6 (33.3%),Property completeness comparison
PROP_COMPLETENESS_lnam,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_lnam_refs,0/6 (0.0%),0/6 (0.0%),Property completeness comparison
PROP_COMPLETENESS_nation,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ninfom,0/6 (0.0%),0/6 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ntxtds,0/6 (0.0%),0/6 (0.0%),Property completeness comparison
PROP_COMPLETENESS_objl,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ogc_fid,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_prim,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_rcid,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_recdat,0/6 (0.0%),0/6 (0.0%),Property completeness comparison
PROP_COMPLETENESS_recind,0/6 (0.0%),0/6 (0.0%),Property completeness comparison
PROP_COMPLETENESS_rver,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_scamax,0/6 (0.0%),0/6 (0.0%),Property completeness comparison
PROP_COMPLETENESS_scamin,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sordat,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sorind,6/6 (100.0%),6/6 (100.0%),Property completeness comparison
PROP_COMPLETENESS_status,0/6 (0.0%),0/6 (0.0%),Property completeness comparison
PROP_COMPLETENESS_txtdsc,4/6 (66.7%),4/6 (66.7%),Property completeness comparison
