attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,daymar,daymar,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,24,24,Total features in each format
METADATA_TOTAL_COLUMNS,44,43,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catspm,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_colpat,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_elevat,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_geometry,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_height,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_natcon,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_perend,PRESENT,PRESENT,Column presence comparison
COLUMN_persta,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_topshp,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,24/24 (100.0%),24/24 (100.0%),Property completeness comparison
PROP_COMPLETENESS_catspm,0/24 (0.0%),0/24 (0.0%),Property completeness comparison
PROP_COMPLETENESS_colour,24/24 (100.0%),24/24 (100.0%),Property completeness comparison
PROP_COMPLETENESS_colpat,24/24 (100.0%),24/24 (100.0%),Property completeness comparison
PROP_COMPLETENESS_datend,0/24 (0.0%),0/24 (0.0%),Property completeness comparison
PROP_COMPLETENESS_datsta,0/24 (0.0%),0/24 (0.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,24/24 (100.0%),24/24 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,24/24 (100.0%),24/24 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,24/24 (100.0%),24/24 (100.0%),Property completeness comparison
PROP_COMPLETENESS_elevat,0/24 (0.0%),0/24 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/24 (0.0%),0/24 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,24/24 (100.0%),24/24 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,24/24 (100.0%),24/24 (100.0%),Property completeness comparison
PROP_COMPLETENESS_geometry,24/24 (100.0%),N/A,Property completeness comparison - MISMATCH
PROP_COMPLETENESS_grup,24/24 (100.0%),24/24 (100.0%),Property completeness comparison
PROP_COMPLETENESS_height,0/24 (0.0%),0/24 (0.0%),Property completeness comparison
