attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,depare,depare,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,705,705,Total features in each format
METADATA_TOTAL_COLUMNS,31,32,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_drval1,PRESENT,PRESENT,Column presence comparison
COLUMN_drval2,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,PRESENT,Column presence comparison
COLUMN_geometry,MISSING,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_quasou,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_souacc,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_drval1,703/705 (99.7%),703/705 (99.7%),Property completeness comparison
PROP_COMPLETENESS_drval2,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_geometry,N/A,705/705 (100.0%),Property completeness comparison - MISMATCH
PROP_COMPLETENESS_grup,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_inform,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_lnam,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_lnam_refs,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ninfom,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ntxtds,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_objl,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ogc_fid,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_prim,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_quasou,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_rcid,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_recdat,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_recind,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_rver,705/705 (100.0%),705/705 (100.0%),Property completeness comparison
PROP_COMPLETENESS_scamax,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_scamin,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_sordat,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_sorind,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_souacc,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_txtdsc,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
PROP_COMPLETENESS_verdat,0/705 (0.0%),0/705 (0.0%),Property completeness comparison
