attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,lndmrk,lndmrk,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,251,251,Total features in each format
METADATA_TOTAL_COLUMNS,43,43,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catlmk,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_colpat,PRESENT,PRESENT,Column presence comparison
COLUMN_condtn,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_elevat,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_functn,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_height,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_natcon,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_picrep,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,251/251 (100.0%),251/251 (100.0%),Property completeness comparison
PROP_COMPLETENESS_catlmk,251/251 (100.0%),251/251 (100.0%),Property completeness comparison
PROP_COMPLETENESS_colour,74/251 (29.5%),74/251 (29.5%),Property completeness comparison
PROP_COMPLETENESS_colpat,18/251 (7.2%),18/251 (7.2%),Property completeness comparison
PROP_COMPLETENESS_condtn,1/251 (0.4%),1/251 (0.4%),Property completeness comparison
PROP_COMPLETENESS_conrad,2/251 (0.8%),2/251 (0.8%),Property completeness comparison
PROP_COMPLETENESS_convis,251/251 (100.0%),251/251 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,251/251 (100.0%),251/251 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,251/251 (100.0%),251/251 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,251/251 (100.0%),251/251 (100.0%),Property completeness comparison
PROP_COMPLETENESS_elevat,0/251 (0.0%),0/251 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,178/251 (70.9%),178/251 (70.9%),Property completeness comparison
PROP_COMPLETENESS_fidn,251/251 (100.0%),251/251 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,251/251 (100.0%),251/251 (100.0%),Property completeness comparison
PROP_COMPLETENESS_functn,174/251 (69.3%),174/251 (69.3%),Property completeness comparison
