attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,ofsplf,ofsplf,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,27,27,Total features in each format
METADATA_TOTAL_COLUMNS,44,44,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catofp,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_colpat,PRESENT,PRESENT,Column presence comparison
COLUMN_condtn,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_height,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_natcon,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_picrep,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_prodct,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,27/27 (100.0%),27/27 (100.0%),Property completeness comparison
PROP_COMPLETENESS_catofp,6/27 (22.2%),6/27 (22.2%),Property completeness comparison
PROP_COMPLETENESS_colour,0/27 (0.0%),0/27 (0.0%),Property completeness comparison
PROP_COMPLETENESS_colpat,0/27 (0.0%),0/27 (0.0%),Property completeness comparison
PROP_COMPLETENESS_condtn,0/27 (0.0%),0/27 (0.0%),Property completeness comparison
PROP_COMPLETENESS_conrad,0/27 (0.0%),0/27 (0.0%),Property completeness comparison
PROP_COMPLETENESS_convis,0/27 (0.0%),0/27 (0.0%),Property completeness comparison
PROP_COMPLETENESS_datend,0/27 (0.0%),0/27 (0.0%),Property completeness comparison
PROP_COMPLETENESS_datsta,0/27 (0.0%),0/27 (0.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,27/27 (100.0%),27/27 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,27/27 (100.0%),27/27 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,27/27 (100.0%),27/27 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,1/27 (3.7%),1/27 (3.7%),Property completeness comparison
PROP_COMPLETENESS_fidn,27/27 (100.0%),27/27 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,27/27 (100.0%),27/27 (100.0%),Property completeness comparison
PROP_COMPLETENESS_grup,27/27 (100.0%),27/27 (100.0%),Property completeness comparison
PROP_COMPLETENESS_height,0/27 (0.0%),0/27 (0.0%),Property completeness comparison
PROP_COMPLETENESS_inform,1/27 (3.7%),1/27 (3.7%),Property completeness comparison
