attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,pilpnt,pilpnt,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,8,8,Total features in each format
METADATA_TOTAL_COLUMNS,40,39,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catple,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_colpat,PRESENT,PRESENT,Column presence comparison
COLUMN_condtn,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_geometry,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_height,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_catple,7/8 (87.5%),7/8 (87.5%),Property completeness comparison
PROP_COMPLETENESS_colour,2/8 (25.0%),2/8 (25.0%),Property completeness comparison
PROP_COMPLETENESS_colpat,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_condtn,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_convis,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_datend,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_datsta,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_geometry,8/8 (100.0%),N/A,Property completeness comparison - MISMATCH
PROP_COMPLETENESS_grup,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_height,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_inform,5/8 (62.5%),5/8 (62.5%),Property completeness comparison
PROP_COMPLETENESS_lnam,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_lnam_refs,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ninfom,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_nobjnm,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ntxtds,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_objl,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_objnam,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ogc_fid,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_prim,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_rcid,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_recdat,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_recind,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_rver,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_scamax,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_scamin,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sordat,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sorind,8/8 (100.0%),8/8 (100.0%),Property completeness comparison
PROP_COMPLETENESS_txtdsc,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_veracc,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_verdat,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
PROP_COMPLETENESS_verlen,0/8 (0.0%),0/8 (0.0%),Property completeness comparison
