attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,slogrd,slogrd,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,73,73,Total features in each format
METADATA_TOTAL_COLUMNS,35,35,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catslo,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_natcon,PRESENT,PRESENT,Column presence comparison
COLUMN_natqua,PRESENT,PRESENT,Column presence comparison
COLUMN_natsur,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_catslo,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_colour,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_conrad,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_convis,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_grup,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_inform,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_lnam,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_lnam_refs,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_natcon,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_natqua,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_natsur,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ninfom,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_nobjnm,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ntxtds,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_objl,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_objnam,22/73 (30.1%),22/73 (30.1%),Property completeness comparison
PROP_COMPLETENESS_ogc_fid,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_prim,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_rcid,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_recdat,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_recind,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_rver,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_scamax,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
PROP_COMPLETENESS_scamin,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sordat,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sorind,73/73 (100.0%),73/73 (100.0%),Property completeness comparison
PROP_COMPLETENESS_txtdsc,0/73 (0.0%),0/73 (0.0%),Property completeness comparison
