attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,pipsol,pipsol,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,26,26,Total features in each format
METADATA_TOTAL_COLUMNS,40,40,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_burdep,PRESENT,PRESENT,Column presence comparison
COLUMN_catpip,PRESENT,PRESENT,Column presence comparison
COLUMN_condtn,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_drval1,PRESENT,PRESENT,Column presence comparison
COLUMN_drval2,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_prodct,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_burdep,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_catpip,15/26 (57.7%),15/26 (57.7%),Prop Values MATCH (57.7%)
PROP_COMPLETENESS_condtn,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_datend,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_datsta,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_drval1,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_drval2,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_dsid_dsnm,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_dsid_edtn,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_dsid_updn,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_ffpt_rind,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_fidn,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_fids,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_grup,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_inform,1/26 (3.8%),1/26 (3.8%),Prop Values MATCH (3.8%)
PROP_COMPLETENESS_lnam,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_lnam_refs,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_ninfom,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_nobjnm,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_ntxtds,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_objl,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_objnam,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_ogc_fid,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_prim,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_prodct,1/26 (3.8%),1/26 (3.8%),Prop Values MATCH (3.8%)
PROP_COMPLETENESS_rcid,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_recdat,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_recind,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_rver,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_scamax,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_scamin,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_sordat,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_sorind,26/26 (100.0%),26/26 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_status,1/26 (3.8%),1/26 (3.8%),Prop Values MATCH (3.8%)
PROP_COMPLETENESS_txtdsc,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_veracc,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_verdat,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_verlen,0/26 (0.0%),0/26 (0.0%),Prop Values MATCH (0.0%)
