attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,rdosta,rdosta,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,33,33,Total features in each format
METADATA_TOTAL_COLUMNS,39,40,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_calsgn,PRESENT,PRESENT,Column presence comparison
COLUMN_catros,PRESENT,PRESENT,Column presence comparison
COLUMN_comcha,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_estrng,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,PRESENT,Column presence comparison
COLUMN_geometry,MISSING,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_orient,PRESENT,PRESENT,Column presence comparison
COLUMN_perend,PRESENT,PRESENT,Column presence comparison
COLUMN_persta,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sigfrq,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_calsgn,29/33 (87.9%),29/33 (87.9%),Prop Values MATCH (87.9%)
PROP_COMPLETENESS_catros,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_comcha,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_datend,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_datsta,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_dsid_dsnm,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_dsid_edtn,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_dsid_updn,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_estrng,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_ffpt_rind,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_fidn,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_fids,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_geometry,N/A,33/33 (100.0%),Property completeness comparison
PROP_COMPLETENESS_grup,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_inform,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_lnam,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_lnam_refs,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_ninfom,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_nobjnm,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_ntxtds,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_objl,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_objnam,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_ogc_fid,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_orient,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_perend,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_persta,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_prim,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_rcid,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_recdat,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_recind,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_rver,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_scamax,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_scamin,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_sigfrq,30/33 (90.9%),30/33 (90.9%),Prop Values MATCH (90.9%)
PROP_COMPLETENESS_sordat,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_sorind,33/33 (100.0%),33/33 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_status,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_txtdsc,0/33 (0.0%),0/33 (0.0%),Prop Values MATCH (0.0%)
