attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,lakare,lakare,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,51,51,Total features in each format
METADATA_GEOMETRY_FEATURES,51,51,Features with non-null geometry
METADATA_TOTAL_COLUMNS,31,31,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_elevat,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_dsnm,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_elevat,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ffpt_rind,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_fidn,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_grup,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_inform,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_lnam,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ninfom,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_nobjnm,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_objnam,2/51 (3.9%),2/51 (3.9%),Values Match (3.9%)
PROP_COMPLETENESS_ogc_fid,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_prim,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_rcid,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_recdat,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_recind,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_rver,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_scamax,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_scamin,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sordat,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sorind,51/51 (100.0%),51/51 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_txtdsc,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_veracc,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_verdat,0/51 (0.0%),0/51 (0.0%),Values Match (0.0%)
