layer_name,gpkg_count,spatialite_count,difference,match
lights,379,379,0,True
rivers,247,247,0,True
isolatednode,0,0,0,True
dmpgrd,29,29,0,True
lndrgn,192,192,0,True
slcons,566,566,0,True
c_aggr,13,13,0,True
m_npub,8,8,0,True
ctsare,4,4,0,True
exezne,7,7,0,True
tsslpt,23,23,0,True
damcon,1,1,0,True
rectrc,5,5,0,True
fshzne,1,1,0,True
tesare,56,56,0,True
m_nsys,8,8,0,True
boysaw,10,10,0,True
hrbfac,1,1,0,True
wattur,1,1,0,True
depare,705,705,0,True
ctnare,66,66,0,True
ponton,1,1,0,True
cblsub,116,116,0,True
boylat,28,28,0,True
slogrd,73,73,0,True
mipare,11,11,0,True
lndare,1917,1917,0,True
boyspp,78,78,0,True
achare,4,4,0,True
feryrt,6,6,0,True
unsare,5,5,0,True
daymar,24,24,0,True
lndmrk,251,251,0,True
fairwy,14,14,0,True
edge,0,0,0,True
navlne,7,7,0,True
siltnk,16,16,0,True
tssbnd,15,15,0,True
morfac,13,13,0,True
buisgl,20,20,0,True
rdosta,33,33,0,True
seaare,300,300,0,True
fogsig,46,46,0,True
uwtroc,678,678,0,True
airare,3,3,0,True
conzne,6,6,0,True
obstrn,230,230,0,True
m_covr,13,13,0,True
magvar,166,166,0,True
connectednode,0,0,0,True
pipsol,26,26,0,True
lndelv,63,63,0,True
cblohd,4,4,0,True
cblare,4,4,0,True
cgusta,1,1,0,True
bcnlat,20,20,0,True
depcnt,790,790,0,True
pilbop,4,4,0,True
rdocal,5,5,0,True
lakare,51,51,0,True
sbdare,846,846,0,True
canals,4,4,0,True
soundg,10592,10592,0,True
bcnspp,99,99,0,True
face,0,0,0,True
marcul,1,1,0,True
pilpnt,8,8,0,True
coalne,1604,1604,0,True
dsid,6,6,0,True
rtpbcn,11,11,0,True
c_asso,22,22,0,True
slotop,27,27,0,True
ofsplf,27,27,0,True
splare,1,1,0,True
pipare,1,1,0,True
buaare,246,246,0,True
curent,77,77,0,True
wedklp,183,183,0,True
resare,23,23,0,True
m_qual,92,92,0,True
admare,22,22,0,True
topmar,6,6,0,True
bridge,71,71,0,True
prcare,1,1,0,True
tsezne,3,3,0,True
wrecks,202,202,0,True
