attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,lndrgn,lndrgn,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,192,192,Total features in each format
METADATA_GEOMETRY_FEATURES,192,192,Features with non-null geometry
METADATA_TOTAL_COLUMNS,33,32,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catlnd,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_geometry,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_natqua,PRESENT,PRESENT,Column presence comparison
COLUMN_natsur,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_watlev,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_catlnd,20/192 (10.4%),20/192 (10.4%),Values Match (10.4%)
PROP_COMPLETENESS_dsid_dsnm,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ffpt_rind,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_fidn,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_geometry,192/192 (100.0%),N/A,Property completeness comparison
PROP_COMPLETENESS_grup,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_inform,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_lnam,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_natqua,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_natsur,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ninfom,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_nobjnm,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_objnam,172/192 (89.6%),172/192 (89.6%),Values Match (89.6%)
PROP_COMPLETENESS_ogc_fid,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_prim,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_rcid,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_recdat,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_recind,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_rver,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_scamax,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_scamin,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sordat,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sorind,192/192 (100.0%),192/192 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_txtdsc,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_watlev,0/192 (0.0%),0/192 (0.0%),Values Match (0.0%)
