layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,missing_in_b
lights,50,50,49,1,1,0,True,wkb_geometry,geom
rivers,29,29,28,1,1,0,True,wkb_geometry,geom
isolatednode,11,11,10,1,1,0,True,wkb_geometry,geom
dmpgrd,31,31,30,1,1,0,True,wkb_geometry,geom
lndrgn,32,32,31,1,1,0,True,wkb_geometry,geom
slcons,47,47,46,1,1,0,True,wkb_geometry,geom
c_aggr,29,28,28,0,1,0,False,,geom
m_npub,26,26,25,1,1,0,True,wkb_geometry,geom
ctsare,33,33,32,1,1,0,True,wkb_geometry,geom
exezne,27,27,26,1,1,0,True,wkb_geometry,geom
tsslpt,32,32,31,1,1,0,True,wkb_geometry,geom
damcon,41,41,40,1,1,0,True,wkb_geometry,geom
rectrc,42,42,41,1,1,0,True,wkb_geometry,geom
fshzne,30,30,29,1,1,0,True,wkb_geometry,geom
tesare,28,28,27,1,1,0,True,wkb_geometry,geom
m_nsys,28,28,27,1,1,0,True,wkb_geometry,geom
boysaw,42,42,41,1,1,0,True,wkb_geometry,geom
hrbfac,36,36,35,1,1,0,True,wkb_geometry,geom
wattur,29,29,28,1,1,0,True,wkb_geometry,geom
depare,31,31,30,1,1,0,True,wkb_geometry,geom
ctnare,30,30,29,1,1,0,True,wkb_geometry,geom
ponton,39,39,38,1,1,0,True,wkb_geometry,geom
cblsub,37,37,36,1,1,0,True,wkb_geometry,geom
slogrd,35,35,34,1,1,0,True,wkb_geometry,geom
boylat,43,43,42,1,1,0,True,wkb_geometry,geom
mipare,35,35,34,1,1,0,True,wkb_geometry,geom
lndare,30,30,29,1,1,0,True,wkb_geometry,geom
boyspp,43,43,42,1,1,0,True,wkb_geometry,geom
achare,35,35,34,1,1,0,True,wkb_geometry,geom
feryrt,34,34,33,1,1,0,True,wkb_geometry,geom
unsare,26,26,25,1,1,0,True,wkb_geometry,geom
daymar,43,43,42,1,1,0,True,wkb_geometry,geom
lndmrk,43,43,42,1,1,0,True,wkb_geometry,geom
fairwy,38,38,37,1,1,0,True,wkb_geometry,geom
edge,23,23,22,1,1,0,True,wkb_geometry,geom
navlne,33,33,32,1,1,0,True,wkb_geometry,geom
siltnk,44,44,43,1,1,0,True,wkb_geometry,geom
tssbnd,30,30,29,1,1,0,True,wkb_geometry,geom
morfac,47,47,46,1,1,0,True,wkb_geometry,geom
buisgl,43,43,42,1,1,0,True,wkb_geometry,geom
rdosta,39,39,38,1,1,0,True,wkb_geometry,geom
seaare,29,29,28,1,1,0,True,wkb_geometry,geom
fogsig,40,40,39,1,1,0,True,wkb_geometry,geom
uwtroc,38,38,37,1,1,0,True,wkb_geometry,geom
airare,33,33,32,1,1,0,True,wkb_geometry,geom
conzne,30,30,29,1,1,0,True,wkb_geometry,geom
obstrn,45,45,44,1,1,0,True,wkb_geometry,geom
m_covr,23,23,22,1,1,0,True,wkb_geometry,geom
magvar,29,29,28,1,1,0,True,wkb_geometry,geom
connectednode,11,11,10,1,1,0,True,wkb_geometry,geom
pipsol,40,40,39,1,1,0,True,wkb_geometry,geom
lndelv,32,32,31,1,1,0,True,wkb_geometry,geom
cblohd,40,40,39,1,1,0,True,wkb_geometry,geom
cblare,33,33,32,1,1,0,True,wkb_geometry,geom
cgusta,33,33,32,1,1,0,True,wkb_geometry,geom
bcnlat,48,48,47,1,1,0,True,wkb_geometry,geom
depcnt,29,29,28,1,1,0,True,wkb_geometry,geom
pilbop,37,37,36,1,1,0,True,wkb_geometry,geom
rdocal,36,36,35,1,1,0,True,wkb_geometry,geom
lakare,31,31,30,1,1,0,True,wkb_geometry,geom
sbdare,32,32,31,1,1,0,True,wkb_geometry,geom
canals,36,36,35,1,1,0,True,wkb_geometry,geom
soundg,35,35,34,1,1,0,True,wkb_geometry,geom
face,11,11,10,1,1,0,True,wkb_geometry,geom
bcnspp,48,48,47,1,1,0,True,wkb_geometry,geom
marcul,43,43,42,1,1,0,True,wkb_geometry,geom
pilpnt,39,39,38,1,1,0,True,wkb_geometry,geom
coalne,36,36,35,1,1,0,True,wkb_geometry,geom
dsid,38,37,37,0,1,0,False,,geom
rtpbcn,40,40,39,1,1,0,True,wkb_geometry,geom
c_asso,29,28,28,0,1,0,False,,geom
slotop,38,38,37,1,1,0,True,wkb_geometry,geom
ofsplf,44,44,43,1,1,0,True,wkb_geometry,geom
splare,32,32,31,1,1,0,True,wkb_geometry,geom
pipare,35,35,34,1,1,0,True,wkb_geometry,geom
buaare,35,35,34,1,1,0,True,wkb_geometry,geom
curent,32,32,31,1,1,0,True,wkb_geometry,geom
wedklp,29,29,28,1,1,0,True,wkb_geometry,geom
resare,35,35,34,1,1,0,True,wkb_geometry,geom
topmar,40,40,39,1,1,0,True,wkb_geometry,geom
m_qual,34,34,33,1,1,0,True,wkb_geometry,geom
admare,31,31,30,1,1,0,True,wkb_geometry,geom
bridge,45,45,44,1,1,0,True,wkb_geometry,geom
tsezne,30,30,29,1,1,0,True,wkb_geometry,geom
wrecks,42,42,41,1,1,0,True,wkb_geometry,geom
prcare,30,30,29,1,1,0,True,wkb_geometry,geom
