attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,morfac,morfac,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,13,13,Total features in each format
METADATA_GEOMETRY_FEATURES,13,13,Features with non-null geometry
METADATA_TOTAL_COLUMNS,47,48,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_boyshp,PRESENT,PRESENT,Column presence comparison
COLUMN_catmor,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_colpat,PRESENT,PRESENT,Column presence comparison
COLUMN_condtn,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,PRESENT,Column presence comparison
COLUMN_geometry,MISSING,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_height,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_natcon,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_perend,PRESENT,PRESENT,Column presence comparison
COLUMN_persta,PRESENT,PRESENT,Column presence comparison
COLUMN_picrep,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
COLUMN_watlev,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_boyshp,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_catmor,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_colour,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_colpat,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_condtn,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_conrad,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_convis,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_datend,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_datsta,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_dsid_dsnm,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ffpt_rind,4/13 (30.8%),4/13 (30.8%),Values Match (30.8%)
PROP_COMPLETENESS_fidn,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_geometry,N/A,13/13 (100.0%),Property completeness comparison
PROP_COMPLETENESS_grup,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_height,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_inform,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_lnam,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,4/13 (30.8%),4/13 (30.8%),Values Match (30.8%)
PROP_COMPLETENESS_natcon,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ninfom,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_nobjnm,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_objnam,4/13 (30.8%),4/13 (30.8%),Values Match (30.8%)
PROP_COMPLETENESS_ogc_fid,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_perend,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_persta,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_picrep,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_prim,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_rcid,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_recdat,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_recind,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_rver,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_scamax,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_scamin,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sordat,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sorind,13/13 (100.0%),13/13 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_status,3/13 (23.1%),3/13 (23.1%),Values Match (23.1%)
PROP_COMPLETENESS_txtdsc,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_veracc,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_verdat,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_verlen,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_watlev,0/13 (0.0%),0/13 (0.0%),Values Match (0.0%)
