layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match,missing_in_a,missing_in_b
rdocal,37,36,35,1,2,0,False,wkb_geometry,"geom, geometry"
navlne,34,33,32,1,2,0,False,wkb_geometry,"geom, geometry"
topmar,41,40,39,1,2,0,False,wkb_geometry,"geom, geometry"
buaare,36,35,34,1,2,0,False,wkb_geometry,"geom, geometry"
rtpbcn,41,40,39,1,2,0,False,wkb_geometry,"geom, geometry"
rectrc,43,42,41,1,2,0,False,wkb_geometry,"geom, geometry"
m_qual,35,34,33,1,2,0,False,wkb_geometry,"geom, geometry"
bridge,46,45,44,1,2,0,False,wkb_geometry,"geom, geometry"
sbdare,33,32,31,1,2,0,False,wkb_geometry,"geom, geometry"
pipsol,41,40,39,1,2,0,False,wkb_geometry,"geom, geometry"
splare,33,32,31,1,2,0,False,wkb_geometry,"geom, geometry"
soundg,36,35,34,1,2,0,False,wkb_geometry,"geom, geometry"
slogrd,36,35,34,1,2,0,False,wkb_geometry,"geom, geometry"
bcnlat,49,48,47,1,2,0,False,wkb_geometry,"geom, geometry"
seaare,30,29,28,1,2,0,False,wkb_geometry,"geom, geometry"
magvar,30,29,28,1,2,0,False,wkb_geometry,"geom, geometry"
buisgl,44,43,42,1,2,0,False,wkb_geometry,"geom, geometry"
cblare,34,33,32,1,2,0,False,wkb_geometry,"geom, geometry"
tesare,29,28,27,1,2,0,False,wkb_geometry,"geom, geometry"
bcnspp,49,48,47,1,2,0,False,wkb_geometry,"geom, geometry"
face,12,11,10,1,2,0,False,wkb_geometry,"geom, geometry"
curent,33,32,31,1,2,0,False,wkb_geometry,"geom, geometry"
rivers,30,29,28,1,2,0,False,wkb_geometry,"geom, geometry"
ponton,40,39,38,1,2,0,False,wkb_geometry,"geom, geometry"
exezne,28,27,26,1,2,0,False,wkb_geometry,"geom, geometry"
daymar,44,43,42,1,2,0,False,wkb_geometry,"geom, geometry"
lights,51,50,49,1,2,0,False,wkb_geometry,"geom, geometry"
c_aggr,29,28,28,0,1,0,False,,geom
unsare,27,26,25,1,2,0,False,wkb_geometry,"geom, geometry"
depare,32,31,30,1,2,0,False,wkb_geometry,"geom, geometry"
m_npub,27,26,25,1,2,0,False,wkb_geometry,"geom, geometry"
isolatednode,12,11,10,1,2,0,False,wkb_geometry,"geom, geometry"
lndmrk,44,43,42,1,2,0,False,wkb_geometry,"geom, geometry"
cgusta,34,33,32,1,2,0,False,wkb_geometry,"geom, geometry"
wrecks,43,42,41,1,2,0,False,wkb_geometry,"geom, geometry"
lndrgn,33,32,31,1,2,0,False,wkb_geometry,"geom, geometry"
pilbop,38,37,36,1,2,0,False,wkb_geometry,"geom, geometry"
siltnk,45,44,43,1,2,0,False,wkb_geometry,"geom, geometry"
achare,36,35,34,1,2,0,False,wkb_geometry,"geom, geometry"
lndare,31,30,29,1,2,0,False,wkb_geometry,"geom, geometry"
cblsub,38,37,36,1,2,0,False,wkb_geometry,"geom, geometry"
morfac,48,47,46,1,2,0,False,wkb_geometry,"geom, geometry"
depcnt,30,29,28,1,2,0,False,wkb_geometry,"geom, geometry"
wattur,30,29,28,1,2,0,False,wkb_geometry,"geom, geometry"
fogsig,41,40,39,1,2,0,False,wkb_geometry,"geom, geometry"
lndelv,33,32,31,1,2,0,False,wkb_geometry,"geom, geometry"
obstrn,46,45,44,1,2,0,False,wkb_geometry,"geom, geometry"
boysaw,43,42,41,1,2,0,False,wkb_geometry,"geom, geometry"
fairwy,39,38,37,1,2,0,False,wkb_geometry,"geom, geometry"
hrbfac,37,36,35,1,2,0,False,wkb_geometry,"geom, geometry"
pipare,36,35,34,1,2,0,False,wkb_geometry,"geom, geometry"
feryrt,35,34,33,1,2,0,False,wkb_geometry,"geom, geometry"
tsezne,31,30,29,1,2,0,False,wkb_geometry,"geom, geometry"
connectednode,12,11,10,1,2,0,False,wkb_geometry,"geom, geometry"
dmpgrd,32,31,30,1,2,0,False,wkb_geometry,"geom, geometry"
m_nsys,29,28,27,1,2,0,False,wkb_geometry,"geom, geometry"
airare,34,33,32,1,2,0,False,wkb_geometry,"geom, geometry"
lakare,32,31,30,1,2,0,False,wkb_geometry,"geom, geometry"
resare,36,35,34,1,2,0,False,wkb_geometry,"geom, geometry"
wedklp,30,29,28,1,2,0,False,wkb_geometry,"geom, geometry"
coalne,37,36,35,1,2,0,False,wkb_geometry,"geom, geometry"
tssbnd,31,30,29,1,2,0,False,wkb_geometry,"geom, geometry"
damcon,42,41,40,1,2,0,False,wkb_geometry,"geom, geometry"
m_covr,24,23,22,1,2,0,False,wkb_geometry,"geom, geometry"
boylat,44,43,42,1,2,0,False,wkb_geometry,"geom, geometry"
pilpnt,40,39,38,1,2,0,False,wkb_geometry,"geom, geometry"
edge,24,23,22,1,2,0,False,wkb_geometry,"geom, geometry"
cblohd,41,40,39,1,2,0,False,wkb_geometry,"geom, geometry"
ofsplf,45,44,43,1,2,0,False,wkb_geometry,"geom, geometry"
rdosta,40,39,38,1,2,0,False,wkb_geometry,"geom, geometry"
slotop,39,38,37,1,2,0,False,wkb_geometry,"geom, geometry"
mipare,36,35,34,1,2,0,False,wkb_geometry,"geom, geometry"
marcul,44,43,42,1,2,0,False,wkb_geometry,"geom, geometry"
