layer_name,format_a_columns,format_b_columns,common_columns,missing_in_a_count,missing_in_b_count,type_mismatches_count,columns_match
rdocal,36,36,36,0,0,0,True
navlne,33,33,33,0,0,0,True
buaare,35,35,35,0,0,0,True
topmar,40,40,40,0,0,0,True
rtpbcn,40,40,40,0,0,0,True
rectrc,42,42,42,0,0,0,True
m_qual,34,34,34,0,0,0,True
bridge,45,45,45,0,0,0,True
sbdare,32,32,32,0,0,0,True
pipsol,40,40,40,0,0,0,True
splare,32,32,32,0,0,0,True
soundg,35,35,35,0,0,0,True
seaare,29,29,29,0,0,0,True
bcnlat,48,48,48,0,0,0,True
slogrd,35,35,35,0,0,0,True
magvar,29,29,29,0,0,0,True
buisgl,43,43,43,0,0,0,True
cblare,33,33,33,0,0,0,True
tesare,28,28,28,0,0,0,True
bcnspp,48,48,48,0,0,0,True
face,11,11,11,0,0,0,True
curent,32,32,32,0,0,0,True
rivers,29,29,29,0,0,0,True
ponton,39,39,39,0,0,0,True
exezne,27,27,27,0,0,0,True
daymar,43,43,43,0,0,0,True
lights,50,50,50,0,0,0,True
c_aggr,29,29,29,0,0,0,True
unsare,26,26,26,0,0,0,True
depare,31,31,31,0,0,0,True
lndmrk,43,43,43,0,0,0,True
isolatednode,11,11,11,0,0,0,True
m_npub,26,26,26,0,0,0,True
cgusta,33,33,33,0,0,0,True
wrecks,42,42,42,0,0,0,True
lndrgn,32,32,32,0,0,0,True
pilbop,37,37,37,0,0,0,True
siltnk,44,44,44,0,0,0,True
achare,35,35,35,0,0,0,True
lndare,30,30,30,0,0,0,True
cblsub,37,37,37,0,0,0,True
morfac,47,47,47,0,0,0,True
depcnt,29,29,29,0,0,0,True
wattur,29,29,29,0,0,0,True
fogsig,40,40,40,0,0,0,True
lndelv,32,32,32,0,0,0,True
obstrn,45,45,45,0,0,0,True
boysaw,42,42,42,0,0,0,True
fairwy,38,38,38,0,0,0,True
hrbfac,36,36,36,0,0,0,True
pipare,35,35,35,0,0,0,True
feryrt,34,34,34,0,0,0,True
tsezne,30,30,30,0,0,0,True
connectednode,11,11,11,0,0,0,True
dmpgrd,31,31,31,0,0,0,True
m_nsys,28,28,28,0,0,0,True
airare,33,33,33,0,0,0,True
lakare,31,31,31,0,0,0,True
resare,35,35,35,0,0,0,True
wedklp,29,29,29,0,0,0,True
coalne,36,36,36,0,0,0,True
tssbnd,30,30,30,0,0,0,True
damcon,41,41,41,0,0,0,True
m_covr,23,23,23,0,0,0,True
boylat,43,43,43,0,0,0,True
pilpnt,39,39,39,0,0,0,True
edge,23,23,23,0,0,0,True
cblohd,40,40,40,0,0,0,True
ofsplf,44,44,44,0,0,0,True
rdosta,39,39,39,0,0,0,True
slotop,38,38,38,0,0,0,True
mipare,35,35,35,0,0,0,True
marcul,43,43,43,0,0,0,True
admare,31,31,31,0,0,0,True
tsslpt,32,32,32,0,0,0,True
uwtroc,38,38,38,0,0,0,True
dsid,38,38,38,0,0,0,True
c_asso,29,29,29,0,0,0,True
slcons,47,47,47,0,0,0,True
canals,36,36,36,0,0,0,True
conzne,30,30,30,0,0,0,True
boyspp,43,43,43,0,0,0,True
prcare,30,30,30,0,0,0,True
fshzne,30,30,30,0,0,0,True
ctsare,33,33,33,0,0,0,True
ctnare,30,30,30,0,0,0,True
