attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,dsid,dsid,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,6,6,Total features in each format
METADATA_GEOMETRY_FEATURES,6,0,Features with non-null geometry
METADATA_TOTAL_COLUMNS,38,38,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_dsid_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_comt,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_expp,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_intu,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_isdt,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_pred,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_prof,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_prsp,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_psdn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_sted,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_uadt,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_comf,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_comt,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_coun,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_cscl,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_duni,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_hdat,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_huni,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_puni,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_sdat,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_somf,PRESENT,PRESENT,Column presence comparison
COLUMN_dspm_vdat,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_aall,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_dstr,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nall,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nocn,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nocr,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_noed,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nofa,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nogr,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_noin,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nolr,PRESENT,PRESENT,Column presence comparison
COLUMN_dssi_nomr,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_dsid_agen,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_comt,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_dsnm,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_expp,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_intu,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_isdt,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_pred,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_prof,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_prsp,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_psdn,0/6 (0.0%),0/6 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_dsid_sted,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_uadt,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dspm_comf,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dspm_comt,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dspm_coun,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dspm_cscl,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dspm_duni,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dspm_hdat,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dspm_huni,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dspm_puni,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dspm_sdat,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dspm_somf,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dspm_vdat,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dssi_aall,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dssi_dstr,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dssi_nall,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dssi_nocn,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dssi_nocr,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dssi_noed,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dssi_nofa,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dssi_nogr,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dssi_noin,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dssi_nolr,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dssi_nomr,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ogc_fid,6/6 (100.0%),6/6 (100.0%),Values Match (100.0%)
