attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,slcons,slcons,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,566,566,Total features in each format
METADATA_GEOMETRY_FEATURES,566,566,Features with non-null geometry
METADATA_TOTAL_COLUMNS,47,48,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catslc,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_colpat,PRESENT,PRESENT,Column presence comparison
COLUMN_condtn,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_height,PRESENT,PRESENT,Column presence comparison
COLUMN_horacc,PRESENT,PRESENT,Column presence comparison
COLUMN_horclr,PRESENT,PRESENT,Column presence comparison
COLUMN_horlen,PRESENT,PRESENT,Column presence comparison
COLUMN_horwid,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_natcon,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
COLUMN_watlev,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_catslc,560/566 (98.9%),560/566 (98.9%),Values Match (98.9%)
PROP_COMPLETENESS_colour,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_colpat,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_condtn,14/566 (2.5%),14/566 (2.5%),Values Match (2.5%)
PROP_COMPLETENESS_conrad,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_convis,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_datend,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_datsta,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_dsid_dsnm,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ffpt_rind,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_fidn,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_grup,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_height,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_horacc,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_horclr,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_horlen,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_horwid,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_inform,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_lnam,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_natcon,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ninfom,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_nobjnm,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_objnam,39/566 (6.9%),39/566 (6.9%),Values Match (6.9%)
PROP_COMPLETENESS_ogc_fid,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_prim,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_rcid,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_recdat,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_recind,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_rver,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_scamax,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_scamin,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_sordat,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sorind,566/566 (100.0%),566/566 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_status,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_txtdsc,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_veracc,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_verdat,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_verlen,0/566 (0.0%),0/566 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_watlev,521/566 (92.0%),521/566 (92.0%),Values Match (92.0%)
