attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,buisgl,buisgl,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,20,20,Total features in each format
METADATA_GEOMETRY_FEATURES,20,20,Features with non-null geometry
METADATA_TOTAL_COLUMNS,43,44,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_buishp,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_colpat,PRESENT,PRESENT,Column presence comparison
COLUMN_condtn,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_elevat,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_functn,PRESENT,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_height,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_natcon,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_picrep,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_buishp,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_colour,4/20 (20.0%),4/20 (20.0%),Values Match (20.0%)
PROP_COMPLETENESS_colpat,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_condtn,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_conrad,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_convis,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_dsid_dsnm,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_elevat,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ffpt_rind,2/20 (10.0%),2/20 (10.0%),Values Match (10.0%)
PROP_COMPLETENESS_fidn,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_functn,12/20 (60.0%),12/20 (60.0%),Values Match (60.0%)
PROP_COMPLETENESS_grup,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_height,2/20 (10.0%),2/20 (10.0%),Values Match (10.0%)
PROP_COMPLETENESS_inform,4/20 (20.0%),4/20 (20.0%),Values Match (20.0%)
PROP_COMPLETENESS_lnam,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,2/20 (10.0%),2/20 (10.0%),Values Match (10.0%)
PROP_COMPLETENESS_natcon,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ninfom,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_nobjnm,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_objnam,2/20 (10.0%),2/20 (10.0%),Values Match (10.0%)
PROP_COMPLETENESS_ogc_fid,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_picrep,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_prim,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_rcid,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_recdat,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_recind,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_rver,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_scamax,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_scamin,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sordat,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sorind,20/20 (100.0%),20/20 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_status,2/20 (10.0%),2/20 (10.0%),Values Match (10.0%)
PROP_COMPLETENESS_txtdsc,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_veracc,0/20 (0.0%),0/20 (0.0%),Values Match (0.0%)
