attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,magvar,magvar,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,166,166,Total features in each format
METADATA_GEOMETRY_FEATURES,166,166,Features with non-null geometry
METADATA_TOTAL_COLUMNS,29,29,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_ryrmgv,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_valacm,PRESENT,PRESENT,Column presence comparison
COLUMN_valmag,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_datend,0/166 (0.0%),0/166 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_datsta,0/166 (0.0%),0/166 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_dsid_dsnm,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ffpt_rind,0/166 (0.0%),0/166 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_fidn,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_grup,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_inform,0/166 (0.0%),0/166 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_lnam,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,0/166 (0.0%),0/166 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ninfom,0/166 (0.0%),0/166 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ogc_fid,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_prim,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_rcid,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_recdat,0/166 (0.0%),0/166 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_recind,0/166 (0.0%),0/166 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_rver,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ryrmgv,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_scamax,0/166 (0.0%),0/166 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_scamin,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sordat,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sorind,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_valacm,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_valmag,166/166 (100.0%),166/166 (100.0%),Values Match (100.0%)
